,afatinib_up,dasatinib_up,gefitinib_up,imatinib_up
CLVS1,1.0,0.440847016136997,1.0,1.0
DTX3L,0.180790038056002,0.440954192202063,1.0,1.0
RGS3,0.386001442720597,1.0,1.0,1.0
BAZ1B,1.0,0.559123398827782,1.0,1.0
PAPOLG,1.0,0.326837647323877,1.0,1.0
C2orf49,0.4208483077292286,0.3816341889384225,0.3505779276613763,1.0
PSMB4,0.258323647874579,1.0,1.0,1.0
MAP3K4,0.333275946709027,1.0,1.0,1.0
MAP3K7,0.462096754899073,1.0,1.0,1.0
ZZEF1,1.0,0.558039335822121,1.0,1.0
AGAP1,0.1367696815411375,0.457753106571988,0.272689325192804,1.0
BCL9L,0.3172627560403978,0.516790325185681,0.480844896438377,1.0
MEX3D,0.489340972033081,1.0,1.0,1.0
MED24,0.334151078346332,0.434637686633615,1.0,1.0
KIAA1671,0.1980335156199215,0.3524463520853629,0.188668252598636,1.0
PHF2,0.3929512462747554,0.3988988241664635,0.4096095030790453,1.0
PANK4,0.440666985087086,0.167002068364794,0.346488100190408,1.0
HECTD1,0.3557905348829455,0.5294973836694102,0.3387083636320381,1.0
GPI,0.409629653167047,1.0,1.0,1.0
CDC42BPA,0.449202563868977,1.0,1.0,1.0
GIPC1,1.0,0.415100101973745,1.0,1.0
SETX,0.4440427569614905,0.418242102604882,0.38586433613847,1.0
LCP1,0.3384041781842377,0.419850709395762,0.3928995978599556,1.0
BRD4,0.184631735084682,1.0,1.0,1.0
HELZ,1.0,0.45681197374502,1.0,1.0
DNM2,1.0,0.0,1.0,1.0
ZCCHC6,0.420913805059164,1.0,1.0,1.0
MEPCE,0.3045662618608565,0.4057671351495978,0.292231820804093,1.0
WHSC2,1.0,0.455299032850403,1.0,1.0
ARVCF,0.3878941338978439,0.452486865489678,0.3653623311739175,1.0
PPP1R12A,0.1730585254943239,0.2476408102712499,0.2257790016602566,1.0
PARP12,0.176844316164529,0.496834878924285,1.0,1.0
MKL1,0.443977351794813,1.0,0.362462520866115,1.0
EXOC4,0.4010140485629108,0.4354976991164453,1.0,1.0
RPS6KA3,0.1260937647856055,0.277016532357549,0.1910050319382285,1.0
RSF1,0.412108816736553,0.441445947548332,1.0,1.0
PLEC,0.3749444782455892,0.3356770367171212,0.4086810538646655,1.0
C2CD3,1.0,0.470146039929699,1.0,1.0
DOCK1,1.0,0.472351470393884,1.0,1.0
PKN2,1.0,0.4125929749899,0.439167262718862,1.0
SLCO1B7,0.436639235535097,1.0,1.0,1.0
EIF4E,0.244952801089438,0.454113275635722,0.309909031643909,1.0
MLF2,0.4598940067648903,1.0,1.0,1.0
NT5C2,0.320605435882554,0.458262577294371,1.0,1.0
SMARCAD1,0.347253757809005,1.0,1.0,1.0
PJA1,0.210949691182401,1.0,0.2887771923800425,1.0
USP6NL,0.3809756957393496,1.0,0.362083303626935,1.0
CRK,1.0,0.379283413448985,1.0,0.0551233515252277
SDCBP,1.0,1.0,0.412791748313196,1.0
RPAP3,0.217474314499787,1.0,0.2157484862660385,1.0
"VAMP2, VAMP3",0.206823119918248,1.0,0.376303614639984,1.0
ALG3,1.0,0.483538973740793,1.0,1.0
ARHGAP12,0.2168033128260052,0.549129889879502,0.2726815582234705,1.0
TNIP2,0.380737712484323,1.0,1.0,1.0
PTTG1IP,1.0,0.10184640480801,1.0,1.0
PDS5B,0.430360283894485,1.0,0.2547393017837845,1.0
PITPNM1,1.0,0.433472495128517,1.0,1.0
RIN1,0.393818760509829,1.0,0.391771323546324,1.0
BAIAP2,1.0,0.40225280902762,1.0,1.0
PANK2,0.3222787480751127,0.4137208544935425,0.3956556431234795,1.0
WDFY3,1.0,0.4861023092022137,1.0,1.0
SLC39A6,0.353394743843328,0.5746073476275355,0.32538592092514,1.0
"ATP2B1, ATP2B2",1.0,0.4432434708789085,1.0,1.0
ACTR10,1.0,0.561479464264004,1.0,1.0
