,afatinib_up,dasatinib_up,gefitinib_up,imatinib_up
SOGA2,1.0,1.85505887017001,1.0,1.0
WTAP,1.0,2.02084710018339,1.0,1.0
ZDHHC5,2.38080784700413,2.23215042957609,1.0,2.05632976095615
SF3B1,1.0,1.97707900863132,1.0,1.0
RPS28,1.0,2.5019533550365,1.0,1.0
PTK2B,1.0,2.94069014067932,1.0,1.0
"TUBB, TUBB2A, TUBB2B, TUBB4A, TUBB4B",1.0,1.88288730975177,1.0,1.0
BAZ1B,2.46997867284481,1.81331708524184,1.0,1.0
RPS3A,1.0,1.0,1.0,4.75503739120587
MEF2A,1.0,2.57030883320422,1.0,1.0
RRP1,1.0,1.96838985084938,1.0,1.0
SYMPK,1.0,3.94705509416798,1.0,1.0
BMS1,1.0,2.01743692282492,1.0,1.0
MADD,2.22447990103508,1.0,1.0,1.0
C2orf49,2.3686497953636603,2.2412235582896964,2.20737708613068,1.0
NAV2,2.00163259439945,1.0,1.0,1.0
TLN1,1.0,2.6631787698634097,1.0,1.0
SP2,1.0,1.0,1.0,2.30473452626341
RCC1,1.0,1.0,1.0,3.7080587046003
MDC1,3.35742602876906,2.01371415162473,1.0,1.0
DBNL,1.0,1.6769079775377,1.0,1.0
WNK1,2.21531499508298,1.0,2.38265410057755,1.0
AGFG1,2.43938644386263,2.2565657863649,2.36514039213177,1.0
HNRNPR,1.0,2.26125958292284,1.0,1.0
COBLL1,2.1154989562192,1.0,1.0,1.0
RANBP1,1.0,3.3517789317682,1.0,1.0
MEA1,1.0,2.62283916033883,1.0,1.0
FAM83B,1.0,2.03323274751568,1.0,1.0
MAP3K7,1.0,1.0,2.30108475879648,1.0
EIF3A,1.0,1.73193174996066,1.0,1.0
ENSA,1.0,1.0,1.0,2.64361945641077
CTTN,2.53151510694953,2.8624678941569868,3.1614803183130724,1.0
SCD,1.0,1.66462623451469,1.0,1.0
CTNND1,2.39421174295512,1.0,1.0,1.0
PCYT1A,2.663938994582155,2.0318455973185,2.52748746638405,1.0
HBS1L,1.0,1.0,1.0,2.69730895909276
BCL9L,2.590281709015125,1.0,2.64600671167388,1.0
KIF14,2.39953123684153,1.0,1.0,1.0
EPB41,1.0,2.8457467560667498,1.0,1.0
RGNEF,2.59818592146154,2.27201107940427,2.09261480814736,1.0
MKI67,1.0,1.9250113865554008,1.0,1.0
GPSM2,1.0,1.0,1.0,2.07486072841053
CDK13,1.0,2.57334521729782,2.4149063330987097,1.0
PIEZO2,2.35231416375843,1.0,1.0,1.0
NCOA3,2.43862312748105,2.00561378209522,1.0,1.0
CTDSPL2,1.0,1.0,1.0,2.09015444743361
SLX4,2.58417661625354,1.0,1.0,1.0
RPL21,1.0,2.5676454082431848,1.0,1.0
ATXN2,1.0,2.7856376542223,1.0,1.0
PHF2,3.0119900532628168,3.087621946042075,2.44816352775271,1.0
PAICS,1.0,1.74907336723331,1.0,1.0
"RBMX, RBMXL1",2.44910402729303,1.0,1.0,1.0
CALD1,1.0,1.72210601174275,1.0,1.0
GNN,2.494025257585935,1.0,1.0,1.0
SPAG9,2.311472812980798,2.69858413290815,2.825584827691721,1.0
IRS1,2.32227614542825,1.0,2.05414229015352,1.0
PNN,2.12610391670681,2.09386256467895,2.05115217062339,1.0
UBA1,2.30024214349701,1.0,1.0,1.0
HMMR,1.0,1.7012311618034,1.0,1.0
LRRC41,1.0,1.0,1.0,2.24008395785468
HIST1H1C,1.0,1.7715545049574566,1.0,1.0
FLNB,1.0,1.69429607397945,1.0,1.0
LCP1,1.0,1.0,1.0,2.25990767817916
SMPD4,1.0,2.05074580077526,1.0,1.0
APTX,2.316715767645165,1.0,2.14350544759417,1.0
KIAA1522,1.0,1.66892663636883,2.0635785909563,1.0
BRAF,1.0,1.0,2.42653969097507,1.0
"FAM21A, FAM21B",1.0,1.0,1.0,2.16211878870632
SGTA,1.0,1.0,1.0,2.02423893098355
RBMXL1,2.452323258583007,2.62189835224883,2.42726206111531,1.0
EPS8,1.0,1.69375663230326,1.0,1.0
TAOK1,2.10581974814845,1.0,1.0,1.0
SRBD1,1.0,1.85873533549048,1.0,1.0
PPP1R12A,2.6976734188424536,2.17330594978155,2.3019406751975904,2.468668849975803
MKL1,2.07286137474689,1.0,2.25039444615129,1.0
EIF4EBP1,1.0,2.13047131013367,1.0,2.2325720601936
RPS6KA3,1.0,1.0,2.22064290449183,2.16329593521895
C2orf44,1.0,2.72661188445582,1.0,1.0
UBXN7,2.364075343962925,1.0,1.0,1.0
TWISTNB,2.24421137092087,2.06497564434379,1.0,1.0
ARHGAP6,1.0,2.3688691552895,1.0,1.0
PLEKHA7,2.18300765469361,1.0,2.62889566395831,1.0
RCSD1,1.0,2.165204661610668,1.0,2.17406864457412
TTK,1.0,2.02202994237733,1.0,1.0
BRDT,1.0,1.0,2.98873435828491,1.0
NCOA6,3.29094309946885,3.02135738913647,2.29618334260185,1.0
PLEC,2.234993486592144,2.17962885144021,2.24809147708585,2.32523875793271
EML4,1.0,1.66011235176507,1.0,1.0
NUMA1,1.0,2.86395649023544,1.0,1.0
"HIST1H3A, HIST2H3A, HIST3H3",1.0,1.811871305284205,1.0,1.0
C11orf46,20.3831431482263,1.0,1.0,24.5521073081086
PHACTR4,1.0,1.0,2.344010086076425,1.0
ASPH,1.0,2.27731600515564,1.0,1.0
MOB3C,1.0,2.212794502697763,1.0,1.0
DNAJC5,1.0,1.0,2.10449483996125,1.0
TJP2,2.1553896793126337,2.03098821871029,1.0,1.0
TPD52L1,1.0,2.43702925025278,1.0,1.0
CHAMP1,2.68301128626132,1.0,1.0,1.0
INCENP,1.0,1.84288809874914,1.0,1.0
"BCLAF1, THRAP3",1.0,2.46440927058057,1.0,1.0
MAP7,2.61175751192154,2.18618747170343,1.0,1.0
"CTAGE1, CTAGE5",1.0,3.3974257769344,1.0,1.0
HAUS6,1.0,1.73606353188683,1.0,1.0
TOR1AIP1,1.0,1.67991696476191,1.0,1.0
TOMM70A,1.0,1.0,2.00039329093957,1.0
WBSCR22,1.0,1.86772742176926,1.0,1.0
SARG,1.0,1.0,1.0,2.46398910805372
SLBP,1.0,2.05853985853158,1.0,1.0
PHLDB1,7.37079329210604,14.3174805844102,2.18479531244004,1.0
DCP2,1.0,2.01743883086435,1.0,1.0
WAC,3.93361693000683,1.0,1.0,1.0
ADD2,1.0,1.73574727971595,1.0,1.0
U2AF2,2.10644746897341,1.0,1.0,1.0
VASP,1.0,2.07807144110027,1.0,1.0
KIF22,1.0,2.3309715372944,1.0,1.0
PRPF4B,2.36208336010483,1.0,1.0,1.0
TBC1D5,2.01015938069343,1.0,1.0,1.0
MKL2,1.0,1.0,1.0,3.781755651920545
RGL3,1.0,1.0,2.92661346800581,1.0
"R3HDM1, R3HDM2",1.0,2.29547384057473,1.0,1.0
SDPR,1.0,2.57537470859177,1.0,1.0
YAP1,1.0,2.361922727604115,3.11503119925328,1.0
RSL1D1,2.02820266956299,1.7213111834896668,1.0,1.0
EDC4,1.0,2.18931286749315,1.0,1.0
HSF1,2.509807615519695,1.0,1.0,1.0
"ARAF, RAF1",1.0,2.2823333226896,1.0,1.0
LRRFIP1,1.0,2.08252869814698,1.0,1.0
RTKN,3.28232482010306,1.0,2.366730247354665,1.0
KIAA0930,1.0,1.79604109521348,1.0,1.0
GTF2F1,3.0052846947631537,2.6384885481671367,2.6455745496288,1.0
MAPK1,1.0,1.0,1.0,6.00607215275624
TANC2,3.03743889732572,1.0,3.322441408117,1.0
ACIN1,1.0,1.0,1.0,2.1395762970261503
PITPNM1,1.0,2.114210288781506,1.0,1.0
MAP7D1,2.24527008188723,4.61525091196083,1.0,1.0
TAOK3,1.0,2.13630116633117,1.0,1.0
CARHSP1,2.04691680599254,1.0,2.3957758951859,1.0
TAOK2,1.0,2.05151847125431,1.0,1.0
MAP3K1,2.30077111180392,1.0,1.0,1.0
PKM2,2.58547077246398,1.0,1.0,1.0
CD44,3.21854662523258,1.0,1.0,1.0
SRGAP2,1.0,1.83913564603396,1.0,1.0
BAIAP2,1.0,2.39322824619848,1.0,1.0
DCBLD2,1.0,1.99712687278594,1.0,1.0
TRIO,1.0,1.0,1.0,2.1930079832479
NUP50,1.0,1.0,1.0,2.18236564811929
KDM3B,1.0,1.0,1.0,2.250650036795815
MAGEB1,1.0,2.73093397125989,1.0,1.0
NFIA,2.19810837070076,1.0,2.1535980558792,1.0
IRF2BP2,2.47034762849712,1.0,1.0,2.38622800177561
ARHGAP5,5.23640848878074,1.0,1.0,1.0
MICALL2,2.23890235300376,1.0,1.0,2.71634947500603
NUP214,1.0,2.08143994708613,2.30541291673036,1.0
EIF2B4,1.0,2.48450314857344,1.0,1.0
MYO9A,2.22901187139557,1.0,1.0,1.0
IFI16,2.09313081444993,1.0,1.0,1.0
FAM53C,1.0,1.84845022272374,1.0,1.0
MAP4,1.0,1.79029639021712,1.0,1.0
TEX2,2.8625828097415558,1.0,2.578837036733825,1.0
LARP1,2.17764431351232,1.70591561209799,2.99378391513713,1.0
LIMK1,1.0,1.96359474153068,1.0,1.0
VIM,1.0,2.095938667367775,1.0,1.0
MYBL2,1.0,3.27342092242469,1.0,1.0
SUPT6H,1.0,2.67189595581356,1.0,1.0
CAMK2G,1.0,2.35642663433704,1.0,1.0
NFATC2,1.0,2.36889924070214,1.0,1.0
TACC2,3.1535247347763,3.0383760247009,3.11807966992942,1.0
"CLIP1, CLIP2",1.0,1.0,2.15581071021675,1.0
PHF3,1.0,1.0,1.0,2.42931275848072
VPS4A,1.0,1.0,2.40661347325431,1.0
TMEM87A,2.6430095398839,1.0,1.0,1.0
CAMKK1,1.0,1.0,2.04225072381261,1.0
DENND4C,1.0,1.0,1.0,2.42673726825287
CEP120,1.0,1.80173923508162,1.0,1.0
KANK2,1.0,1.0,1.0,2.07758753741187
MMGT1,1.0,3.19051250551089,1.0,1.0
RB1CC1,2.55563706392686,1.0,2.42565723389469,1.0
IRF6,1.0,2.08478505584589,2.29841672205171,1.0
SH3GL1,1.0,2.13631898489526,1.0,1.0
POLR2M,1.0,1.0,1.0,2.21032859450495
FRMD6,1.0,1.0,2.13927438252432,1.0
ERBB2,2.351180539523497,3.0761027011339874,3.60114569211914,2.65296803909962
EHBP1L1,1.0,2.22592994771607,1.0,1.0
WDR44,1.0,1.72278069974386,1.0,1.0
RPS7,1.0,1.69851517817087,1.0,1.0
TRERF1,2.46196708371722,2.700233469016915,1.0,1.0
C10orf47,2.01114319195192,1.0,1.0,2.18631071472127
RPS11,1.0,1.78522696215137,1.0,1.0
FRK,1.0,2.186190480342687,1.0,1.0
KIAA1143,1.0,1.72808778190167,1.0,1.0
TOP2B,1.0,1.0,2.19020142665879,1.0
CAP1,1.0,1.0,2.95955061201708,1.0
BCAR1,1.0,1.0,2.27342148039762,1.0
SOGA1,1.0,1.0,1.0,2.72408099785911
MYO18A,1.0,2.00560742946887,2.55470958534464,1.0
NCAPD2,1.0,1.67273341820093,1.0,1.0
PTK2,1.0,2.739993684436115,1.0,1.0
SCAF11,2.12571836570536,3.53776322079769,1.0,1.0
SKA3,1.0,2.40292683668947,1.0,1.0
FAM208B,1.0,2.00423217200435,1.0,1.0
ARFGAP1,1.0,1.71159785600221,1.0,1.0
UFL1,1.0,1.0,2.628625770225385,1.0
VPRBP,2.00234764884367,1.0,1.0,1.0
CCDC28B,1.0,2.25299790782642,1.0,1.0
PBX2,1.0,1.0,1.0,2.0918396773325
GAS2L1,1.0,1.0,2.05076643669003,1.0
PEAK1,1.0,1.72105180871619,1.0,1.0
SEPT9,2.5787680604676733,1.6633463187298,1.0,1.0
SRSF10,2.10645215236469,1.0,1.0,1.0
CAMSAP1,1.0,2.3944877536752,1.0,1.0
CHTF18,1.0,1.66122894818755,1.0,1.0
RAB11FIP1,2.11404661661207,1.0,2.7400723625067,1.0
NOLC1,1.0,1.742191998097225,1.0,1.0
RTN4,1.0,2.18035397259605,1.0,1.0
BCL2L11,1.0,1.0,1.0,2.00947423080518
TRA2B,1.0,2.23065641253397,1.0,1.0
"CAMK2A, CAMK2D",1.0,1.86107246841493,1.0,1.0
NUCKS1,2.36915533907572,2.29568880340537,2.05045619971703,1.0
SYN3,3.84919406025281,1.0,1.0,1.0
FBXO38,1.0,1.0,1.0,2.11218805482554
ASAP2,1.0,2.13312194234331,1.0,1.0
ZC2HC1A,1.0,1.79347837624544,1.0,1.0
CD3EAP,1.0,1.80852659260444,1.0,1.0
CYB5B,3.22767427765915,1.0,1.0,1.0
PIK3R4,1.0,2.14333433572761,1.0,1.0
XIAP,2.75852418671276,1.0,1.0,1.0
NCL,1.0,1.724486285138715,1.0,1.0
TNIK,1.0,1.0,2.08967530509948,1.0
AP3B1,1.0,1.74430805895944,1.0,1.0
RPL29,1.0,2.04125948954143,1.0,1.0
AHNAK,3.238048815680025,3.4182305460551605,3.0168396573730183,2.377943643524
ADD3,1.0,1.0,2.46240667028078,1.0
USP36,1.0,2.86470787900456,1.0,1.0
CLINT1,1.0,4.05280618614431,1.0,1.0
"PPFIA1, PPFIA4",6.58826324279082,1.0,1.0,1.0
CELF1,1.0,2.57330682187976,1.0,1.0
DYNC1LI1,1.0,1.88429906037416,1.0,1.0
SON,1.0,2.09489591820646,1.0,1.0
MAP1B,1.0,2.37059242349811,1.0,1.0
AFAP1,1.0,1.89135031076392,1.0,1.0
RAD21,1.0,2.2132819904564,1.0,1.0
RBM15,2.638371770923466,2.84506831619506,2.903920439212605,1.0
ADAR,1.0,1.0,1.0,2.13260872990189
TJP1,1.0,2.410174773761005,1.0,1.0
PHC3,2.39051574780514,1.0,1.0,1.0
JUND,2.6239010294105967,2.55767896949563,2.74669194407251,1.0
MSH6,1.0,2.39166214541044,1.0,1.0
GPN1,1.0,3.24035694144374,1.0,1.0
MYBBP1A,2.0298317866716147,1.7733319108339625,2.28492952524593,1.0
CD97,1.0,1.0,1.0,2.08227865456925
RTF1,1.0,2.27228838045499,1.0,1.0
HTATSF1,1.0,8.7632156202394,1.0,1.0
DUSP9,1.0,2.6598483704146,1.0,1.0
HP1BP3,1.0,1.71377077511309,1.0,1.0
LSR,2.4911344880618542,2.2532123646702837,2.5605392495082118,1.0
MAP4K4,1.0,1.94729699096582,1.0,1.0
SPP1,2.6857644455982,1.0,1.0,1.0
MET,2.19863085789984,1.0,1.0,1.0
RBM34,3.0456781703406968,2.5111990090176124,2.748416311725975,1.0
PHIP,2.46160901319958,1.0,2.03825820748889,1.0
MMTAG2,1.0,4.20008647392817,1.0,1.0
SSRP1,1.0,1.8167579236457,1.0,1.0
RBMX2,2.18792465320265,1.0,1.0,1.0
SETD2,1.0,2.11336585927841,2.43974813599136,1.0
HNRNPC,2.15733812725988,1.0,1.0,2.74169635759254
"PDHA1, PDHA2",1.0,1.0,2.2474328709425,1.0
PPP1R13L,2.798438081406375,1.0,1.0,2.03883345006628
RIOK1,2.14399162341511,1.0,1.0,1.0
OXR1,2.6577610314445,1.0,1.0,1.0
AAK1,1.0,1.0,1.0,2.25244762650087
ESCO2,1.0,2.90445254324354,1.0,1.0
NAP1L4,1.0,1.0,2.31507243544983,1.0
SF1,2.59635913235034,1.0,1.0,1.0
REEP4,1.0,1.93975963920946,1.0,1.0
FAM117A,1.0,1.0,1.0,3.25311734345914
PI4KB,2.04054483116505,2.08396443613376,1.0,1.0
DNTTIP2,1.0,2.49188682227758,1.0,1.0
BNIP2,2.49934040817412,1.0,1.0,1.0
ZC3H4,1.0,1.80748799852861,1.0,1.0
RNF25,1.0,1.0,1.0,2.29296066904188
"HCK, LYN",1.0,1.97625499036926,1.0,1.0
CTTNBP2NL,2.11833717043911,2.0429543961595,1.0,1.0
C18orf21,1.0,1.77106295729696,1.0,1.0
SNX24,1.0,4.482341637294255,1.0,1.0
PXN,2.12440945776499,1.0,2.00917411035734,1.0
ARHGAP35,1.0,1.0,1.0,2.08181199856913
TMUB1,1.0,1.67372680122663,1.0,1.0
CEP170,1.0,1.7362723890239833,1.0,1.0
SIPA1,1.0,2.03404805710255,1.0,1.0
TCOF1,1.0,2.16044755904526,1.0,1.0
MYO1D,1.0,1.0,1.0,17.7732514657819
TBC1D9B,2.20174350908749,1.0,2.23460700130065,1.0
EEF1D,2.3656706364008,1.0,1.0,1.0
"FRMD8, FRMD8P1",2.4287584898685,2.021235709005,1.0,1.0
IMUP,3.6420524109225,1.0,1.0,1.0
PPHLN1,2.13626293496271,1.6726747905121,1.0,1.0
RIMS3,2.26483283921472,1.0,2.14790100772271,1.0
SOS1,1.0,2.51760299126525,2.11487254275074,1.0
CD2BP2,2.58559373698428,1.0,1.0,1.0
ACAP3,1.0,2.29517433860816,1.0,1.0
PPIP5K2,2.21067826104962,2.39822864848825,2.27007252629489,1.0
NTHL1,2.29873871417602,1.0,1.0,1.0
COL17A1,2.0302965393284,1.0,1.0,1.0
C12orf29,1.0,2.50347115376301,1.0,1.0
RBM12B,2.62998172521837,1.0,1.0,1.0
MYH9,2.26037072963611,1.0,1.0,1.0
MYCBP2,1.0,2.64296735126715,1.0,1.0
PHLDB2,2.5784827033869835,2.44544371014169,2.341492241213655,2.14520918895477
RAVER1,1.0,3.14799303018155,1.0,1.0
EPB41L5,2.27881915218617,1.0,1.0,1.0
C19orf21,1.0,1.70830966580492,1.0,1.0
ARHGEF2,1.0,1.0,2.52839343322707,1.0
ANLN,1.0,1.0,2.01342148320363,1.0
MBD4,1.0,1.0,1.0,2.11203668355172
LUC7L2,2.15704098612305,1.0,1.0,1.0
