,Lapatinib,Mirdametinib,MK-2206,Nintedanib,Pertuzumab,Pictilisib,Refametinib,Rituximab,Romidepsin,Selumetinib,SHP099 dihydrochloride,Staurosporine,Afatinib,AZD-4547,AZD-8055,Bortezomib,Carfilzomib,CUDC-101,Curcumin,Dactolisib,Dasatinib,Gefitinib,Imatinib
Apelin,-2.4898753203325175e-06,-0.0017113708379856297,-3.489158103107588e-05,-0.021509951761777692,-0.002606841687788394,-0.02974055864881266,-0.0002951903433148505,2.5065075836704695e-06,0.016208893149578064,-0.0041657711453104325,-0.023553377748888236,-1.3100063467563136e-05,-1.6769226111408146e-05,-7.502230974213145e-05,-0.16435546092539358,6.420779597578409e-07,6.892873297000324e-07,-0.0005137780494199986,2.5740290197784e-05,0.0007083468291686919,-3.4454626386905856e-06,-1.7914220859392676e-05,0.007950905278376753
Insulin,-9.134163518294146e-06,-0.004848438987022546,-0.00041446860007896577,-0.06562836261332922,-0.0030614546753879195,-0.057575788250750964,-0.0033071000702215177,5.474482276097958e-06,0.02500319096090607,-0.008282460243365144,-0.03493956168471905,-0.00011230906120953047,-0.00011386670258910624,-0.00022949176988770062,-0.316966441852535,2.206184407165043e-06,2.6422687763756306e-06,0.004032519317569418,2.1221822282638697e-05,0.00042631614649336414,-2.452748429030114e-05,-0.00013097843701906971,-0.006811758318925766
PI3K-AKT,3.4770814736635077e-06,-0.0015775361064389564,-0.0005245326789247255,-0.03771421154870766,0.0012107266735845266,-0.03358915159672896,-0.0034466330020185864,3.476031457930294e-06,-0.025516385425361946,-0.010136707011705479,-0.04142602689700333,-4.285026760429659e-05,-6.219018033853408e-05,-0.0002166484861219688,-0.1312386806234399,2.2306062400542525e-06,2.447241394331962e-06,-0.003099029799246459,2.757773380609435e-05,-0.0007620802839086952,-1.2946556489335604e-05,-8.518462565015869e-05,0.007480043239977154
mTOR,-3.929198919278381e-06,-0.004476802446579299,-0.00031190659672582775,-0.06952250471529216,-0.004324052478906493,-0.06023497158485438,-0.004361190825993662,2.1396979604159125e-06,-0.0018209130618558704,-0.008748129428291335,-0.025058101069763396,-7.307794910548475e-05,-6.20995149151801e-05,-0.00010391625758843988,-0.333957219925641,1.1848203483720304e-06,1.2181567027299873e-06,0.004022631455414073,2.0635020364511982e-05,-0.0010648254102467352,-8.402970864088883e-06,-6.393188774413612e-05,0.005258659023587834
HIF-1,1.1530245987771491e-05,0.0011785352844178051,-7.216619262813656e-05,0.0001592754569837689,-0.0016323580599117051,-0.016128894708137595,-0.0015576622549302106,2.472067435927264e-06,0.031449775928226634,-0.004414485452059428,-0.024853607661727183,-2.2539641244978834e-05,-1.68496210459174e-05,-6.039828819497253e-05,-0.08547634502574664,1.0286421528204357e-06,1.4225338479898232e-06,0.006208730701910627,5.009515457214122e-05,0.00025602219547448605,-2.0434853513083453e-06,-2.246342099144049e-05,0.010250941771245678
AMPK,-9.947097158218365e-06,0.0,-0.0002487904118529024,-0.02125449924118121,-0.0017165909689069426,-0.020073634388110204,0.0,1.6506019487998452e-06,0.004685342403490194,-0.0037009567619190817,0.0062325815295154584,4.684645272730845e-07,-3.309964083129963e-05,-9.554089561805952e-05,-0.1980676995683252,5.784253871989685e-07,7.534080459371038e-07,0.0038969770362827145,-1.1334592102369749e-05,-0.0007063950434306093,-2.19190790606102e-06,-5.66079499890135e-05,0.003727204516527064
Hippo,4.454895460167932e-05,0.0,0.00014304490317397866,0.008998506141190027,0.004211342919233067,-0.009846001673157835,0.0,2.755042651453462e-06,-0.07620154404007032,-0.0020740704771137234,0.00401877572016461,6.2981739983057095e-06,2.2258931513975543e-05,0.0002519140264262182,0.03880748226901574,2.225829382042834e-06,2.36299324205846e-06,-0.0019337796919193988,2.490082550201776e-05,0.000358644517123438,6.826792840418045e-06,7.878278921458057e-05,0.003584964988490552
Rig-I like receptor,-1.1910646736330555e-06,0.0,3.010365505554967e-05,0.0,0.0,-0.0069475606480016265,0.0,5.337758930482804e-07,-0.013504980126514982,0.0,-0.0053705197389857275,2.4070994829443518e-06,-2.9189261806053078e-06,-8.024883155774114e-05,-0.038747615236088974,1.1415303468967415e-06,1.0815900919144202e-06,0.0017223347301171656,1.2494256872512894e-05,-0.00010884122394793664,-2.634827324686335e-06,1.5090185684788893e-05,0.0036679742240361283
NF-kappa B,2.2355442953759764e-05,0.0,8.147666691632424e-05,0.0077346799413731855,0.0009744836278766892,0.01361166394067506,0.0,2.0771739307834317e-06,-0.013504980126514982,0.0019073486328125,0.00401877572016461,2.666515602745458e-05,-1.710788262231946e-06,8.419102884175077e-06,0.078879115899647,1.5132449048531293e-06,1.5704729199501617e-06,0.005182093157281941,4.113399164656309e-05,0.00045366355837427725,9.67473398185642e-07,1.8397133850487636e-05,0.003584964988490552
Calcium,1.2650805618713044e-05,0.0012803927680974819,2.7501392374205982e-05,0.0,-0.0013018828803057143,-0.005259177890836887,0.004091329348688961,2.7362033717480476e-06,0.0013677247426370635,-0.002354162826941091,-0.001569031686210994,1.8756099121697605e-06,-8.92819190873463e-06,4.7826778942573045e-06,0.0,5.416730140924079e-07,5.783098930145837e-07,0.00026295537561581833,4.253056143519444e-05,0.0009641612699938317,-1.6982482745377807e-06,-2.6428319890026657e-05,0.004846520706200327
