Gene Name,Uniprot,Protein Name,Modification Type,Cell Line,Regulation,Combination Treatment,Duration,# Curves,Max -Log10(EC50),Max Fold Change,Max R²,Min -Log10(EC50),Min Fold Change,Min R²,Average -Log10(EC50),Average Fold Change,Average R²,Median -Log10(EC50),Median Fold Change,Median R²,-Log10(EC50) Standard Dev.,Fold Change Standard Dev.,R² Standard Dev.
HCLS1,P14317,Hematopoietic lineage cell-specific protein,Phospho,RPMI8226,up,None,8 h,2,8.512597474478836,43.1294218397999,0.987480303302824,7.835639762988358,2.72348100089019,0.932669690654853,8.174118618733598,22.926451420345046,0.9600749969788385,8.174118618733598,22.926451420345046,0.9600749969788385,0.47868138837144303,28.571314767415515,0.038756955884369476
RRP15,Q9Y3B9,RRP15-like protein,Phospho,RPMI8226,down,None,16 h,4,8.601947716594529,0.288397346169745,0.991025063672722,8.456203143976273,0.143587173008792,0.944177194939605,8.524635985294227,0.23052187593690623,0.9781020732541227,8.520196540303052,0.24505149228454398,0.9886030172020821,0.07433682031840783,0.06483978956508928,0.02271203222811309
DGCR8,Q8WYQ5|Q8WYQ5-2|Q8WYQ5-3,"Microprocessor complex subunit DGCR8, Isoform 2 of Microprocessor complex subunit DGCR8, Isoform 3 of Microprocessor complex subunit DGCR8",Phospho,RPMI8226,down,None,16 h,4,8.302698792859948,0.340723854909161,0.995804742116057,7.398864212801654,0.17963023203646,0.956726524426719,7.978522863374321,0.228022194883163,0.9848311771194362,8.106264223917842,0.1958673462935155,0.9933967209674845,0.40567801415082033,0.07588664784619308,0.01881413788412054
HIRIP3,Q9BW71,HIRA-interacting protein 3,Phospho,RPMI8226,up,None,16 h,10,8.575233251572847,6.35729738335816,0.995166586689828,7.561255146485581,2.02351404646362,0.919558335643019,8.10724945104013,4.291028538830984,0.9740586812397591,8.112875310784359,4.68470377096077,0.981205260076423,0.32835119683854497,1.5859645848440749,0.024317775491920258
ATP1A1,P05023|P05023-2,"Sodium/potassium-transporting ATPase subunit alpha-1, Isoform Short of Sodium/potassium-transporting ATPase subunit alpha-1",GlyGly,RPMI8226,up,None,1 h,1,6.922858771081707,2.30937320482615,0.994938945771034,6.922858771081707,2.30937320482615,0.994938945771034,6.922858771081707,2.30937320482615,0.994938945771034,6.922858771081707,2.30937320482615,0.994938945771034,0,0,0
LIG1,P18858,DNA ligase 1,Phospho,RPMI8226,down,None,16 h,9,8.479154100569806,0.468517780232537,0.996625069131439,8.067255598273567,0.0802600691799918,0.961750046266966,8.312903806985165,0.26876880014217375,0.9844680878530565,8.321090759768003,0.241134492986559,0.992911129744706,0.1532299692331316,0.15393545393642485,0.013703670120190905
REPS1,Q96D71|Q96D71-2|Q96D71-3,"RalBP1-associated Eps domain-containing protein 1, Isoform 2 of RalBP1-associated Eps domain-containing protein 1, Isoform 3 of RalBP1-associated Eps domain-containing protein 1",Phospho,RPMI8226,down,None,16 h,3,8.97078409201805,0.233641703857048,0.992857145999072,7.707490351852123,0.11320272137366,0.976537044832955,8.388994038510495,0.17040728861747434,0.9846265540037367,8.488707671661311,0.164377440621715,0.984485471179183,0.6375224505558259,0.060445483086393074,0.008160965248707517
NCAPG,Q9BPX3,Condensin complex subunit 3,Phospho,RPMI8226,up,None,16 h,2,7.777890211053004,9.51392510082676,0.992949696201136,7.678525382969025,7.13623792358251,0.992155474670862,7.728207797011015,8.325081512204635,0.992552585435999,7.728207797011015,8.325081512204635,0.992552585435999,0.07026154374961717,1.6812787265697096,0.0005615994298211632
HELZ,P42694,Probable helicase with zinc finger domain,Phospho,RPMI8226,down,None,16 h,1,8.081305233450458,0.455965964321596,0.92079568386213,8.081305233450458,0.455965964321596,0.92079568386213,8.081305233450458,0.455965964321596,0.92079568386213,8.081305233450458,0.455965964321596,0.92079568386213,0,0,0
EIF4B,P23588,Eukaryotic translation initiation factor 4B,Phospho,RPMI8226,up,None,8 h,4,8.441937260822959,7.51657751064707,0.996746587418834,7.8622512166457055,2.37703797336162,0.982699832147436,8.10492577783784,4.304451492014658,0.9880890013490067,8.057757316941348,3.6620952420249697,0.9864547929148786,0.2575234134370204,2.277066023812787,0.006067306677480717
EIF4B,P23588,Eukaryotic translation initiation factor 4B,Phospho,RPMI8226,up,None,16 h,8,8.606172071607805,20.5756609077482,0.995930773658975,5.726482560729247,2.22690339737812,0.948145087497017,7.589447404546128,6.803863449379362,0.9839483669030517,7.858322672132431,4.999259955886905,0.9883854680872235,0.9402845404915567,5.822116409748489,0.015316860465613633
