,Trastuzumab,Tideglusib,Lapatinib,Mirdametinib,MK-2206,Nintedanib,Pertuzumab,Pictilisib,Refametinib,Rituximab,Romidepsin,Selumetinib,SHP099 dihydrochloride,Staurosporine,A485,Afatinib,AZD-4547,AZD-8055,Bortezomib,Carfilzomib,CUDC-101,Curcumin,Cytarabine,Dactolisib,Dasatinib,Gefitinib,Imatinib
Apelin,0.0,0.0,-15.620113308366195,-1.023350284408999,-2.284720485691046,-2.7452754843821254,-5.350201097720779,-4.369863784241751,-0.39504680593736474,21.636585999087625,1.2542132537117838,-4.368127644465032,-6.860834092011358,-3.4080706636250713,1.126883225383567,-11.699842109906152,-11.778794418704692,-4.167274418605119,13.716821882913205,13.370808901649749,-3.66735651000455,6.072143002924081,0.0,4.2694825231696365,-13.66668640999966,-7.729946058095178,4.871389599511241
Insulin,-2.8646181904650163,0.0,-17.280466954848837,-2.899226343104757,-15.260882008267018,-8.37602691804564,-6.283234705663656,-8.459772222071996,-4.425819981051255,58.54538526884854,1.9346992542221424,-8.684789032146849,-8.694081013132013,-29.21796659346059,3.370562459402903,-53.28360722712783,-26.795179125744532,-8.036764566575307,67.18314639134518,74.0881208621197,2.2379194115767618,5.304072221834529,-0.9572622973245635,2.569573635184549,-51.45866182190668,-28.271211440859105,-10.60036244793995
PI3K-AKT,-2.303387542303743,0.0,-18.944554526769718,-0.9433209841824632,-22.31348073418672,-6.813395284384016,0.48485790617660696,-6.935348351696541,-4.6125538640452355,28.713294477564823,-1.97440926360479,-12.629107691506086,-11.308121124835132,-13.147788734939056,2.286983694462407,-34.55555564770732,-28.46350506214782,-5.327590050334914,59.97112354323321,60.324391631916754,-7.025391340793852,1.7911323632034724,-2.679213200963698,-6.5933550055116665,-35.05052042489949,-23.736415172504152,4.346015388146507
mTOR,-1.041406665080953,-0.808266120036778,-24.712794204088162,-2.6769984361439128,-12.484512383630747,-8.873029094694669,-8.87455131150476,-8.850493495487672,-5.836486676850784,17.445824562714872,-0.1408987816108831,-9.173078563400015,-7.235257405391366,-19.01172579209019,1.126883225383567,-32.51392525641704,-14.7747043155575,-8.467570056198758,31.22855425489439,29.000716006741886,2.2250758710891008,4.074457373348034,-1.1494513028177349,-6.418117921994241,-23.25905648610786,-17.311351609958216,1.8674592811596638
HIF-1,0.0,0.0,-4.235788311081717,0.7047300279550098,-5.6571850086448885,-1.9796719670892853,-5.350201097720779,-4.369863784241751,-2.0845854631600877,19.243110926801847,2.4335237101908134,-6.628923497378666,-7.184372901682899,-7.863841063507108,1.126883225383567,-13.73675665193957,-12.26248203668038,-4.167274418605119,24.189421841040083,33.04076286465331,5.064643589703142,13.602170633166791,-1.1494513028177349,-0.4568544050593576,-12.953975836980229,-10.677141653884714,7.437703636332401
AMPK,-4.014496128260918,0.0,-17.462418462491087,0.0,-9.160551895492034,-2.712672550168982,-3.5230781098852075,-2.949475460986831,0.0,15.85795397748243,0.3625428637481145,-3.880734437586063,1.5508657271523902,0.12187423490745708,2.243679234019336,-15.198197376695074,-12.906293049978471,-5.022056784214328,15.66305413080299,19.265796377584824,2.0618608510764393,-7.435211555800968,-1.1494513028177349,-4.257718349526768,-7.2411612551576665,-11.786423845928176,1.1587067416202603
Hippo,0.0,0.0,-8.228779485310367,0.0,-9.733035533195615,-0.851537252195615,6.6432297039391,-3.446700670259059,0.0,2.476073056188206,-5.896330218627315,-6.17482052461,0.0,-18.361487172090417,0.0,-6.779477177171067,-1.8799374546953533,-1.0160264392824054,29.816996906306034,28.834569265636663,-7.511824839099035,-22.256338470932484,0.0,0.16169033986664816,-17.79071816306376,-4.5965205306377905,0.0
Rig-I like receptor,0.0,0.0,-7.731728910654064,0.0,1.1084273398100282,0.0,0.0,-1.020824592537959,0.0,0.09833353990221516,-1.0449896183213634,0.0,-1.3363571676912966,0.6262233120139029,0.0,-4.340268809771865,-11.320713734015655,-0.9824556169058782,30.831790456596682,25.964703430563297,-0.7628252202518486,1.888986913832495,0.0,-0.656028493826209,-11.09817384781098,0.14194957473638947,1.0926192984445595
NF-kappa B,0.0,0.0,-11.4966710620196,0.0,0.0,-1.0128370598986822,0.0,0.0,0.0,1.7314940882153336,-1.0449896183213634,0.0,0.0,0.9371218103768459,0.0,-6.7855341334866495,-11.127053395836157,0.0,23.82526285576239,22.412870742079328,3.7311236979979925,-0.9043210872216183,0.0,0.7344071493212717,-16.128018663359644,-4.169505923563675,0.0
Calcium,0.0,0.0,0.3934309512899088,0.7656378584375445,0.012611097694373852,0.0,-2.6719440800506797,-0.7727457735892445,5.47533694052268,24.26083626338547,0.10583193335996532,-2.4685186404225816,-1.390425292543254,0.4879526831223231,0.0,-8.099513452050742,-3.5041012701663314,0.0,10.47722870905803,10.091044342364974,-2.6584420413522682,12.642154904951516,0.0,5.811375899835325,-10.285970529916728,-9.50267903748649,1.4076072952008991
NOD-like receptor,0.0,0.0,-14.152922312146409,-1.1564435366127195,-6.69861722435105,0.0,-2.9327016755175244,0.0,0.6530830071012524,11.06461231210126,-1.1646164055489134,-4.781907497987203,-7.071120245661991,9.617268326581936,1.16010046907884,-16.13003336533298,-15.64009771556691,0.0,48.06344065275149,51.137114510124,-1.990871419254068,14.331620014740311,0.0,5.834389451927858,-38.06180964876497,-6.878869284842882,4.871389599511241
Toll-llike receptor,0.0,0.0,-22.075127865928977,-1.1564435366127195,-0.4920480647157718,0.0,-2.9327016755175244,0.0,-2.0845854631600877,5.7495995557927975,0.1785725412847603,-3.316705354840986,-5.793947609139645,4.696905499408589,0.0,-13.930552015361485,-14.35858260104925,0.0,41.03532427104778,39.91235199684067,1.5489908036523272,15.077520896240225,0.0,1.0013629173479015,-23.662167513738684,-9.0606741895802,4.871389599511241
TNF,0.0,0.0,-24.49855884720975,-1.1564435366127195,-0.4920480647157718,0.0,-6.383518077156408,0.0,-2.0845854631600877,11.037175653524343,0.1785725412847603,-4.5487145288555775,-5.793947609139645,6.133253679278717,0.0,-15.505883012598373,-14.35858260104925,0.0,42.20798103740057,42.76654443270832,3.3617777627263714,15.647734203562504,0.0,1.7357700666691733,-25.29423751100749,-12.074374585427734,4.871389599511241
Rap1,0.0,0.0,-3.2213821229108692,-2.5320188989985772,-7.565741520752225,-4.440458007152536,-3.3120376979865433,-1.979112626898634,1.3951820872653973,19.86627576892727,2.724866158228867,-8.937221094338668,-8.461701058378518,-17.246955874961024,0.0,-19.621814723521855,-22.715715945298395,0.0,16.225812045369366,12.909654496627637,-4.182183398547999,7.641389870898853,-1.529761898145963,9.299832502836301,-38.61932327763456,-16.588579911595676,1.9809024187207154
IL-17,0.0,0.0,-12.197820486118792,-1.1564435366127195,-7.391649277307092,-0.052778791852912565,-2.4537935911383837,0.051724104722073005,-1.1550049702181568,10.407928991499624,-1.0449896183213634,-7.130723082093492,-7.302639124827136,7.5750379894883215,1.16010046907884,-12.2952751410304,-14.14217307286535,0.0,40.71750441912837,39.30441799703378,4.618151805364803,15.691982531411732,0.0,0.18807750136773205,-22.01587382447828,-7.1862327106281665,6.125337722399549
Estrogen,0.0,0.7487608253729241,-8.858229642332788,-1.689424046638213,-6.699329250131711,-1.5049007142311357,-2.696021830408186,0.8202683529863701,-1.8748853937838952,23.912183859259283,-1.08816643912191,-5.868220538172657,-7.184372901682899,2.6889012736228626,1.16010046907884,-21.88727287695692,-13.574998591947447,0.9257704666677709,34.6728546624396,47.639294153471376,-2.2106468426200707,18.46500132284993,0.0,6.883675413537911,-28.344319557919945,-19.262512081895682,-6.148215695925868
Sphingolipid,0.0,0.0,-13.762239113635426,-2.1188859905391837,-0.4920480647157718,0.0,-1.3800341756762546,0.0,-0.39504680593736474,8.171145136826505,1.407532482069478,-3.316705354840986,-7.695713715198361,-2.607150969384452,0.0,-16.02345081460338,-8.161161719203061,0.0,22.339264111559856,21.685064309487423,-1.961771974780358,9.843384913489722,0.0,4.079507835468842,-17.390756134682242,-11.126516203331235,4.871389599511241
Oxytocin,-2.6012065591070703,0.0,-15.274237756052228,-2.076951751768685,-2.1063612240126517,-0.04058070517664247,-6.015523755384018,0.8698631693784656,-1.976367856882387,29.347008907362255,2.5393556435507785,-5.875773163538818,-8.971148286019123,-10.75755709969599,0.0,-18.33920463238623,-13.657862322145883,0.0,23.93412813154623,24.67276706653938,-0.8956908036288203,17.220887400449364,0.0,3.568860231615891,-16.86769667457683,-17.48138154635198,7.423101853306051
VEGF,0.0,0.0,-11.441924050119045,-2.1188859905391837,-3.5000525660147006,0.0,-3.1293379457230532,0.0,-3.132715276198705,20.216923993084134,0.0,-4.628691053238065,-5.793947609139645,-1.7708532149576055,0.0,-17.062108734549028,-13.274223163496636,0.0,31.132629067595776,28.151009343980054,3.0019875848207747,11.286701737418117,0.0,2.1642313293768813,-19.22752881109805,-10.128494538462991,4.871389599511241
cGMP,0.0,0.0,-7.52815102451523,-2.842589610206229,-1.0987199508459153,-2.321809118241615,-4.408138204442516,1.1892247581209936,-1.976367856882387,25.58079480023043,-2.001938286500862,-4.317694518194676,-7.67276511288761,-4.660877056897845,0.0,-15.992170404315173,-12.633094946876419,0.0,11.828491499576156,12.848367725861744,0.13700558410976882,2.520794635092308,0.0,5.673878109817154,-17.211719789483553,-14.92307780512559,6.175122924230442
TCR,0.0,0.0,-28.62038135130163,-2.4550619050757576,0.7441869225897051,-3.174000082383961,-2.6296474067101956,-0.06500763401660226,-4.6125538640452355,15.333740347360237,0.3625428637481145,-5.665520938947275,-5.793947609139645,-6.355725746670754,0.0,-26.180181338391353,-20.250708815537987,0.9257704666677709,35.48889073831185,39.236861106600394,4.371871883066649,16.371719920922214,0.0,1.237363462977784,-21.023430021810327,-18.023843491777797,-0.5220887812033972
BCR,0.0,0.0,-16.07797030973033,-2.4550619050757576,-0.3724269902419066,-2.316700151491229,-3.8509706513249755,-0.06500763401660226,-4.6125538640452355,19.62509163822664,-1.494948076764086,-5.665520938947275,-5.793947609139645,-3.066056029646803,0.0,-19.391374884513763,-12.068533727034712,0.9257704666677709,33.15637755861996,32.68864106964178,1.0908651956392594,14.572813431009234,0.0,1.237363462977784,-23.32688345725671,-19.652125620416694,-1.37861208297607
Chemokine,0.0,0.0,-17.589964995662797,-2.4550619050757576,-9.290980683098567,-4.05581230031647,-4.9566859329810455,-0.9475015158130651,-1.8748853937838952,13.86483592500834,-1.0836278570927798,-10.832537661685558,-5.793947609139645,-6.9062575621114215,0.0,-22.632497493302946,-17.948741087048617,0.9257704666677709,32.64865145913786,31.497997614158628,-1.367993272604784,16.64994464063977,0.0,4.923856326020818,-36.391245634980415,-15.269259508303456,-10.329408278466982
Neurotrophin,1.5351753604007496,0.0,-24.441945351617363,-4.128295502793128,-4.478998752726848,-3.248103094865429,-0.2988520694736514,-0.06500763401660226,-8.096042065784541,25.073234450292826,0.32390462497669814,-5.1937553337885864,-7.066461210950333,-7.096463603963591,0.0,-35.88458585996361,-27.829259640180204,1.7259981151644745,45.01981047826747,44.77627323148807,0.4286202712011913,22.66748642260659,0.0,5.524608632219274,-48.32890002678825,-21.083308976465148,-17.538768948875056
Prolactin,0.0,0.0,-15.332400287196547,-2.4550619050757576,-1.4713511281217335,-2.316700151491229,-2.311522726488657,-0.06500763401660226,-4.6125538640452355,9.297696521950346,-1.0836278570927798,-5.665520938947275,-7.359243670269384,-1.8017721028973668,0.0,-21.78879675872579,-14.577595747565352,0.9257704666677709,27.725620447485188,26.826187137500913,-1.367993272604784,11.917906373118724,0.0,1.237363462977784,-22.983100029218953,-18.91322347478847,-6.148215695925868
Phospholipase D,0.0,0.0,-15.227782646013072,-1.689424046638213,-4.5690679520802275,-2.385701342565933,-6.8794300452608494,-0.020563490738431778,-2.9498773688746063,10.177628242544353,-1.0836278570927798,-5.454440684650485,-10.12683135709135,-0.9782095278046395,0.0,-22.026684779275186,-17.226221351277694,-0.026230517778614737,30.812165013446528,30.053908518856034,-1.3497251612927064,8.28297602515483,0.0,3.7422902261055313,-30.36931730726603,-18.033293234608305,-12.16238286429649
Ras,1.5351753604007496,0.0,-17.22617554348156,-2.038856690312648,-2.041892339913678,-2.4381577025429078,-5.7955033607756885,0.8202683529863701,-3.7997090103709135,25.542826605127534,-1.0836278570927798,-5.785223995263568,-12.862983121527618,-18.67970430403436,0.0,-26.030537432957868,-22.492156687426455,-0.07082788506886395,45.49118340321347,42.08386867394037,-1.1214807791344852,4.096849998179313,0.0,3.2549845864846736,-42.665010436720365,-22.1063285254122,-13.300111165310632
Fc epsilon RI,0.0,0.0,-12.206855960798519,-2.4550619050757576,0.411476598859303,-1.5049007142311357,-4.0285914878411635,0.8202683529863701,-4.6125538640452355,15.518428444581168,2.6310946416756016,-3.316705354840986,-7.695713715198361,-2.032902569232845,0.0,-16.799201297282515,-11.105300234603128,0.9257704666677709,24.242028546499956,22.183118557586653,1.2637245829197197,8.421291490949999,0.0,2.0506488789579533,-20.908252206532733,-12.011396646506254,-1.772466590263483
GnRH,0.0,0.0,-16.205667471921668,-3.8083100371773972,-0.15916518284664405,-1.5049007142311357,-5.865403351035049,0.8202683529863701,-2.2699321997212585,26.634682851888034,3.7319886670296913,-7.719723749867426,-14.437144118563191,-4.953445891993388,0.0,-31.49863613668127,-17.51253802430882,0.9257704666677709,32.043712094347086,30.995956210179354,-1.3465605990063783,34.69552160124287,0.0,11.70982291381491,-31.082365753464053,-20.649609794739156,4.346901938323366
MAPK,0.0,0.0,-33.271716208916885,-3.356328927510988,-4.04309821013916,-1.0884152006836074,-2.3185043177994813,-2.2149611118858683,-4.897245492050118,37.21076876780851,2.1544868016184147,-7.432868616478512,-13.988019127693477,-18.456210795680978,0.0,-54.47221040701163,-24.856362816197578,-0.048564325165228794,84.44234507842984,77.43848872744779,1.0432140973686892,33.41863260059049,-1.1364335618252297,8.415484600554267,-46.96024491854697,-31.02702864676565,1.9746978142238687
ErbB,1.5351753604007496,0.0,-15.30628175779108,-1.689424046638213,-10.908910168128374,-4.58246423748594,-2.6437809292012577,-3.5910396352181553,-4.738950195171579,22.867052652477145,-1.8450001580778932,-9.16701386583815,-9.683888858773281,-14.204485352821045,0.0,-32.74916433903006,-20.41948710160426,-4.731812243987406,30.429175305863378,38.56621030573815,-0.08820099825772498,18.023696748340438,-2.2858848646429646,-1.9823069559474384,-37.60458081145009,-19.632519264515977,-13.751440422323247
FoxO,0.0,0.0,-12.055395231993062,-1.689424046638213,-4.5689635103621145,-1.5049007142311357,-2.745343883150794,0.38329886521377904,-4.6125538640452355,13.937484330928315,3.8410561922602913,-6.447965998573018,-8.679843481283601,-5.327202734766733,0.0,-27.63127487183932,-12.522276919158728,0.9257704666677709,20.069506580408056,18.287147816583456,-1.4146487126552871,6.18336959450638,-1.1364335618252297,2.8708256252611397,-20.52540691535628,-18.661070722412763,0.5712104345161046
cAMP,0.0,0.0,-11.755915558145565,-3.941412876673817,-3.6845291968624405,-0.9989565411846762,-5.470625759280588,2.6897006552115066,-5.8554600908298395,13.819325720394213,-1.110559288207975,-6.171665723590492,-8.739651595759323,-1.1102037583978,0.0,-14.704415349265835,-20.294195205176504,0.0,24.41059798417458,24.922570221141747,-1.4482341620541574,18.421125581120247,0.0,3.785818344393446,-19.583281723527936,-14.58647962481733,6.175122924230442
Jak-STAT,0.0,0.0,-4.852450967154221,-0.5329805100254938,-6.1740022684756175,-1.5049007142311357,0.0,-0.9082566366003364,-2.5279684008851477,-3.842400508584512,-0.7613723009851134,-4.526688645183895,-2.9557213536729936,-4.3836784558023165,0.0,-12.744006728961734,-6.83573444722153,-1.1161152143124404,21.41216232682511,20.473181149038112,-5.582517604394221,-2.679254392720673,0.0,-0.2427315446763667,-14.58209589326748,-10.498679290455819,-9.512386152032247
Notch,-2.773186867794303,0.0,3.1457281421825947,-0.4516135239309573,-5.878923595592288,-0.8330231152214018,0.0,-6.643856189774724,-2.6205619738754793,2.1173764806494386,-1.3529031661477993,0.0,0.0,-0.7389266476409485,1.0616027562120336,-11.35354120256579,-2.6266060453547353,0.0,5.625919861106592,7.842675358366419,0.04926542314994142,-2.417148452306467,0.0,0.0,-9.360395513056776,-5.12701817682075,0.0
Glucagon,-4.006322701646789,0.0,2.0200545167873676,0.0,-2.465162800918246,0.76560351729284,-1.0620554088523797,0.0,2.7376684702613403,30.12824797239681,1.2542132537117838,0.0,0.0,-5.835693213181969,0.0,-4.015612989672648,-2.3792356501824328,0.0,12.824462871418255,14.715772951822371,-0.4596565705445572,11.2741854942155,0.0,3.3919782340651077,-3.3105035758165737,-0.9524825849030836,0.0
Wnt,-2.38821652939672,0.0,-11.18063203789618,0.0,-5.653163463715623,-1.674165973360957,1.7302883363574577,-1.7735681801814747,2.7376684702613403,14.015958057042605,-5.3882669498491085,-4.737768899480685,-1.508691515687492,-4.485538945131394,0.0,-9.612334185412532,-12.347823721923195,-1.0160264392824054,32.52578503296946,31.221852637756946,-2.7880703291342517,-0.38340545576070606,0.0,2.092402533937493,-7.640544237087277,-6.185033418645685,1.2539481228883076
TGF-beta,-1.3069441813639056,0.0,-11.86331046759386,-1.1564435366127195,-3.188602642891424,-1.260149343770918,-2.9327016755175244,-2.6857992047933488,-2.0845854631600877,4.946605038177481,-3.194896011175927,-4.680462951922362,-5.793947609139645,-5.407446185953759,0.0,-7.003201351270387,-6.337886783683685,-4.631723468957372,13.437810455146666,16.02886842277854,-3.1875620013589376,4.49847455645855,0.0,-0.9081887215130722,-12.496987917459338,-7.159186354924535,4.871389599511241
Thyroid,-1.4513286213111691,0.7487608253729241,-24.818756857979835,-4.4076808494827935,-15.980622296391214,-1.88810251232001,0.712244558466488,-11.729066478709967,-1.8992810503833293,36.73322801728895,-2.5532744121206927,-19.8116541167071,-15.149351007786674,-3.7168323500018503,0.0,-43.791979934489575,-31.649276006280235,-4.011844112024507,37.463138295431655,49.087109360415276,3.5264652357238333,22.422485183667508,0.0,6.674316959150326,-43.87571573825541,-27.344318657942466,10.727759864138056
