,Gene Name,Trastuzumab,Tideglusib,Lapatinib,Mirdametinib,MK-2206,Nintedanib,Pertuzumab,Pictilisib,Refametinib,Rituximab,Romidepsin,Selumetinib,SHP099 dihydrochloride,Staurosporine,A485,Afatinib,AZD-4547,AZD-8055,Bortezomib,Carfilzomib,CUDC-101,Curcumin,Cytarabine,Dactolisib,Dasatinib,Gefitinib,Imatinib,ID,All Pathways
1,ABL1,1.5351753604007496,0.0,1.250836012512759,0.0,0.0,0.0,0.0,0.0,0.0,1.7612443532260735,0.0,0.0,0.0,0.0,0.0,0.0,-1.36202149369063,0.0,-1.5740633592810165,-1.244458013623268,3.3389332348300957,-1.174609050207524,0.0,0.0,-3.0852807876059534,0.0,-1.964992502174577,25,hsa04012 hsa04014 hsa04110 hsa04360 hsa04722 hsa05130 hsa05200 hsa05206 hsa05208 hsa05220 hsa05416
2,ACACA,-1.7029351593430455,0.0,2.3510673679115164,0.0,0.0,0.0,0.0,0.0,0.0,2.269648217504157,0.0,0.0,0.0,0.0,0.0,-2.0746115073825906,0.0,0.0,1.6857744863893298,1.7257359961217145,0.0,0.0,0.0,0.0,-1.443259065935753,-2.1349366307663744,0.0,31,hsa00061 hsa00620 hsa00640 hsa01100 hsa01212 hsa04152 hsa04910 hsa04922 hsa04936
3,AFF4,-1.052086756789919,0.0,0.3203284065740384,0.0,-1.8646175060349768,-0.963035335738562,-1.4530497032474856,-1.4629032406131657,0.0,1.22899246248373,0.0,-2.3402580111870037,0.0,-1.503606574213057,0.0,0.0,-1.1307968401288369,-1.372113715358665,-1.395067872999226,-1.3905598839351108,0.0,0.0,0.0,-1.0484993168975496,-1.7400803663161428,1.054958201103384,0.0,27125,hsa03250
5,ANK3,-2.793188953088423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288,hsa05205
8,ARFGAP2,-2.455463914087741,0.0,1.3677667449984172,0.0,0.0,0.0,0.0,0.0,0.0,2.714333213975527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.607899295977715,1.3538681982709042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84364,hsa04144
9,ARHGAP17,-1.1062506350428205,0.0,-1.7753796204658738,0.0,0.0,0.0,0.0,0.0,0.0,0.531590691433731,0.0,0.0,0.0,0.0,0.0,0.0,-2.3740299058533343,0.0,-1.5893502489408775,-1.57829656868634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55114,hsa04530
10,ARHGEF11,-1.2008371219009977,0.0,0.1534361816044396,0.0,0.0,0.0,-1.7825004277076877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6201730547841002,0.0,-1.5995829286153231,-1.988997842302707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9826,hsa04270 hsa04928 hsa05130 hsa05163 hsa05200
16,CHD8,-1.1378788555060253,0.0,-1.2202185893304498,0.0,0.0,0.0,0.0,0.0,0.0,1.0298990956249026,0.0,0.0,0.0,0.7939861444773972,0.0,0.0,0.0,0.0,2.8487559255180392,1.1469414101105433,0.0,-1.3485598701306325,0.0,0.0,0.0,0.0,0.0,57680,hsa04310
19,CRTC1,-2.613781842143085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.186196227307008,0.0,0.0,0.0,0.8833205114884952,0.0,0.0,0.0,0.0,-2.017150867365809,-1.6235927120521385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23373,hsa05166
20,CRTC2,-2.303387542303743,0.0,-2.1788222682216127,0.0,0.0,0.0,0.0,0.0,0.0,-0.3299111368975316,0.0,0.0,0.0,0.0,0.0,0.0,-3.715279928695236,0.0,0.9131528540754936,0.9011020636833784,0.0,1.2785780292647462,0.0,0.0,0.0,0.0,0.0,200186,hsa04151 hsa04152 hsa04922 hsa04931 hsa05166
