,AZD-8055,Dactolisib,Dasatinib,MK-2206,Nintedanib,Mirdametinib,Pictilisib,Refametinib,Selumetinib,Staurosporine,Tideglusib
"SAFB, SAFB2",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.340554496565803,1.0
"HSP90AB1, HSP90AB3P",1.0,1.0,1.0,0.2911634955,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PTPN11,1.0,1.0,0.1139971260388202,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CCDC92,1.0,1.0,1.0,0.42015153857332,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SIPA1L2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.345353417735245,1.0
ARHGEF2,1.0,1.0,0.4620174430916552,1.0,1.0,1.0,1.0,1.0,1.0,0.377009382951426,1.0
NOTCH2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.288605709997607,1.0
PCBP2,0.39953878983078,0.4187804023884744,0.571862107973814,0.438694556,1.0,1.0,0.4188722192186345,1.0,1.0,1.0,1.0
PKP3,1.0,1.0,0.2549625300570677,1.0,1.0,1.0,1.0,1.0,1.0,0.3661879495228604,1.0
DTX3L,1.0,1.0,0.440954192202063,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AFTPH,1.0,1.0,0.443726313147746,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
THOC2,1.0,0.541411965175947,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5470137013012509,1.0
MPRIP,1.0,1.0,0.574832168678018,0.33604701619161,0.530230858457675,1.0,1.0,1.0,1.0,0.3618913873302555,1.0
ANTXR1,1.0,1.0,1.0,0.438364941,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SSRP1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4674884225298715,1.0
BBX,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5587139738907401,1.0
AKAP2,1.0,1.0,0.39042477729901,1.0,1.0,1.0,1.0,0.587666830334592,0.127381522653062,1.0,1.0
"KDM5C, KDM5D",1.0,1.0,0.402681925438803,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HSP90AB1,1.0,1.0,0.249299530885712,0.3268971095,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PARVA,1.0,0.550096857749261,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.478767066386747,1.0
ABCC1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.364144195712919,1.0
RASA1,1.0,1.0,0.4090457033065789,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
