,Gene Name,Trastuzumab,Tideglusib,Lapatinib,Mirdametinib,MK-2206,Nintedanib,Pertuzumab,Pictilisib,Refametinib,Rituximab,Romidepsin,Selumetinib,SHP099 dihydrochloride,Staurosporine,A485,Afatinib,AZD-4547,AZD-8055,Bortezomib,Carfilzomib,CUDC-101,Curcumin,Cytarabine,Dactolisib,Dasatinib,Gefitinib,Imatinib
0,ABCF1,-3.746831819636391,0.0,6.82085201689328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.40518644388116,8.423112323923904,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,ACACA,-4.586700360300656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.155611132893453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.502116501156396,6.55586400998253,0.0
2,AFF4,-4.737546546999999,0.0,6.3415357842923585,0.0,7.53607434905916,4.954583788118398,-4.586768802,6.988589969386921,0.0,-2.625817273666667,0.0,7.3650565035609015,0.0,6.8214034255669445,0.0,0.0,5.280887740542162,8.367276997770418,8.022651931987607,7.801667621328389,0.0,0.0,0.0,8.39411315327576,6.044637167301024,0.0,0.0
3,AFTPH,-4.966037618999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.838430891914608,7.805456978430685,0.0,0.0,0.0,0.0,6.41548188756632,0.0,0.0
4,ANK3,-4.739443046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,ANLN,-1.8726992793852637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.575847954038527,0.0,6.3052721181949165,5.705392750861529,0.0,0.0,8.275949181054662,4.246774661,4.26678678,0.0,4.557348307340934,0.0,0.0,0.0
6,ARFGAP2,-4.74296454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,ARHGAP17,-4.720619357,0.0,5.244086906404518,0.0,0.0,0.0,0.0,0.0,0.0,-2.23576181075,0.0,0.0,0.0,0.0,0.0,0.0,5.299415275325517,0.0,9.187167241108027,9.070508484403772,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,ARHGEF11,-4.939456007999999,0.0,6.553505889181569,0.0,0.0,0.0,-3.5010422580000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.687900129971493,0.0,7.981170497581409,8.079159154997544,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,BRD8,-4.895970672423646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.5923280243333324,0.0,0.0,0.0,5.074733943546073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,BTBD10,-4.7159990448535405,0.0,4.719780481209311,0.0,0.0,0.0,0.0,0.0,0.0,-1.5179473740000002,0.0,0.0,0.0,0.0,0.0,8.657978361967972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.43195786139419,7.230165866161015,0.0
11,CELF1,-4.73662903,0.0,5.493371162931526,0.0,0.0,0.0,0.0,0.0,0.0,-0.8691092819999998,0.0,0.0,0.0,0.0,0.0,0.0,5.493371162931526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.838369384942648,0.0,0.0
12,CHD8,-4.885377286141579,0.0,4.662395599116247,0.0,0.0,0.0,0.0,0.0,0.0,-1.072375280000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.597005074202028,0.0,4.199086305999999,0.0,0.0,0.0,0.0,0.0
13,CLMN,-4.937109279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,CRTC1,-4.738670625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.1142734529999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.580012093641832,7.856507694727822,0.0,0.0,0.0,0.0,0.0,0.0,0.0
