,Trastuzumab,Tideglusib,Lapatinib,Mirdametinib,MK-2206,Nintedanib,Pertuzumab,Pictilisib,Refametinib,Rituximab,Romidepsin,Selumetinib,SHP099 dihydrochloride,Staurosporine,A485,Afatinib,AZD-4547,AZD-8055,Bortezomib,Carfilzomib,CUDC-101,Curcumin,Cytarabine,Dactolisib,Dasatinib,Gefitinib,Imatinib
Apelin,0.0,0.0,-0.33234283634821693,-0.021773410306574446,-0.04861107416363928,-0.05841011668898139,-0.11383406590895274,-0.092975825196633,-0.008405251190156697,0.46035289359760906,0.026685388376846465,-0.09293888605244749,-0.14597519344705018,-0.07251214177925684,0.023976238837948236,-0.24893281084906707,-0.2506126472064828,-0.08866541316181105,0.29184727410453626,0.2844852957797819,-0.07802886191499042,0.12919453197710812,0.0,0.09084005368446035,-0.2907805619148864,-0.1644669374062804,0.10364658722364344
Insulin,-0.01962067253743162,0.0,-0.11835936270444408,-0.019857714678799706,-0.1045265890977193,-0.05737004738387425,-0.0430358541483812,-0.057943645356657504,-0.03031383548665243,0.40099578951266124,0.01325136475494618,-0.05948485638456746,-0.0595485000899453,-0.2001230588593191,0.023086044242485636,-0.3649562138844372,-0.18352862414893514,-0.05504633264777608,0.46015853692702174,0.5074528826172582,0.01532821514778604,0.036329261793387184,-0.006556591077565503,0.017599819419072255,-0.35245658782127864,-0.19363843452643223,-0.07260522224616404
PI3K-AKT,-0.022362985847609155,0.0,-0.1839277138521332,-0.009158456157111293,-0.2166357352833662,-0.06614946878042734,0.0047073583123942424,-0.06733347914268487,-0.044782076349953744,0.27876984929674586,-0.019169021976745533,-0.12261269603403967,-0.10978758373626342,-0.12764843431979667,0.022203725188955407,-0.33549083153113907,-0.276344709341241,-0.05172417524597004,0.582243917895468,0.5856737051642403,-0.06820768292032865,0.017389634594208468,-0.02601177865013299,-0.06401315539331714,-0.3402963148048494,-0.23045063274275876,0.042194324156762206
mTOR,-0.01627197914188989,-0.012629158125574656,-0.38613740943887753,-0.04182810056474864,-0.19507050599423043,-0.1386410796046042,-0.13866486424226188,-0.13828896086699488,-0.0911951043257935,0.2725910087924199,-0.0022015434626700484,-0.14332935255312523,-0.11305089695924009,-0.2970582155014092,0.017607550396618234,-0.5080300821315162,-0.23085475493058594,-0.1323057821281056,0.48794616023272486,0.45313618760534197,0.0347668104857672,0.06366339645856303,-0.017960176606527108,-0.10028309253116001,-0.3634227575954353,-0.2704898689055971,0.029179051268119746
HIF-1,0.0,0.0,-0.08145746752080225,0.013552500537596343,-0.10879201939701709,-0.038070614751717025,-0.10288848264847653,-0.08403584200464906,-0.040088181983847844,0.37005982551542016,0.04679853288828487,-0.1274792980265128,-0.13816101734005576,-0.15122771275975208,0.02167083125737629,-0.26416839715268403,-0.23581696224385346,-0.08013989266548306,0.46518118925077084,0.6353992858587175,0.0973969921096758,0.26158020448397673,-0.022104832746494902,-0.008785661635756876,-0.24911491994192747,-0.20532964719009067,0.14303276223716155
AMPK,-0.0743425208937207,0.0,-0.32337811967576086,0.0,-0.16963984991651915,-0.05023467685498115,-0.06524218722009643,-0.05461991594420058,0.0,0.29366581439782274,0.006713756736076194,-0.07186545254789005,0.028719735688007227,0.00225693027606402,0.04154961544480252,-0.2814480995684273,-0.23900542685145318,-0.0930010515595246,0.29005655797783314,0.35677400699231154,0.038182608353267394,-0.1376891028852031,-0.021286135237365462,-0.07884663610234756,-0.13409557879921605,-0.2182671082579292,0.021457532252227043
Hippo,0.0,0.0,-0.10827341428039956,0.0,-0.12806625701573177,-0.011204437528889671,0.08741091715709341,-0.04535132460867183,0.0,0.03257990863405534,-0.0775832923503594,-0.08124763848171053,0.0,-0.24159851542224234,0.0,-0.08920364706804036,-0.024736019140728333,-0.013368768937926387,0.3923289066619215,0.3794022271794298,-0.098839800514461,-0.292846558828059,0.0,0.002127504471929581,-0.23408839688241792,-0.060480533297865666,0.0
Rig-I like receptor,0.0,0.0,-0.32215537127725263,0.0,0.04618447249208451,0.0,0.0,-0.04253435802241496,0.0,0.004097230829258965,-0.043541234096723475,0.0,-0.05568154865380403,0.026092638000579288,0.0,-0.18084453374049436,-0.4716964055839856,-0.040935650704411596,1.2846579356915284,1.0818626429401375,-0.03178438417716036,0.07870778807635397,0.0,-0.02733452057609204,-0.4624239103254575,0.005914565614016228,0.045525804101856644
NF-kappa B,0.0,0.0,-0.3107208395140432,0.0,0.0,-0.027373974591856275,0.0,0.0,0.0,0.04679713751933334,-0.028242962657334145,0.0,0.0,0.025327616496671514,0.0,-0.1833928144185581,-0.30073117286043666,0.0,0.6439260231287133,0.6057532632994412,0.10084118102697277,-0.024441110465449143,0.0,0.019848841873547886,-0.43589239630701737,-0.11268934928550474,0.0
Calcium,0.0,0.0,0.005785749283675129,0.01125938027114036,0.00018545731903490958,0.0,-0.03929329529486294,-0.011363908435135947,0.08051966089003941,0.35677700387331573,0.0015563519611759607,-0.03630174471209679,-0.020447430772694914,0.007175774751798869,0.0,-0.11911049194192268,-0.05153090103185781,0.0,0.15407689278026515,0.14839771091713197,-0.03909473590223924,0.18591404271987524,0.0,0.08546141029169596,-0.15126427249877542,-0.1397452799630366,0.020700107282366164
