,Trastuzumab,Tideglusib,Mirdametinib,Nintedanib,Pertuzumab,Pictilisib,Refametinib,Romidepsin,A485,AZD-8055,CUDC-101,Cytarabine,Dactolisib,Imatinib
Apelin,0.0,0.0,-0.021773410306574446,-0.05841011668898139,-0.11383406590895274,-0.092975825196633,-0.008405251190156697,0.026685388376846465,0.023976238837948236,-0.08866541316181105,-0.07802886191499042,0.0,0.09084005368446035,0.10364658722364344
Insulin,-0.01962067253743162,0.0,-0.019857714678799706,-0.05737004738387425,-0.0430358541483812,-0.057943645356657504,-0.03031383548665243,0.01325136475494618,0.023086044242485636,-0.05504633264777608,0.01532821514778604,-0.006556591077565503,0.017599819419072255,-0.07260522224616404
PI3K-AKT,-0.022362985847609155,0.0,-0.009158456157111293,-0.06614946878042734,0.0047073583123942424,-0.06733347914268487,-0.044782076349953744,-0.019169021976745533,0.022203725188955407,-0.05172417524597004,-0.06820768292032865,-0.02601177865013299,-0.06401315539331714,0.042194324156762206
mTOR,-0.01627197914188989,-0.012629158125574656,-0.04182810056474864,-0.1386410796046042,-0.13866486424226188,-0.13828896086699488,-0.0911951043257935,-0.0022015434626700484,0.017607550396618234,-0.1323057821281056,0.0347668104857672,-0.017960176606527108,-0.10028309253116001,0.029179051268119746
HIF-1,0.0,0.0,0.013552500537596343,-0.038070614751717025,-0.10288848264847653,-0.08403584200464906,-0.040088181983847844,0.04679853288828487,0.02167083125737629,-0.08013989266548306,0.0973969921096758,-0.022104832746494902,-0.008785661635756876,0.14303276223716155
AMPK,-0.0743425208937207,0.0,0.0,-0.05023467685498115,-0.06524218722009643,-0.05461991594420058,0.0,0.006713756736076194,0.04154961544480252,-0.0930010515595246,0.038182608353267394,-0.021286135237365462,-0.07884663610234756,0.021457532252227043
Hippo,0.0,0.0,0.0,-0.011204437528889671,0.08741091715709341,-0.04535132460867183,0.0,-0.0775832923503594,0.0,-0.013368768937926387,-0.098839800514461,0.0,0.002127504471929581,0.0
Rig-I like receptor,0.0,0.0,0.0,0.0,0.0,-0.04253435802241496,0.0,-0.043541234096723475,0.0,-0.040935650704411596,-0.03178438417716036,0.0,-0.02733452057609204,0.045525804101856644
NF-kappa B,0.0,0.0,0.0,-0.027373974591856275,0.0,0.0,0.0,-0.028242962657334145,0.0,0.0,0.10084118102697277,0.0,0.019848841873547886,0.0
Calcium,0.0,0.0,0.01125938027114036,0.0,-0.03929329529486294,-0.011363908435135947,0.08051966089003941,0.0015563519611759607,0.0,0.0,-0.03909473590223924,0.0,0.08546141029169596,0.020700107282366164
NOD-like receptor,0.0,0.0,-0.01779143902481107,0.0,-0.045118487315654224,0.0,0.010047430878480807,-0.017917175469983282,0.017847699524289846,0.0,-0.0306287910654472,0.0,0.08975983772196704,0.07494445537709601
Toll-llike receptor,0.0,0.0,-0.030432724647703146,0.0,-0.07717635988204012,0.0,-0.054857512188423364,0.0046992774022305344,0.0,0.0,0.04076291588558756,0.0,0.026351655719681618,0.12819446314503266
