,Trastuzumab,Tideglusib,Lapatinib,Mirdametinib,MK-2206,Nintedanib,Pertuzumab,Pictilisib,Refametinib,Rituximab,Romidepsin,Selumetinib,SHP099 dihydrochloride,Staurosporine,A485,Afatinib,AZD-4547,AZD-8055,Bortezomib,Carfilzomib,CUDC-101,Curcumin,Cytarabine,Dactolisib,Dasatinib,Gefitinib,Imatinib
Apelin,0.0,0.0,6.57237692416122,0.0,0.0,0.0,0.0,0.0,8.434018990862729,-23.683169477749995,0.0,0.0,6.526667071970594,14.742570609829237,0.0,21.112362350544167,6.783779320466422,0.0,67.5714676747645,78.7997672767838,0.0,9.453917515999999,0.0,0.0,28.14633674135336,6.73120776984542,0.0
Insulin,-9.216823666805752,0.0,39.2828729234049,17.632998136237987,67.14163004313029,5.538033661859068,-9.541297842999999,24.08631666057973,24.395172967376993,-57.997108094651516,0.0,24.004539658210124,6.200193799746488,54.09973792750846,0.0,82.98462799451279,48.210338640478476,8.297748187369283,176.67314241111643,188.82561154655292,0.0,40.541472283,0.0,19.88451079797729,126.60008339012956,39.582834551568695,13.258105286474745
PI3K-AKT,-4.630123306505096,0.0,47.539405441865306,9.004597089992217,32.52583635080471,0.0,-14.2230066,6.509195032392112,16.29733367424703,-33.12681400783333,26.303065190999995,8.27192554876681,6.200193799746488,58.33631873804473,0.0,62.52796241594038,20.03458780723151,8.286895640508483,131.90135538095902,108.25623241262257,13.389727496999999,22.033432094,0.0,14.621412772080427,99.0776749861375,32.909212991914984,6.5036374830187125
mTOR,0.0,0.0,49.0701560739345,0.0,24.44958671,0.0,-13.840524198999999,7.003733866660897,8.434018990862729,-29.06860354840151,8.347300792999999,0.0,0.0,55.83553868913136,0.0,37.18877271603323,31.634634037520723,0.0,133.40126992511907,140.7705201443133,10.201032066,18.499744455999995,0.0,0.0,61.25755894587868,28.839407769120122,6.5036374830187125
HIF-1,0.0,0.0,20.172436314927186,0.0,0.0,0.0,-4.909324042,6.509195032392112,8.434018990862729,-21.75020778175,0.0,0.0,0.0,22.25911747627932,0.0,31.4977988957288,6.783779320466422,8.286895640508483,75.0566580948916,84.94840768191561,0.0,9.025755412999999,0.0,8.197920029831522,39.18519087529782,11.772959681734081,6.616509273195522
AMPK,-9.216823666805752,0.0,33.627426334063394,8.62840104624577,39.63897208751662,10.847219860671103,-13.712844554999998,29.85027030696085,8.097839293129963,-21.528648482166666,0.0,15.53322648327846,0.0,66.21196120054476,0.0,47.9646787102742,32.99192464492394,16.110507589991386,118.47484564324778,99.61025558769128,0.0,32.413489928,0.0,15.558540455416368,66.82024810162311,35.61406210446817,0.0
Hippo,0.0,0.0,26.354122352999127,0.0,14.844043501220778,5.550695356326867,-9.168957523,13.890178464754047,0.0,-11.267383632749999,0.0,7.607615576979215,0.0,38.27611779691883,0.0,14.38767580150337,21.16554005162124,17.05492410994802,70.56856468515629,40.22764930485285,12.485414241,21.266236349999996,0.0,23.761408085310457,25.556509654044074,18.60790327998729,7.831503580945413
Rig-I like receptor,0.0,0.0,7.163843450315835,0.0,8.712567792441678,0.0,0.0,0.0,0.0,-2.8897705325,0.0,9.148183134547338,0.0,6.568031708792507,0.0,0.0,0.0,0.0,25.962150909949255,16.881200284693946,0.0,5.196384379,0.0,0.0,7.343758595412128,0.0,0.0
NF-kappa B,0.0,0.0,4.756413727873624,0.0,12.378042190037869,9.355389479134825,0.0,6.945888266414445,0.0,-2.8897705325,0.0,7.36578228705555,0.0,27.323363893711914,0.0,8.246299202307572,0.0,0.0,24.649070916975894,30.79487612936174,0.0,5.196384379,0.0,0.0,41.37031609838671,6.847357838767608,0.0
Calcium,0.0,0.0,19.40877206761268,0.0,8.457308528,0.0,0.0,6.509195032392112,0.0,-9.605182011500002,0.0,0.0,0.0,22.05936537708642,0.0,23.50171361985928,0.0,8.286895640508483,24.20616855322916,33.40199942898923,3.971396696,12.415924496999999,0.0,8.197920029831522,25.986557030258346,5.287800367379134,0.0
NOD-like receptor,0.0,0.0,6.81246202184828,0.0,12.123614184489842,10.7274998965434,-4.502647116,7.175219588869748,0.0,-10.216817462333333,8.737146502,0.0,0.0,28.113300761024448,0.0,14.863220420702397,7.945069728156597,8.485560254974532,58.32910392922305,59.18448199778688,0.0,13.723552344000002,0.0,8.845289247583889,28.826778071607826,6.218346037772374,0.0
Toll-llike receptor,0.0,0.0,0.0,0.0,6.966161647827946,10.172460865765771,0.0,6.945888266414445,8.434018990862729,-12.838439018750002,0.0,7.36578228705555,0.0,27.73943685503802,0.0,14.447415271518283,6.783779320466422,0.0,50.093684234013864,66.84590868833403,0.0,5.196384379,0.0,0.0,22.311589207657782,6.847357838767608,0.0
TNF,0.0,0.0,13.538881045659723,9.004597089992217,13.38244504029456,10.7274998965434,-9.134620917,7.175219588869748,16.29733367424703,-14.199644573583335,0.0,8.27192554876681,6.200193799746488,29.076007562826845,0.0,21.256124154067315,21.14821220524547,8.485560254974532,66.63031541759554,67.4558984475712,0.0,13.834289857,0.0,8.845289247583889,39.41423724997304,6.777852773738428,6.936599401924898
Rap1,0.0,0.0,34.75859193348051,9.145953721293411,0.0,0.0,0.0,6.509195032392112,17.07071922571519,-23.663366102651516,0.0,7.344361339348277,6.243068557946329,26.088615148989007,0.0,54.18081978627342,33.808776752412214,8.286895640508483,107.47987407427402,117.28619832202597,4.14686267,18.839451036999996,0.0,8.197920029831522,75.98512694241012,30.79346723262849,6.641596013279223
IL-17,0.0,0.0,0.0,0.0,15.385196868999998,11.254446720622132,0.0,0.0,0.0,-10.2528751945,8.737146502,0.0,0.0,29.38183795825094,0.0,0.0,0.0,0.0,50.07221127910884,50.593724290534276,0.0,14.042150971000002,0.0,0.0,7.343758595412128,0.0,0.0
