Gene Name,Uniprot,Protein Name,Modification Type,Cell Line,Regulation,Combination Treatment,Duration,# Curves,Max -Log10(EC50),Max Fold Change,Max R²,Min -Log10(EC50),Min Fold Change,Min R²,Average -Log10(EC50),Average Fold Change,Average R²,Median -Log10(EC50),Median Fold Change,Median R²,-Log10(EC50) Standard Dev.,Fold Change Standard Dev.,R² Standard Dev.
RPS6,P62753,40S ribosomal protein S6,Phospho,A549,down,None,1 h,20,7.175219588869748,0.537296459913505,0.990950204129138,6.151930532114713,0.176501909003903,0.708606203878986,6.532505950463163,0.3010084774042104,0.9186009823176241,6.478112486116185,0.30492949153738447,0.93882688274773,0.2871981671780756,0.09215460331390166,0.07558371817258257
BCL9L,Q86UU0|Q86UU0-2|Q86UU0-3|Q86UU0-4,"B-cell CLL/lymphoma 9-like protein, Isoform 2 of B-cell CLL/lymphoma 9-like protein, Isoform 3 of B-cell CLL/lymphoma 9-like protein, Isoform 4 of B-cell CLL/lymphoma 9-like protein",Phospho,A549,down,None,1 h,1,7.77347666257133,0.366546596233271,0.851076725541441,7.77347666257133,0.366546596233271,0.851076725541441,7.77347666257133,0.366546596233271,0.851076725541441,7.77347666257133,0.366546596233271,0.851076725541441,0,0,0
EIF4B,P23588,Eukaryotic translation initiation factor 4B,Phospho,A549,down,None,1 h,1,7.426206544515759,0.552767761915352,0.963440881223595,7.426206544515759,0.552767761915352,0.963440881223595,7.426206544515759,0.552767761915352,0.963440881223595,7.426206544515759,0.552767761915352,0.963440881223595,0,0,0
ACIN1,Q9UKV3|Q9UKV3-2|Q9UKV3-3|Q9UKV3-5,"Apoptotic chromatin condensation inducer in the nucleus, Isoform 2 of Apoptotic chromatin condensation inducer in the nucleus, Isoform 3 of Apoptotic chromatin condensation inducer in the nucleus, Isoform 4 of Apoptotic chromatin condensation inducer in the nucleus",Phospho,A549,down,None,1 h,6,7.504585165938109,0.583718958396038,0.985250209201724,7.064540083702587,0.380420032905943,0.701412337596934,7.303224281106356,0.4731523521628123,0.8985276106121644,7.31690992948254,0.464732082267027,0.942374891570977,0.14204902802440308,0.07467205402222316,0.10425087201470919
SRRM1,Q8IYB3|Q8IYB3-2,"Serine/arginine repetitive matrix protein 1, Isoform 2 of Serine/arginine repetitive matrix protein 1",Phospho,A549,up,None,1 h,1,5.30544866358015,1.68472314004025,0.959495576647105,5.30544866358015,1.68472314004025,0.959495576647105,5.30544866358015,1.68472314004025,0.959495576647105,5.30544866358015,1.68472314004025,0.959495576647105,0,0,0
EIF4G1,Q04637|Q04637-3|Q04637-4|Q04637-5|Q04637-6,"Eukaryotic translation initiation factor 4 gamma 1, Isoform B of Eukaryotic translation initiation factor 4 gamma 1, Isoform C of Eukaryotic translation initiation factor 4 gamma 1, Isoform D of Eukaryotic translation initiation factor 4 gamma 1, Isoform E of Eukaryotic translation initiation factor 4 gamma 1",Phospho,A549,up,None,1 h,6,6.564977843334903,3.62626743144132,0.997582097684772,5.258415012678018,2.59140405405318,0.878105806276105,6.096973054349756,3.0813741948956666,0.9608627589166518,6.386866856970215,3.05216448089151,0.972926736345691,0.5589101449865839,0.37935167734133896,0.04210241917478893
HERC1,Q15751,Probable E3 ubiquitin-protein ligase HERC1,Phospho,A549,down,None,1 h,1,6.67936245977056,0.152293545426449,0.950357868492989,6.67936245977056,0.152293545426449,0.950357868492989,6.67936245977056,0.152293545426449,0.950357868492989,6.67936245977056,0.152293545426449,0.950357868492989,0,0,0
LARP1,Q6PKG0|Q6PKG0-3,"La-related protein 1, Isoform 2 of La-related protein 1",Phospho,A549,down,None,1 h,4,6.468935385973015,0.496802263784189,0.979329707469491,5.205170910993536,0.225427165328231,0.876200270315952,5.972137776077509,0.3966698150877747,0.921348527890241,6.107222403671743,0.4322249156193395,0.9149320668877605,0.5565107206661044,0.12289738365326623,0.05174736617006974
OSBPL1A,Q9BXW6,Oxysterol-binding protein-related protein 1,Phospho,A549,down,None,1 h,1,6.165811928441728,0.328790148164518,0.854490480731936,6.165811928441728,0.328790148164518,0.854490480731936,6.165811928441728,0.328790148164518,0.854490480731936,6.165811928441728,0.328790148164518,0.854490480731936,0,0,0
SBNO1,A3KN83|A3KN83-2|A3KN83-3|A3KN83-4,"Protein strawberry notch homolog 1, Isoform 2 of Protein strawberry notch homolog 1, Isoform 3 of Protein strawberry notch homolog 1, Isoform 4 of Protein strawberry notch homolog 1",Phospho,A549,down,None,1 h,1,7.125113969598424,0.486128304695988,0.831392057602715,7.125113969598424,0.486128304695988,0.831392057602715,7.125113969598424,0.486128304695988,0.831392057602715,7.125113969598424,0.486128304695988,0.831392057602715,0,0,0
