Gene Name,Uniprot,Protein Name,Modification Type,Cell Line,Regulation,Combination Treatment,Duration,# Curves,Max -Log10(EC50),Max Fold Change,Max R²,Min -Log10(EC50),Min Fold Change,Min R²,Average -Log10(EC50),Average Fold Change,Average R²,Median -Log10(EC50),Median Fold Change,Median R²,-Log10(EC50) Standard Dev.,Fold Change Standard Dev.,R² Standard Dev.
PAK2,Q13177,Serine/threonine-protein kinase PAK 2,Phospho,A549,down,None,1 h,5,7.234477436291525,0.566876190585034,0.980608474391108,6.847417501988024,0.350525909156215,0.886391472592454,7.055700451721537,0.469126224723546,0.9434436427844728,7.042836151718976,0.521459142130861,0.960428756417,0.17693796331576847,0.10136481519052368,0.04058653361221625
PI4KB,Q9UBF8|Q9UBF8-2,"Phosphatidylinositol 4-kinase beta, Isoform 2 of Phosphatidylinositol 4-kinase beta",Phospho,K562,up,None,30 min,1,1.9999999999999996,2.08396443613376,0.980073499740204,1.9999999999999996,2.08396443613376,0.980073499740204,1.9999999999999996,2.08396443613376,0.980073499740204,1.9999999999999996,2.08396443613376,0.980073499740204,0,0,0
MKI67,P46013,Antigen KI-67,Phospho,A549,up,None,1 h,11,5.594134531545939,2.90207356764336,0.99261419208431,1.9999999999999996,1.67479174311203,0.78711579584361,3.313352093598198,1.9250113865554008,0.9127094379617022,2.0000000000004508,1.84825220160614,0.914305727620803,1.629808251691667,0.34286771353827816,0.06981913729428015
EIF4G1,Q04637|Q04637-3|Q04637-4|Q04637-5|Q04637-6,"Eukaryotic translation initiation factor 4 gamma 1, Isoform B of Eukaryotic translation initiation factor 4 gamma 1, Isoform C of Eukaryotic translation initiation factor 4 gamma 1, Isoform D of Eukaryotic translation initiation factor 4 gamma 1, Isoform E of Eukaryotic translation initiation factor 4 gamma 1",Phospho,K562,up,None,30 min,1,8.610111995031083,1.85643093042026,0.933287775462691,8.610111995031083,1.85643093042026,0.933287775462691,8.610111995031083,1.85643093042026,0.933287775462691,8.610111995031083,1.85643093042026,0.933287775462691,0,0,0
AKTIP,Q9H8T0|Q9H8T0-2,"AKT-interacting protein, Isoform 2 of AKT-interacting protein",Phospho,A431,down,None,30 min,1,5.2266188066579655,0.486099097329357,0.786037408846318,5.2266188066579655,0.486099097329357,0.786037408846318,5.2266188066579655,0.486099097329357,0.786037408846318,5.2266188066579655,0.486099097329357,0.786037408846318,0,0,0
PHACTR4,Q8IZ21|Q8IZ21-2|Q8IZ21-3,"Phosphatase and actin regulator 4, Isoform 2 of Phosphatase and actin regulator 4, Isoform 3 of Phosphatase and actin regulator 4",Phospho,A431,down,None,30 min,6,5.8301591180500845,0.483906515067463,0.92517484547729,5.097263953281061,0.276358564746449,0.793107472602694,5.437305400837605,0.36930667631111497,0.8451658169324006,5.440094902968701,0.3631354754603455,0.8386167015149135,0.23912670136454175,0.07326151885793569,0.0473321041050534
BCAR1,P56945|P56945-2,"Breast cancer anti-estrogen resistance protein 1, Isoform 2 of Breast cancer anti-estrogen resistance protein 1",Phospho,A431,down,None,30 min,5,8.876521300472163,0.474371478171703,0.995984491904678,5.631384774267444,0.163387651770625,0.801523398655609,7.585825856915022,0.35671563380128557,0.9142000751059438,7.586764952068593,0.378184485756175,0.921626691980068,1.2348574550332252,0.12026866399827889,0.07092399016243717
NPM1,P06748|P06748-2|P06748-3,"Nucleophosmin, Isoform 2 of Nucleophosmin, Isoform 3 of Nucleophosmin",Phospho,A549,up,None,1 h,8,6.335961275554698,2.14575939923401,0.987151535571556,2.000000000199352,1.69164615117851,0.816433583383201,4.994819672780749,1.8722860628172324,0.9406984369548389,5.258874660567434,1.858523787590205,0.960571099929299,1.3499189593554857,0.1482186910048201,0.06098714728690403
TWISTNB,Q3B726,DNA-directed RNA polymerase I subunit RPA43,Phospho,A431,up,None,30 min,1,4.87910821177725,2.06497564434379,0.740768921528129,4.87910821177725,2.06497564434379,0.740768921528129,4.87910821177725,2.06497564434379,0.740768921528129,4.87910821177725,2.06497564434379,0.740768921528129,0,0,0
CD3EAP,O15446|O15446-2,"DNA-directed RNA polymerase I subunit RPA34, Isoform 2 of DNA-directed RNA polymerase I subunit RPA34",Phospho,A549,up,None,1 h,1,4.3498510998557895,1.80852659260444,0.908477761536065,4.3498510998557895,1.80852659260444,0.908477761536065,4.3498510998557895,1.80852659260444,0.908477761536065,4.3498510998557895,1.80852659260444,0.908477761536065,0,0,0
