Gene Name,Uniprot,Protein Name,Modification Type,Cell Line,Regulation,Combination Treatment,Duration,# Curves,Max -Log10(EC50),Max Fold Change,Max R²,Min -Log10(EC50),Min Fold Change,Min R²,Average -Log10(EC50),Average Fold Change,Average R²,Median -Log10(EC50),Median Fold Change,Median R²,-Log10(EC50) Standard Dev.,Fold Change Standard Dev.,R² Standard Dev.
ABL1,P00519|P00519-2,"Tyrosine-protein kinase ABL1, Isoform IB of Tyrosine-protein kinase ABL1",Phospho,K562,down,None,30 min,3,6.716661771034296,0.490282677004023,0.987578771928432,6.5208992197990945,0.101233686728504,0.882769468047178,6.608568001047284,0.25614053694184263,0.9420374010906923,6.5881430123084606,0.176905247093001,0.955763963296467,0.0994667242863889,0.20627276256615337,0.053736034720753355
NUP153,P49790,Nuclear pore complex protein Nup153,Phospho,A431,up,None,30 min,1,5.4461141739730055,2.29547949868988,0.986935083740733,5.4461141739730055,2.29547949868988,0.986935083740733,5.4461141739730055,2.29547949868988,0.986935083740733,5.4461141739730055,2.29547949868988,0.986935083740733,0,0,0
RCSD1,Q6JBY9,CapZ-interacting protein,Phospho,K562,up,None,30 min,1,6.656472446720367,2.17406864457412,0.984604571497185,6.656472446720367,2.17406864457412,0.984604571497185,6.656472446720367,2.17406864457412,0.984604571497185,6.656472446720367,2.17406864457412,0.984604571497185,0,0,0
TMPO,P42166,"Lamina-associated polypeptide 2, isoform alpha",Phospho,A431,up,None,30 min,1,2.0000000000000298,3.5338229647243,0.705900397893476,2.0000000000000298,3.5338229647243,0.705900397893476,2.0000000000000298,3.5338229647243,0.705900397893476,2.0000000000000298,3.5338229647243,0.705900397893476,0,0,0
ATF7,P17544|P17544-2|P17544-3|P17544-4|P17544-6,"Cyclic AMP-dependent transcription factor ATF-7, Isoform 1 of Cyclic AMP-dependent transcription factor ATF-7, Isoform 2 of Cyclic AMP-dependent transcription factor ATF-7, Isoform 4 of Cyclic AMP-dependent transcription factor ATF-7, Isoform 6 of Cyclic AMP-dependent transcription factor ATF-7",Phospho,A431,up,None,30 min,1,5.4085581538295635,2.60076763204997,0.88474483640335,5.4085581538295635,2.60076763204997,0.88474483640335,5.4085581538295635,2.60076763204997,0.88474483640335,5.4085581538295635,2.60076763204997,0.88474483640335,0,0,0
PML,P29590-11|P29590-12|P29590-13,"Isoform PML-11 of Protein PML, Isoform PML-12 of Protein PML, Isoform PML-13 of Protein PML",Phospho,A431,up,None,30 min,1,5.9691451609463435,4.18290910218294,0.973059373298016,5.9691451609463435,4.18290910218294,0.973059373298016,5.9691451609463435,4.18290910218294,0.973059373298016,5.9691451609463435,4.18290910218294,0.973059373298016,0,0,0
STMN1,P16949|P16949-2,"Stathmin, Isoform 2 of Stathmin",Phospho,A431,up,None,30 min,2,5.298459777343132,2.42534581512119,0.971760408763512,5.154320145982142,2.41348895670105,0.947885353534979,5.226389961662637,2.41941738591112,0.9598228811492455,5.226389961662637,2.41941738591112,0.9598228811492455,0.10192211077308498,0.00838406499244993,0.016882213453298985
CIC,Q96RK0,Protein capicua homolog,Phospho,K562,down,None,30 min,2,6.721395780064829,0.415654021963478,0.98652121371148,6.537199533373588,0.24866046023959,0.952168128918743,6.629297656719208,0.332157241101534,0.9693446713151115,6.629297656719208,0.332157241101534,0.9693446713151115,0.13024641510448684,0.11808227990945551,0.024291299211620772
ELK1,P19419,ETS domain-containing protein Elk-1,Phospho,A431,up,None,30 min,1,5.329749451867458,2.37508464318416,0.889562782586815,5.329749451867458,2.37508464318416,0.889562782586815,5.329749451867458,2.37508464318416,0.889562782586815,5.329749451867458,2.37508464318416,0.889562782586815,0,0,0
MFAP1,P55081,Microfibrillar-associated protein 1,Phospho,A431,down,None,30 min,1,5.127309925144714,0.445675104188217,0.797412999969395,5.127309925144714,0.445675104188217,0.797412999969395,5.127309925144714,0.445675104188217,0.797412999969395,5.127309925144714,0.445675104188217,0.797412999969395,0,0,0
ERBB2,P04626|P04626-2|P04626-3|P04626-4,"Receptor tyrosine-protein kinase erbB-2, Isoform 2 of Receptor tyrosine-protein kinase erbB-2, Isoform 3 of Receptor tyrosine-protein kinase erbB-2, Isoform 4 of Receptor tyrosine-protein kinase erbB-2",Phospho,A431,up,None,30 min,1,5.213968273152521,2.65296803909962,0.961430916611242,5.213968273152521,2.65296803909962,0.961430916611242,5.213968273152521,2.65296803909962,0.961430916611242,5.213968273152521,2.65296803909962,0.961430916611242,0,0,0
FOSL1,P15407,Fos-related antigen 1,Phospho,A431,up,None,30 min,2,5.093284162440295,2.39438675004702,0.912383388996605,4.32824216820065,2.37547721916361,0.88829329789752,4.710763165320472,2.384931984605315,0.9003383434470624,4.710763165320472,2.384931984605315,0.9003383434470624,0.5409663820193326,0.013371057516715633,0.01703426677556473
SARG,Q9BW04|Q9BW04-2,"Specifically androgen-regulated gene protein, Isoform 2 of Specifically androgen-regulated gene protein",Phospho,A431,up,None,30 min,1,5.548363745952886,2.46398910805372,0.7504617065122,5.548363745952886,2.46398910805372,0.7504617065122,5.548363745952886,2.46398910805372,0.7504617065122,5.548363745952886,2.46398910805372,0.7504617065122,0,0,0
TPR,P12270,Nucleoprotein TPR,Phospho,K562,down,None,30 min,3,6.976698980390187,0.355465004301739,0.968175168281658,6.880768277073155,0.230858012399747,0.841743696225186,6.935891653637135,0.27485583305180833,0.9061902083002803,6.950207703448065,0.238244482453939,0.908651760393997,0.049541769461402964,0.06990721602356839,0.06325166962716616
TPR,P12270,Nucleoprotein TPR,Phospho,A431,up,None,30 min,3,5.49397493305668,3.8455017780902,0.986645707736822,5.4132328199222455,3.42554187821146,0.981382186597014,5.451525177070663,3.6837177397646967,0.9836272332917216,5.447367778233063,3.78010956299243,0.982853805541329,0.04053128646088855,0.22596485803198527,0.0027156595075799733
ABI1,Q8IZP0|Q8IZP0-10|Q8IZP0-11|Q8IZP0-2|Q8IZP0-3|Q8IZP0-4|Q8IZP0-5|Q8IZP0-6|Q8IZP0-7|Q8IZP0-8|Q8IZP0-9,"Abl interactor 1, Isoform 10 of Abl interactor 1, Isoform 11 of Abl interactor 1, Isoform 2 of Abl interactor 1, Isoform 3 of Abl interactor 1, Isoform 4 of Abl interactor 1, Isoform 5 of Abl interactor 1, Isoform 6 of Abl interactor 1, Isoform 7 of Abl interactor 1, Isoform 8 of Abl interactor 1, Isoform 9 of Abl interactor 1",Phospho,K562,down,None,30 min,1,6.805739842849978,0.184661084571144,0.988924197748368,6.805739842849978,0.184661084571144,0.988924197748368,6.805739842849978,0.184661084571144,0.988924197748368,6.805739842849978,0.184661084571144,0.988924197748368,0,0,0
SRSF5,Q13243|Q13243-3,"Serine/arginine-rich splicing factor 5, Isoform SRP40-4 of Serine/arginine-rich splicing factor 5",Phospho,A431,down,None,30 min,2,7.505825482513375,0.481669014249408,0.858860585867846,7.149935768799803,0.450987258553931,0.831669225692375,7.327880625656588,0.4663281364016695,0.8452649057801105,7.327880625656588,0.4663281364016695,0.8452649057801105,0.2516520299214062,0.021695277510980736,0.019227195169761353
DDI2,Q5TDH0|Q5TDH0-2|Q5TDH0-3,"Protein DDI1 homolog 2, Isoform 2 of Protein DDI1 homolog 2, Isoform 3 of Protein DDI1 homolog 2",Phospho,A431,up,None,30 min,1,5.418317661310665,4.66984214794307,0.992234020193601,5.418317661310665,4.66984214794307,0.992234020193601,5.418317661310665,4.66984214794307,0.992234020193601,5.418317661310665,4.66984214794307,0.992234020193601,0,0,0
AHNAK,Q09666,Neuroblast differentiation-associated protein AHNAK,Phospho,A431,up,None,30 min,4,5.483802408418277,2.686173417187,0.96597595453209,5.100990111554233,2.15984446747522,0.842303051894706,5.28313828914998,2.3779436435239996,0.9090683077950775,5.273880318313704,2.3328783447168897,0.913997112376757,0.19927657620429992,0.258954152987472,0.06091667850100084
