Gene Name,Uniprot,Protein Name,Modification Type,Cell Line,Regulation,Combination Treatment,Duration,# Curves,Max -Log10(EC50),Max Fold Change,Max R²,Min -Log10(EC50),Min Fold Change,Min R²,Average -Log10(EC50),Average Fold Change,Average R²,Median -Log10(EC50),Median Fold Change,Median R²,-Log10(EC50) Standard Dev.,Fold Change Standard Dev.,R² Standard Dev.
KIF4A,O95239|O95239-2,"Chromosome-associated kinesin KIF4A, Isoform 2 of Chromosome-associated kinesin KIF4A",Phospho,A549,down,None,1 h,1,6.654627836732475,0.440344876745433,0.94890953895768,6.654627836732475,0.440344876745433,0.94890953895768,6.654627836732475,0.440344876745433,0.94890953895768,6.654627836732475,0.440344876745433,0.94890953895768,0,0,0
LAS1L,Q9Y4W2|Q9Y4W2-2|Q9Y4W2-3,"Ribosomal biogenesis protein LAS1L, Isoform 2 of Ribosomal biogenesis protein LAS1L, Isoform 3 of Ribosomal biogenesis protein LAS1L",Phospho,A549,down,None,30 min,2,9.047081109999999,0.421619606,0.869577045,8.594744652999998,0.410965241,0.838015025,8.820912881499998,0.41629242349999995,0.853796035,8.820912881499998,0.41629242349999995,0.853796035,0.31985017612259803,0.00753377374073659,0.022317718369945415
ZC3H4,Q9UPT8,Zinc finger CCCH domain-containing protein 4,Phospho,A549,down,None,1 h,1,5.407256209937623,0.399849747055618,0.92287299078148,5.407256209937623,0.399849747055618,0.92287299078148,5.407256209937623,0.399849747055618,0.92287299078148,5.407256209937623,0.399849747055618,0.92287299078148,0,0,0
UBAP2L,Q14157|Q14157-1|Q14157-3|Q14157-4|Q14157-5,"Ubiquitin-associated protein 2-like, Isoform 2 of Ubiquitin-associated protein 2-like, Isoform 3 of Ubiquitin-associated protein 2-like, Isoform 4 of Ubiquitin-associated protein 2-like, Isoform 5 of Ubiquitin-associated protein 2-like",Phospho,A549,up,None,30 min,1,8.096031994999999,2.927224285,0.772221697,8.096031994999999,2.927224285,0.772221697,8.096031994999999,2.927224285,0.772221697,8.096031994999999,2.927224285,0.772221697,0,0,0
LMO7,Q8WWI1|Q8WWI1-2|Q8WWI1-3|Q8WWI1-4,"LIM domain only protein 7, Isoform 2 of LIM domain only protein 7, Isoform 3 of LIM domain only protein 7, Isoform 4 of LIM domain only protein 7",Phospho,A549,down,Selumetinib 1:0.5,30 min,1,8.291701214709722,0.320237761528894,0.884364952733641,8.291701214709722,0.320237761528894,0.884364952733641,8.291701214709722,0.320237761528894,0.884364952733641,8.291701214709722,0.320237761528894,0.884364952733641,-0.3010299956639812,0,0
SRRM2,Q9UQ35|Q9UQ35-2,"Serine/arginine repetitive matrix protein 2, Isoform 2 of Serine/arginine repetitive matrix protein 2",Phospho,A549,down,None,1 h,1,8.260340270927058,0.166177925492599,0.790088552517617,8.260340270927058,0.166177925492599,0.790088552517617,8.260340270927058,0.166177925492599,0.790088552517617,8.260340270927058,0.166177925492599,0.790088552517617,0,0,0
EIF4B,P23588,Eukaryotic translation initiation factor 4B,Phospho,A549,down,None,1 h,1,8.839459892892672,0.381312619488547,0.896465544971831,8.839459892892672,0.381312619488547,0.896465544971831,8.839459892892672,0.381312619488547,0.896465544971831,8.839459892892672,0.381312619488547,0.896465544971831,0,0,0
ADAR,P55265|P55265-2|P55265-3|P55265-4|P55265-5,"Double-stranded RNA-specific adenosine deaminase, Isoform 2 of Double-stranded RNA-specific adenosine deaminase, Isoform 3 of Double-stranded RNA-specific adenosine deaminase, Isoform 4 of Double-stranded RNA-specific adenosine deaminase, Isoform 5 of Double-stranded RNA-specific adenosine deaminase",Phospho,A549,up,None,30 min,2,6.3896246869999995,2.215978618,0.988134372,6.267740142999999,2.09623109,0.983649222,6.328682414999999,2.1561048539999996,0.9858917970000001,6.328682414999999,2.1561048539999996,0.9858917970000001,0.0861853875842303,0.08467428907912612,0.0031714799796387604
DYNC1I2,Q13409|Q13409-2|Q13409-3|Q13409-5|Q13409-6,"Cytoplasmic dynein 1 intermediate chain 2, Isoform 2B of Cytoplasmic dynein 1 intermediate chain 2, Isoform 2C of Cytoplasmic dynein 1 intermediate chain 2, Isoform 2E of Cytoplasmic dynein 1 intermediate chain 2, Isoform 2F of Cytoplasmic dynein 1 intermediate chain 2",Phospho,A549,up,None,1 h,1,2.0000000773432465,2.23886257093295,0.719823379948009,2.0000000773432465,2.23886257093295,0.719823379948009,2.0000000773432465,2.23886257093295,0.719823379948009,2.0000000773432465,2.23886257093295,0.719823379948009,0,0,0
EEF2K,O00418,Eukaryotic elongation factor 2 kinase,Phospho,A549,down,None,1 h,2,7.206294575419011,0.502743305496015,0.724370100708887,6.921696102372925,0.374962488720597,0.715392765006996,7.0639953388959675,0.438852897108306,0.7198814328579415,7.0639953388959675,0.438852897108306,0.7198814328579415,0.2012415102062238,0.0903546820474538,0.006347934951795195
