Gene Name,Uniprot,Protein Name,Modification Type,Cell Line,Regulation,Combination Treatment,Duration,# Curves,Max -Log10(EC50),Max Fold Change,Max R²,Min -Log10(EC50),Min Fold Change,Min R²,Average -Log10(EC50),Average Fold Change,Average R²,Median -Log10(EC50),Median Fold Change,Median R²,-Log10(EC50) Standard Dev.,Fold Change Standard Dev.,R² Standard Dev.
AHNAK,Q09666,Neuroblast differentiation-associated protein AHNAK,Phospho,A549,down,None,1 h,4,9.769820300263767,1,0.954262968507258,8.719061638406412,1,0.887297683770024,9.119418374782551,1,0.9321568617377065,8.994395780230011,1,0.943533397336772,0.4530826731155844,0,0.030914616215748016
TBC1D4,O60343|O60343-2|O60343-3,"TBC1 domain family member 4, Isoform 2 of TBC1 domain family member 4, Isoform 3 of TBC1 domain family member 4",Phospho,A549,down,None,1 h,1,8.72551964906715,0.571721815028073,0.921457677185485,8.72551964906715,0.571721815028073,0.921457677185485,8.72551964906715,0.571721815028073,0.921457677185485,8.72551964906715,0.571721815028073,0.921457677185485,0,0,0
TBC1D4,O60343|O60343-2|O60343-3,"TBC1 domain family member 4, Isoform 2 of TBC1 domain family member 4, Isoform 3 of TBC1 domain family member 4",Phospho,A549,down,None,1 h,2,8.531282443424388,1,0.97241501051853,8.521744181075128,1,0.892865039816559,8.526513312249758,1,0.9326400251675444,8.526513312249758,1,0.9326400251675444,0.006744569987897861,0,0.05625032372655492
KIF21A,Q7Z4S6|Q7Z4S6-2|Q7Z4S6-3|Q7Z4S6-4,"Kinesin-like protein KIF21A, Isoform 2 of Kinesin-like protein KIF21A, Isoform 3 of Kinesin-like protein KIF21A, Isoform 4 of Kinesin-like protein KIF21A",Phospho,A549,down,None,1 h,2,9.334992188478498,0.522936322379011,0.96965770036478,9.301217615324854,0.431929848310704,0.947824693369258,9.318104901901677,0.4774330853448575,0.958741196867019,9.318104901901677,0.4774330853448575,0.958741196867019,0.023882229708622683,0.06435129494557755,0.015438267300226927
TMEM230,Q96A57|Q96A57-2,"Transmembrane protein 230, Isoform 1 of Transmembrane protein 230",Phospho,A549,down,None,1 h,1,9.360191226777099,0.472390379023325,0.925412581726382,9.360191226777099,0.472390379023325,0.925412581726382,9.360191226777099,0.472390379023325,0.925412581726382,9.360191226777099,0.472390379023325,0.925412581726382,0,0,0
MAP1B,P46821,Microtubule-associated protein 1B,Phospho,A549,up,None,1 h,2,7.426563782806536,1.9975765478405,0.938821107061868,4.620192204104073,1.80392851675364,0.776162448339896,6.023377993455304,1.9007525322970702,0.857491777700882,6.023377993455304,1.9007525322970702,0.857491777700882,1.9844043738297084,0.136929835944942,0.1150170406010148
LRRC16A,Q5VZK9|Q5VZK9-2,"Leucine-rich repeat-containing protein 16A, Isoform 2 of Leucine-rich repeat-containing protein 16A",Phospho,A549,down,None,1 h,1,9.628377407084614,1,0.822621409004893,9.628377407084614,1,0.822621409004893,9.628377407084614,1,0.822621409004893,9.628377407084614,1,0.822621409004893,0,0,0
KDM3B,Q7LBC6,Lysine-specific demethylase 3B,Phospho,A549,down,None,1 h,1,8.225996039802421,1,0.909057099951616,8.225996039802421,1,0.909057099951616,8.225996039802421,1,0.909057099951616,8.225996039802421,1,0.909057099951616,0,0,0
GAB1,Q13480|Q13480-2,"GRB2-associated-binding protein 1, Isoform 2 of GRB2-associated-binding protein 1",Phospho,A549,down,None,1 h,1,8.805039678903707,1,0.893777978821803,8.805039678903707,1,0.893777978821803,8.805039678903707,1,0.893777978821803,8.805039678903707,1,0.893777978821803,0,0,0
"FAM21A, FAM21B, FAM21C",Q641Q2|Q641Q2-2|Q5SNT6|Q9Y4E1|Q9Y4E1-2|Q9Y4E1-3|Q9Y4E1-4,"WASH complex subunit FAM21A, Isoform 2 of WASH complex subunit FAM21A, WASH complex subunit FAM21B, WASH complex subunit FAM21C, Isoform 2 of WASH complex subunit FAM21C, Isoform 3 of WASH complex subunit FAM21C, Isoform 4 of WASH complex subunit FAM21C",Phospho,A549,down,None,1 h,2,9.843022428342682,1,0.871728969870645,8.911485274416918,1,0.797209799263365,9.3772538513798,1,0.834469384567005,9.3772538513798,1,0.834469384567005,0.658696238468124,0,0.05269301086480496
