Gene Name,Uniprot,Protein Name,Modification Type,Cell Line,Regulation,Combination Treatment,Duration,# Curves,Max -Log10(EC50),Max Fold Change,Max R²,Min -Log10(EC50),Min Fold Change,Min R²,Average -Log10(EC50),Average Fold Change,Average R²,Median -Log10(EC50),Median Fold Change,Median R²,-Log10(EC50) Standard Dev.,Fold Change Standard Dev.,R² Standard Dev.
EIF4G1,Q04637|Q04637-3|Q04637-4|Q04637-5|Q04637-6,"Eukaryotic translation initiation factor 4 gamma 1, Isoform B of Eukaryotic translation initiation factor 4 gamma 1, Isoform C of Eukaryotic translation initiation factor 4 gamma 1, Isoform D of Eukaryotic translation initiation factor 4 gamma 1, Isoform E of Eukaryotic translation initiation factor 4 gamma 1",Phospho,HELA013,down,None,4 h,3,5.669666420999999,0.496039616,0.920274827,4.0263235569999996,0.21616869,0.906450545,5.026722048333332,0.3113620883333333,0.9125368699999999,5.384176166999999,0.221877959,0.910885238,0.8780512669421717,0.15996090415139855,0.007058584093247689
FARP2,O94887|O94887-2,"FERM, RhoGEF and pleckstrin domain-containing protein 2, Isoform 2 of FERM, RhoGEF and pleckstrin domain-containing protein 2",Phospho,HELA013,down,None,4 h,1,4.634696028999999,0.339666807,0.9220295,4.634696028999999,0.339666807,0.9220295,4.634696028999999,0.339666807,0.9220295,4.634696028999999,0.339666807,0.9220295,0,0,0
TRERF1,Q96PN7|Q96PN7-2|Q96PN7-3|Q96PN7-4|Q96PN7-5,"Transcriptional-regulating factor 1, Isoform 2 of Transcriptional-regulating factor 1, Isoform 3 of Transcriptional-regulating factor 1, Isoform 4 of Transcriptional-regulating factor 1, Isoform 5 of Transcriptional-regulating factor 1",Phospho,HELA013,up,None,4 h,1,5.118910014,2.931041693,0.929142625,5.118910014,2.931041693,0.929142625,5.118910014,2.931041693,0.929142625,5.118910014,2.931041693,0.929142625,0,0,0
MAP7D1,Q3KQU3|Q3KQU3-2|Q3KQU3-3|Q3KQU3-4,"MAP7 domain-containing protein 1, Isoform 2 of MAP7 domain-containing protein 1, Isoform 3 of MAP7 domain-containing protein 1, Isoform 4 of MAP7 domain-containing protein 1",Phospho,HELA013,down,None,4 h,3,4.126136056999999,0.492469976,0.948636341,3.9376721530000007,0.348261759,0.718798838,4.054882252666666,0.43356477099999996,0.846728968,4.100838547999999,0.459962578,0.872751725,0.10229196736940564,0.07564149405839832,0.11710767420510722
FNBP4,Q8N3X1|Q8N3X1-2,"Formin-binding protein 4, Isoform 2 of Formin-binding protein 4",Phospho,HELA013,down,None,4 h,1,4.1271541019999995,0.454908051,0.895992701,4.1271541019999995,0.454908051,0.895992701,4.1271541019999995,0.454908051,0.895992701,4.1271541019999995,0.454908051,0.895992701,0,0,0
CHD4,Q14839|Q14839-2,"Chromodomain-helicase-DNA-binding protein 4, Isoform 2 of Chromodomain-helicase-DNA-binding protein 4",Phospho,HELA013,up,None,4 h,1,5.613591108999998,2.452778076,0.89718753,5.613591108999998,2.452778076,0.89718753,5.613591108999998,2.452778076,0.89718753,5.613591108999998,2.452778076,0.89718753,0,0,0
NUP35,Q8NFH5,Nucleoporin NUP53,Phospho,HELA013,down,None,4 h,2,4.361253200999999,0.442873241,0.755867467,4.355894746999999,0.391997549,0.730783679,4.358573973999999,0.417435395,0.7433255729999999,4.358573973999999,0.417435395,0.7433255729999999,0.003788999160076189,0.035974546810758165,0.017736916592645705
RBBP6,Q7Z6E9|Q7Z6E9-2,"E3 ubiquitin-protein ligase RBBP6, Isoform 2 of E3 ubiquitin-protein ligase RBBP6",Acetyl,HELA013,up,None,4 h,1,6.813133333999999,3.388823448,0.965193529,6.813133333999999,3.388823448,0.965193529,6.813133333999999,3.388823448,0.965193529,6.813133333999999,3.388823448,0.965193529,0,0,0
PKN2,Q16513|Q16513-2|Q16513-3|Q16513-4|Q16513-5,"Serine/threonine-protein kinase N2, Isoform 2 of Serine/threonine-protein kinase N2, Isoform 3 of Serine/threonine-protein kinase N2, Isoform 4 of Serine/threonine-protein kinase N2, Isoform 5 of Serine/threonine-protein kinase N2",Phospho,HELA013,down,None,4 h,1,4.251235373,0.39836375,0.867493924,4.251235373,0.39836375,0.867493924,4.251235373,0.39836375,0.867493924,4.251235373,0.39836375,0.867493924,0,0,0
SRRM2,Q9UQ35|Q9UQ35-2,"Serine/arginine repetitive matrix protein 2, Isoform 2 of Serine/arginine repetitive matrix protein 2",Phospho,HELA013,down,None,4 h,3,4.595259011999999,0.472333561,0.983196479,3.3096130939999995,0.366677515,0.727231569,4.002596315666666,0.41414882533333336,0.8336231096666666,4.102916841,0.4034354,0.790441281,0.6486674899128845,0.05363658383853515,0.13333420991281658
RRP1B,Q14684|Q14684-2,"Ribosomal RNA processing protein 1 homolog B, Isoform 2 of Ribosomal RNA processing protein 1 homolog B",Phospho,HELA013,down,None,4 h,1,4.004184511,0.483586999,0.833414549,4.004184511,0.483586999,0.833414549,4.004184511,0.483586999,0.833414549,4.004184511,0.483586999,0.833414549,0,0,0
SEPT9,Q9UHD8|Q9UHD8-2|Q9UHD8-5|Q9UHD8-7,"Septin-9, Isoform 2 of Septin-9, Isoform 5 of Septin-9, Isoform 7 of Septin-9",Phospho,HELA013,down,None,4 h,2,4.259737220999999,0.375784004,0.945308687,4.175037345,0.321696924,0.877874872,4.217387282999999,0.34874046400000003,0.9115917795,4.217387282999999,0.34874046400000003,0.9115917795,0.05989185668525889,0.03824534104257932,0.04768290786777913
ARHGEF40,Q8TER5|Q8TER5-2,"Rho guanine nucleotide exchange factor 40, Isoform 2 of Rho guanine nucleotide exchange factor 40",Phospho,HELA013,up,None,4 h,1,4.394036422999999,2.164938261,0.800857051,4.394036422999999,2.164938261,0.800857051,4.394036422999999,2.164938261,0.800857051,4.394036422999999,2.164938261,0.800857051,0,0,0
"H2BFS, HIST1H2BB, HIST1H2BC, HIST1H2BD, HIST1H2BH, HIST1H2BJ, HIST1H2BK, HIST1H2BL, HIST1H2BN, HIST1H2BO, HIST2H2BE, HIST2H2BF, HIST3H2BB",P57053|P33778|P62807|P58876|Q93079|P06899|O60814|Q99880|Q99877|P23527|Q16778|Q5QNW6|Q5QNW6-2|Q8N257,"Histone H2B type F-S, Histone H2B type 1-B, Histone H2B type 1-C/E/F/G/I, Histone H2B type 1-D, Histone H2B type 1-H, Histone H2B type 1-J, Histone H2B type 1-K, Histone H2B type 1-L, Histone H2B type 1-N, Histone H2B type 1-O, Histone H2B type 2-E, Histone H2B type 2-F, Isoform 2 of Histone H2B type 2-F, Histone H2B type 3-B",Acetyl,HELA013,up,None,4 h,3,6.798333671,40.85164451,0.966289218,6.651856647,11.84241053,0.898653595,6.746659778666666,22.118043326666665,0.9416994923333334,6.789789018,13.66007494,0.960155664,0.08221300447057087,16.24921031770425,0.03740477348002041
