Gene Name,Uniprot,Protein Name,Modification Type,Cell Line,Regulation,Combination Treatment,Duration,# Curves,Max -Log10(EC50),Max Fold Change,Max R²,Min -Log10(EC50),Min Fold Change,Min R²,Average -Log10(EC50),Average Fold Change,Average R²,Median -Log10(EC50),Median Fold Change,Median R²,-Log10(EC50) Standard Dev.,Fold Change Standard Dev.,R² Standard Dev.
TNRC18,O15417|O15417-2,"Trinucleotide repeat-containing gene 18 protein, Isoform 2 of Trinucleotide repeat-containing gene 18 protein",Phospho,HELA013,down,None,16 h,3,8.897152075999998,0.445642545,0.980087934,8.715247313,0.309750226,0.955930851,8.796037622666665,0.39000006466666665,0.9641366256666667,8.775713478999998,0.414607423,0.956391092,0.09263983383166656,0.07120970547550552,0.013816154805274998
CAMSAP3,Q9P1Y5|Q9P1Y5-2,"Calmodulin-regulated spectrin-associated protein 3, Isoform 2 of Calmodulin-regulated spectrin-associated protein 3",Phospho,HELA013,up,None,16 h,2,8.610151509,6.57055783,0.987598406,8.554523821,2.982720872,0.959623397,8.582337665,4.776639351,0.9736109015000001,8.582337665,4.776639351,0.9736109015000001,0.039334715406529816,2.5369838427935147,0.019781318567654693
TPRN,Q4KMQ1|Q4KMQ1-2|Q4KMQ1-3|Q4KMQ1-4,"Taperin, Isoform 2 of Taperin, Isoform 3 of Taperin, Isoform 4 of Taperin",Phospho,HELA013,up,None,16 h,2,8.434226796999999,3.727638114,0.955114513,8.282700999999998,2.350189639,0.930523942,8.358463898499998,3.0389138764999997,0.9428192275,8.358463898499998,3.0389138764999997,0.9428192275,0.10714491858339725,0.9740031574075685,0.017388159507349305
MSL3P1,P0C860,Putative male-specific lethal-3 protein-like 2,Phospho,HELA013,down,None,16 h,1,8.090564582,0.498922341,0.7465845,8.090564582,0.498922341,0.7465845,8.090564582,0.498922341,0.7465845,8.090564582,0.498922341,0.7465845,0,0,0
EIF4EBP2,Q13542,Eukaryotic translation initiation factor 4E-binding protein 2,Phospho,HELA013,up,None,16 h,2,8.580941455999998,2.221903955,0.844390027,8.498599932,2.160498389,0.821016381,8.539770693999998,2.191201172,0.832703204,8.539770693999998,2.191201172,0.832703204,0.05822424999363316,0.043420292121198356,0.01652766358765384
RBBP6,Q7Z6E9|Q7Z6E9-2,"E3 ubiquitin-protein ligase RBBP6, Isoform 2 of E3 ubiquitin-protein ligase RBBP6",Acetyl,HELA013,up,None,16 h,1,8.745487877,3.133683755,0.98032217,8.745487877,3.133683755,0.98032217,8.745487877,3.133683755,0.98032217,8.745487877,3.133683755,0.98032217,0,0,0
YEATS2,Q9ULM3,YEATS domain-containing protein 2,Phospho,HELA013,down,None,16 h,4,8.905592185999996,0.368453276,0.982252681,8.696504747,0.298978277,0.955136816,8.760587874749998,0.3235329415,0.9719300519999999,8.720127283,0.3133501065,0.9751653554999999,0.09777854742738351,0.031104849263435222,0.011739173467984315
C9orf40,Q8IXQ3,Uncharacterized protein C9orf40,Phospho,HELA013,down,None,16 h,3,8.740540420999999,0.427628244,0.983783534,8.706404702,0.329566452,0.965136105,8.726861907666667,0.3638733296666667,0.9769285933333333,8.7336406,0.334425293,0.981866141,0.018049233507941544,0.05526679753888244,0.0102574940798405
TOM1L2,Q6ZVM7|Q6ZVM7-2,"TOM1-like protein 2, Isoform 2 of TOM1-like protein 2",Phospho,HELA013,up,None,16 h,1,8.582827431,3.702846878,0.990428024,8.582827431,3.702846878,0.990428024,8.582827431,3.702846878,0.990428024,8.582827431,3.702846878,0.990428024,0,0,0
AHCYL2,Q96HN2|Q96HN2-2,"Putative adenosylhomocysteinase 3, Isoform 2 of Putative adenosylhomocysteinase 3",Phospho,HELA013,up,None,16 h,1,8.529435258,2.172898958,0.956708766,8.529435258,2.172898958,0.956708766,8.529435258,2.172898958,0.956708766,8.529435258,2.172898958,0.956708766,0,0,0
