Gene Name,Uniprot,Protein Name,Modification Type,Cell Line,Regulation,Combination Treatment,Duration,# Curves,Max -Log10(EC50),Max Fold Change,Max R²,Min -Log10(EC50),Min Fold Change,Min R²,Average -Log10(EC50),Average Fold Change,Average R²,Median -Log10(EC50),Median Fold Change,Median R²,-Log10(EC50) Standard Dev.,Fold Change Standard Dev.,R² Standard Dev.
SNRNP40,Q96DI7,U5 small nuclear ribonucleoprotein 40 kDa protein,Acetyl,HELA013,down,None,30 min,1,7.303799729,0.092522417,0.99049341,7.303799729,0.092522417,0.99049341,7.303799729,0.092522417,0.99049341,7.303799729,0.092522417,0.99049341,0,0,0
HIST1H2BM,Q99879,Histone H2B type 1-M,Acetyl,HELA013,down,None,30 min,1,7.290778480999999,0.281161522,0.968666894,7.290778480999999,0.281161522,0.968666894,7.290778480999999,0.281161522,0.968666894,7.290778480999999,0.281161522,0.968666894,0,0,0
RPS6,P62753,40S ribosomal protein S6,Phospho,HELA013,up,None,30 min,1,4.762991564999999,2.183864318,0.903215996,4.762991564999999,2.183864318,0.903215996,4.762991564999999,2.183864318,0.903215996,4.762991564999999,2.183864318,0.903215996,0,0,0
PVR,P15151|P15151-2|P15151-3|P15151-4,"Poliovirus receptor, Isoform Beta of Poliovirus receptor, Isoform Gamma of Poliovirus receptor, Isoform Delta of Poliovirus receptor",Phospho,HELA013,up,None,30 min,1,5.496217658999999,4.888773592,0.79243384,5.496217658999999,4.888773592,0.79243384,5.496217658999999,4.888773592,0.79243384,5.496217658999999,4.888773592,0.79243384,0,0,0
NCL,P19338,Nucleolin,Acetyl,HELA013,down,None,30 min,12,7.096738663999999,0.477779301,0.993346049,6.626033044999999,0.098135043,0.924373913,6.906524936666666,0.2905504609166667,0.9703988565833334,6.905350632499999,0.2794673285,0.9776627635,0.1290692178466188,0.10755150579408258,0.022052643174695328
"HIST1H4A, HIST1H4G",P62805|Q99525,"Histone H4, Histone H4-like protein type G",Acetyl,HELA013,down,None,30 min,1,8.291787736999998,0.441803881,0.843032038,8.291787736999998,0.441803881,0.843032038,8.291787736999998,0.441803881,0.843032038,8.291787736999998,0.441803881,0.843032038,0,0,0
BRD8,Q9H0E9|Q9H0E9-2|Q9H0E9-4,"Bromodomain-containing protein 8, Isoform 2 of Bromodomain-containing protein 8, Isoform 4 of Bromodomain-containing protein 8",Acetyl,HELA013,down,None,30 min,2,7.615481055,0.417094756,0.958698068,7.257293643999998,0.301189556,0.934821768,7.436387349499999,0.359142156,0.946759918,7.436387349499999,0.359142156,0.946759918,0.25327674725375476,0.08195735289478304,0.01688309363964434
DAP,P51397,Death-associated protein 1,Acetyl,HELA013,down,None,30 min,1,7.392001630999999,0.168177072,0.993588446,7.392001630999999,0.168177072,0.993588446,7.392001630999999,0.168177072,0.993588446,7.392001630999999,0.168177072,0.993588446,0,0,0
WBP11,Q9Y2W2,WW domain-binding protein 11,Acetyl,HELA013,down,None,30 min,1,7.394178005999999,0.254847998,0.894815034,7.394178005999999,0.254847998,0.894815034,7.394178005999999,0.254847998,0.894815034,7.394178005999999,0.254847998,0.894815034,0,0,0
CHRAC1,Q9NRG0,Chromatin accessibility complex protein 1,Phospho,HELA013,down,None,30 min,1,5.137496721999999,0.387185855,0.722139795,5.137496721999999,0.387185855,0.722139795,5.137496721999999,0.387185855,0.722139795,5.137496721999999,0.387185855,0.722139795,0,0,0
