Gene Name,Uniprot,Protein Name,Modification Type,Cell Line,Regulation,Combination Treatment,Duration,# Curves,Max -Log10(EC50),Max Fold Change,Max R²,Min -Log10(EC50),Min Fold Change,Min R²,Average -Log10(EC50),Average Fold Change,Average R²,Median -Log10(EC50),Median Fold Change,Median R²,-Log10(EC50) Standard Dev.,Fold Change Standard Dev.,R² Standard Dev.
TPR,P12270,Nucleoprotein TPR,Phospho,KYSE520,down,None,1 h,3,6.70819217857802,0.258116814684243,0.969706007078057,6.408435194146232,0.067045729480911,0.919625047145562,6.5096637248343425,0.177443384482769,0.9472106112251876,6.412363801778774,0.207167609283153,0.952300779451944,0.17194190501118228,0.09894284741800471,0.025425538271048483
EPHA2,P29317,Ephrin type-A receptor 2,Phospho,KYSE520,down,None,1 h,2,6.204044263155079,0.455112714121204,0.923941340565321,6.171872268266054,0.370004991038468,0.885661468352587,6.1879582657105665,0.41255885257983604,0.904801404458954,6.1879582657105665,0.41255885257983604,0.904801404458954,0.022749035750328134,0.060180248123149475,0.027067957224578693
ADAR,P55265|P55265-2|P55265-3|P55265-4|P55265-5,"Double-stranded RNA-specific adenosine deaminase, Isoform 2 of Double-stranded RNA-specific adenosine deaminase, Isoform 3 of Double-stranded RNA-specific adenosine deaminase, Isoform 4 of Double-stranded RNA-specific adenosine deaminase, Isoform 5 of Double-stranded RNA-specific adenosine deaminase",Phospho,KYSE520,down,None,1 h,2,6.643294920411523,0.446392860363202,0.92657277133262,6.623105920400109,0.345645841441684,0.906783367695534,6.6332004204058155,0.396019350902443,0.916678069514077,6.6332004204058155,0.396019350902443,0.916678069514077,0.01427577881344659,0.07123890026373483,0.013993221507421223
AHNAK,Q09666,Neuroblast differentiation-associated protein AHNAK,Phospho,KYSE520,down,None,1 h,4,6.538999703822453,0.458638135483323,0.987795064821396,6.269009671696431,0.169014555881449,0.930541891700522,6.427566382139874,0.31550116219034297,0.9670548163360317,6.451128076520304,0.3171759786983,0.9749411544111044,0.12847200366852962,0.11877407605205167,0.025110542530622705
PHF3,Q92576|Q92576-2,"PHD finger protein 3, Isoform 2 of PHD finger protein 3",Phospho,KYSE520,down,None,1 h,2,6.118323470408364,0.490355745045334,0.906399222131424,6.04421780195935,0.417102418134733,0.890447869889499,6.0812706361838575,0.4537290815900335,0.8984235460104615,6.0812706361838575,0.4537290815900335,0.8984235460104615,0.05240062068465931,0.051797924202961004,0.011279309339360413
CIC,Q96RK0,Protein capicua homolog,Phospho,KYSE520,down,None,1 h,3,6.040602068434859,0.13883264945479,0.995194214501187,6.003099935242392,0.103985066467901,0.983936849904963,6.022776074789328,0.11767822362780933,0.9894569865279976,6.024626220690732,0.110216954960737,0.989239895177843,0.018819398991167875,0.01858336373207783,0.005631821277687447
VWA7,Q9Y334|Q9Y334-2,"von Willebrand factor A domain-containing protein 7, Isoform 2 of von Willebrand factor A domain-containing protein 7",Phospho,KYSE520,down,None,1 h,1,6.368844201300542,0.380155728435214,0.930650265632701,6.368844201300542,0.380155728435214,0.930650265632701,6.368844201300542,0.380155728435214,0.930650265632701,6.368844201300542,0.380155728435214,0.930650265632701,0,0,0
EHBP1,Q8NDI1|Q8NDI1-2|Q8NDI1-3,"EH domain-binding protein 1, Isoform 2 of EH domain-binding protein 1, Isoform 3 of EH domain-binding protein 1",Phospho,KYSE520,down,None,1 h,2,8.562872674320213,0.159693332363675,0.972931800636922,8.113756229912587,0.15574744104216,0.966348413071536,8.3383144521164,0.1577203867029175,0.969640106854229,8.3383144521164,0.1577203867029175,0.969640106854229,0.31757328338302304,0.0027901665112684054,0.004655157990663645
PHLDB2,Q86SQ0|Q86SQ0-2|Q86SQ0-3,"Pleckstrin homology-like domain family B member 2, Isoform 2 of Pleckstrin homology-like domain family B member 2, Isoform 3 of Pleckstrin homology-like domain family B member 2",Phospho,KYSE520,down,None,1 h,4,6.5441437276324494,0.461148002454794,0.99087795966291,6.425039014424169,0.220594265492888,0.956906138041639,6.474460337129125,0.35473572962588523,0.9791854610157336,6.464329303229942,0.3686003252779295,0.9844788731791925,0.05081414942019819,0.1022268397533578,0.015159472350918411
FOSL1,P15407,Fos-related antigen 1,Phospho,KYSE520,down,None,1 h,2,6.526667071970594,0.387905417839696,0.983288137735969,5.9852720385208755,0.314954205178041,0.975084813900004,6.255969555245734,0.35142981150886854,0.9791864758179865,6.255969555245734,0.35142981150886854,0.9791864758179865,0.38282409945301316,0.05158429716883815,0.005800625912680057
