Gene Name,Uniprot,Protein Name,Modification Type,Cell Line,Regulation,Combination Treatment,Duration,# Curves,Max -Log10(EC50),Max Fold Change,Max R²,Min -Log10(EC50),Min Fold Change,Min R²,Average -Log10(EC50),Average Fold Change,Average R²,Median -Log10(EC50),Median Fold Change,Median R²,-Log10(EC50) Standard Dev.,Fold Change Standard Dev.,R² Standard Dev.
TOP2A,P11388|P11388-2|P11388-3|P11388-4,"DNA topoisomerase 2-alpha, Isoform 2 of DNA topoisomerase 2-alpha, Isoform 3 of DNA topoisomerase 2-alpha, Isoform 4 of DNA topoisomerase 2-alpha",Phospho,BT474,down,None,2 h,1,-4.741428126047933,0.467421598623777,0.715891135190746,-4.741428126047933,0.467421598623777,0.715891135190746,-4.741428126047933,0.467421598623777,0.715891135190746,-4.741428126047933,0.467421598623777,0.715891135190746,0,0,0
SERPINB13,Q9UIV8|Q9UIV8-2,"Serpin B13, Isoform 2 of Serpin B13",Phospho,SKBR3,down,None,2 h,1,-3.2951233359999996,0.426551576,0.934967222,-3.2951233359999996,0.426551576,0.934967222,-3.2951233359999996,0.426551576,0.934967222,-3.2951233359999996,0.426551576,0.934967222,0,0,0
LMNA,P02545|P02545-2|P02545-3,"Prelamin-A/C, Isoform C of Prelamin-A/C, Isoform ADelta10 of Prelamin-A/C",Phospho,MDAMB175VII,down,None,2 h,2,-4.739776330999999,0.366180859,0.794730254,-4.958484186999999,0.187365481,0.792347306,-4.849130258999999,0.27677317,0.79353878,-4.849130258999999,0.27677317,0.79353878,0.15464980807637094,0.1264415663642358,0.0016849986900148788
THOC2,Q8NI27|Q8NI27-2,"THO complex subunit 2, Isoform 2 of THO complex subunit 2",Phospho,MDAMB175VII,down,None,2 h,1,-4.740158797,0.237035631,0.915894193,-4.740158797,0.237035631,0.915894193,-4.740158797,0.237035631,0.915894193,-4.740158797,0.237035631,0.915894193,0,0,0
AFTPH,Q6ULP2|Q6ULP2-2|Q6ULP2-3|Q6ULP2-4|Q6ULP2-5,"Aftiphilin, Isoform 2 of Aftiphilin, Isoform 3 of Aftiphilin, Isoform 4 of Aftiphilin, Isoform 5 of Aftiphilin",Phospho,MDAMB175VII,down,None,2 h,1,-4.966037618999999,0.497250905,0.780648391,-4.966037618999999,0.497250905,0.780648391,-4.966037618999999,0.497250905,0.780648391,-4.966037618999999,0.497250905,0.780648391,0,0,0
UHRF1BP1L,A0JNW5|A0JNW5-2,"UHRF1-binding protein 1-like, Isoform 2 of UHRF1-binding protein 1-like",Phospho,MDAMB175VII,down,None,2 h,1,-4.704961908999999,0.289730196,0.764100473,-4.704961908999999,0.289730196,0.764100473,-4.704961908999999,0.289730196,0.764100473,-4.704961908999999,0.289730196,0.764100473,0,0,0
DENND4C,Q5VZ89|Q5VZ89-2|Q5VZ89-3|Q5VZ89-4|Q5VZ89-5|Q5VZ89-6,"DENN domain-containing protein 4C, Isoform 2 of DENN domain-containing protein 4C, Isoform 3 of DENN domain-containing protein 4C, Isoform 4 of DENN domain-containing protein 4C, Isoform 5 of DENN domain-containing protein 4C, Isoform 6 of DENN domain-containing protein 4C",Phospho,MDAMB175VII,down,None,2 h,3,-4.74132846,0.332015677,0.914343355,-4.8394936049999995,0.278405823,0.789887813,-4.782335406333333,0.304154097,0.8532273983333333,-4.766184153999999,0.302040791,0.855451027,0.05103671362038299,0.026867334407465065,0.062257560801591436
PLEKHA3,Q9HB20,Pleckstrin homology domain-containing family A member 3,Phospho,MDAMB175VII,down,None,2 h,1,-4.740871701,0.245699131,0.868827691,-4.740871701,0.245699131,0.868827691,-4.740871701,0.245699131,0.868827691,-4.740871701,0.245699131,0.868827691,0,0,0
ACACA,Q13085|Q13085-2|Q13085-3|Q13085-4,"Acetyl-CoA carboxylase 1, Isoform 2 of Acetyl-CoA carboxylase 1, Isoform 3 of Acetyl-CoA carboxylase 1, Isoform 4 of Acetyl-CoA carboxylase 1",Phospho,BT474,down,None,2 h,1,-4.586700360300656,0.307160549861357,0.83017409560656,-4.586700360300656,0.307160549861357,0.83017409560656,-4.586700360300656,0.307160549861357,0.83017409560656,-4.586700360300656,0.307160549861357,0.83017409560656,0,0,0
ARFGAP2,Q8N6H7,ADP-ribosylation factor GTPase-activating protein 2,Phospho,MDAMB175VII,down,None,2 h,1,-4.74296454,0.182318907,0.837282203,-4.74296454,0.182318907,0.837282203,-4.74296454,0.182318907,0.837282203,-4.74296454,0.182318907,0.837282203,0,0,0
