Gene Name,Uniprot,Protein Name,Modification Type,Cell Line,Regulation,Combination Treatment,Duration,# Curves,Max -Log10(EC50),Max Fold Change,Max R²,Min -Log10(EC50),Min Fold Change,Min R²,Average -Log10(EC50),Average Fold Change,Average R²,Median -Log10(EC50),Median Fold Change,Median R²,-Log10(EC50) Standard Dev.,Fold Change Standard Dev.,R² Standard Dev.
ARHGEF1,Q92888|Q92888-2|Q92888-3,"Rho guanine nucleotide exchange factor 1, Isoform 2 of Rho guanine nucleotide exchange factor 1, Isoform 3 of Rho guanine nucleotide exchange factor 1",Phospho,A431,down,None,30 min,4,8.485132164620715,0.191391373111665,0.967177895459313,7.9900505583453825,0,0.911162492970156,8.231337999269531,0.0867130393194504,0.9427580859468755,8.225084637056014,0.0777303920830683,0.9463459776790165,0.23374106784654874,0.0815081472534376,0.0245581566220524
PPP1R13L,Q8WUF5,RelA-associated inhibitor,Phospho,A431,up,None,30 min,2,5.491464768990343,3.23161240048172,0.919523385589042,5.421733746429385,2.36526376233103,0.732253962474648,5.456599257709864,2.798438081406375,0.825888674031845,5.456599257709864,2.798438081406375,0.825888674031845,0.049307278911925836,0.6126009969080833,0.13241947899308082
AKTIP,Q9H8T0|Q9H8T0-2,"AKT-interacting protein, Isoform 2 of AKT-interacting protein",Phospho,A431,down,None,30 min,2,8.3398126899762,0.378080388285939,0.97304175511566,8.025327281272782,0.371560660245887,0.922625782146968,8.182569985624491,0.374820524265913,0.9478337686313141,8.182569985624491,0.374820524265913,0.9478337686313141,0.22237476507841047,0.004610143908612823,0.03564947636627986
PI4KB,Q9UBF8|Q9UBF8-2,"Phosphatidylinositol 4-kinase beta, Isoform 2 of Phosphatidylinositol 4-kinase beta",Phospho,A431,up,None,30 min,1,2.00000000002776,2.04054483116505,0.845846837219215,2.00000000002776,2.04054483116505,0.845846837219215,2.00000000002776,2.04054483116505,0.845846837219215,2.00000000002776,2.04054483116505,0.845846837219215,0,0,0
TWISTNB,Q3B726,DNA-directed RNA polymerase I subunit RPA43,Phospho,A431,up,None,30 min,1,8.42997589312093,2.24421137092087,0.904027734586062,8.42997589312093,2.24421137092087,0.904027734586062,8.42997589312093,2.24421137092087,0.904027734586062,8.42997589312093,2.24421137092087,0.904027734586062,0,0,0
PTPN13,Q12923|Q12923-2|Q12923-3|Q12923-4,"Tyrosine-protein phosphatase non-receptor type 13, Isoform 2 of Tyrosine-protein phosphatase non-receptor type 13, Isoform 3 of Tyrosine-protein phosphatase non-receptor type 13, Isoform 4 of Tyrosine-protein phosphatase non-receptor type 13",Phospho,A431,down,None,30 min,1,8.496425351004637,0.401676932418814,0.874564530181363,8.496425351004637,0.401676932418814,0.874564530181363,8.496425351004637,0.401676932418814,0.874564530181363,8.496425351004637,0.401676932418814,0.874564530181363,0,0,0
MEPCE,Q7L2J0,7SK snRNA methylphosphate capping enzyme,Phospho,A431,down,None,30 min,7,8.207072700334045,0.364623264380106,0.955609929201882,8.040148234854003,0.212658849110803,0.890616760598924,8.122966556614196,0.30456626186085656,0.9278105444678414,8.103699853295382,0.309689378602203,0.929743514726825,0.07377744769343372,0.0498775832309931,0.021193884222943465
AHNAK,Q09666,Neuroblast differentiation-associated protein AHNAK,Phospho,A431,down,None,30 min,50,10.180001970515447,0.474068020571456,0.995258419127262,5.356074337621422,0.0421385481000893,0.729172646527672,7.961259305409178,0.27468288550515507,0.9199682132169792,8.000522723867695,0.2815254725377775,0.9292736061945479,0.8443265953944832,0.09759334595387015,0.05470451909266452
ANKRD17,O75179|O75179-2|O75179-3|O75179-4|O75179-5,"Ankyrin repeat domain-containing protein 17, Isoform 2 of Ankyrin repeat domain-containing protein 17, Isoform 3 of Ankyrin repeat domain-containing protein 17, Isoform 4 of Ankyrin repeat domain-containing protein 17, Isoform 5 of Ankyrin repeat domain-containing protein 17",Phospho,A431,down,None,30 min,7,8.690064922929324,0.294025102443841,0.952350308878436,7.917282606622377,0.0361566730798201,0.772214445301616,8.280326000250918,0.12133586067540529,0.9043363625938198,8.163607899123582,0.0608477148470016,0.916304801324316,0.27804019529052126,0.09718091578409882,0.06265948843111861
ZBTB1,Q9Y2K1|Q9Y2K1-2,"Zinc finger and BTB domain-containing protein 1, Isoform 2 of Zinc finger and BTB domain-containing protein 1",Phospho,A431,down,None,30 min,6,8.657877739320046,0.352588212532792,0.971264842584255,7.757008040095568,0.212672606947646,0.921886678798032,8.188877930883963,0.260967090685656,0.9443459681190679,8.172929129228212,0.2559702310224125,0.941767357212295,0.32772574920526204,0.04880348058257142,0.016383235322393566
DAB2IP,Q5VWQ8|Q5VWQ8-2|Q5VWQ8-3|Q5VWQ8-4,"Disabled homolog 2-interacting protein, Isoform 2 of Disabled homolog 2-interacting protein, Isoform 3 of Disabled homolog 2-interacting protein, Isoform 4 of Disabled homolog 2-interacting protein",Phospho,A431,down,None,30 min,8,8.323249380707125,0.459391057886162,0.965994907497874,6.153797582383065,0.0345288087583686,0.707853269779681,7.687036207754737,0.2182179781489791,0.9014428728836924,8.044609861250748,0.24567689159398948,0.920244652308063,0.8429002216440418,0.1517363644494569,0.08230719239395379
ZC3HC1,Q86WB0|Q86WB0-2,"Nuclear-interacting partner of ALK, Isoform 2 of Nuclear-interacting partner of ALK",Phospho,A431,up,None,30 min,2,7.832222588225294,2.9333956345579,0.981157995877749,7.549343968159121,2.55969447090856,0.902495377030983,7.690783278192208,2.74654505273323,0.9418266864543661,7.690783278192208,2.74654505273323,0.9418266864543661,0.20002539050148377,0.264246626953752,0.055622871212440965
PSMD11,O00231,26S proteasome non-ATPase regulatory subunit 11,Phospho,A431,down,None,30 min,2,6.98434790209385,0.286322396861019,0.940669406057158,6.335196716682392,0.202277551835525,0.735704792483032,6.659772309388121,0.244299974348272,0.838187099270095,6.659772309388121,0.244299974348272,0.838187099270095,0.4590192052197278,0.05942867984129929,0.1449318681615448
LMO7,Q8WWI1|Q8WWI1-2|Q8WWI1-3|Q8WWI1-4,"LIM domain only protein 7, Isoform 2 of LIM domain only protein 7, Isoform 3 of LIM domain only protein 7, Isoform 4 of LIM domain only protein 7",Phospho,A431,down,None,30 min,14,8.118026212489552,0.41814040422826,0.986529719000247,7.560104233121135,0.228141874341896,0.859349339956514,7.925454839202309,0.31735087609916646,0.9600071279189486,7.9636437380138405,0.3023727205378005,0.9669604130531015,0.18637952169208233,0.06473611321955319,0.03196774712501182
BRWD1,Q9NSI6-2,Isoform B of Bromodomain and WD repeat-containing protein 1,Phospho,A431,down,None,30 min,2,8.24452216814909,0.192425717885949,0.93918447158742,7.917835546610132,0.0911954878151282,0.885388835212868,8.08117885737961,0.1418106028505386,0.912286653400144,8.08117885737961,0.1418106028505386,0.912286653400144,0.2310023254131202,0.07158058214415175,0.0380392592786914
C10orf47,Q86WR7|Q86WR7-2,"Uncharacterized protein C10orf47, Isoform 2 of Uncharacterized protein C10orf47",Phospho,A431,down,None,30 min,10,8.80986910296585,0.436287073124969,0.988252927585411,7.864506221734848,0.250917061163793,0.882335901211621,8.150429025509041,0.31317125772899773,0.9500923956295605,8.076113680676583,0.303350617182075,0.9617560409539675,0.27276354368322414,0.05860950888098878,0.03621974787972155
NDRG1,Q92597,Protein NDRG1,Phospho,A431,down,None,30 min,14,8.483756771135154,0.497373528280124,0.975586967790582,7.571663393611768,0.207658330886072,0.839406825605534,8.126011701530333,0.37191499021655006,0.9384026251052179,8.189543526256347,0.38844702175184953,0.9491989957940735,0.2723015888442672,0.09215668932252982,0.03971329991039537
SHANK2,Q9UPX8|Q9UPX8-3,"SH3 and multiple ankyrin repeat domains protein 2, Isoform 3 of SH3 and multiple ankyrin repeat domains protein 2",Phospho,A431,down,None,30 min,2,7.812254266379094,0.220162035724584,0.886995627969074,7.7671146475877,0.203943101614953,0.872136647456673,7.789684456983397,0.21205256866976852,0.8795661377128735,7.789684456983397,0.21205256866976852,0.8795661377128735,0.031918530547570365,0.0114685182925379,0.010506885881837569
MLF2,Q15773,Myeloid leukemia factor 2,Phospho,A431,down,None,30 min,3,5.179640923508421,0.479461841790263,0.828661755180328,4.532907168894022,0.424378478209549,0.708012839350706,4.853024410712261,0.4598940067648903,0.7730411693253904,4.84652513973434,0.475841700294859,0.782448913445137,0.3234158588131427,0.030810565274522916,0.060872156687460766
NUP153,P49790,Nuclear pore complex protein Nup153,Phospho,A431,down,None,30 min,8,8.750679682262328,0.479292763596327,0.986471265299955,7.785275493095966,0.171676754344051,0.892348780542616,8.11130255709754,0.3229636317832614,0.9449670976963722,8.051782646497212,0.316252011736304,0.941243261184377,0.28173482881375933,0.12550449800576183,0.032355563661954016
MKI67IP,Q9BYG3,MKI67 FHA domain-interacting nucleolar phosphoprotein,Phospho,A431,down,None,30 min,1,7.32801536181804,0.445012428599391,0.745989519900831,7.32801536181804,0.445012428599391,0.745989519900831,7.32801536181804,0.445012428599391,0.745989519900831,7.32801536181804,0.445012428599391,0.745989519900831,0,0,0
TRAFD1,O14545,TRAF-type zinc finger domain-containing protein 1,Phospho,A431,down,None,30 min,2,8.31561567668877,0.454163944720101,0.911718654175724,8.313691007469922,0.140502981482105,0.905419679960159,8.314653342079346,0.297333463101103,0.9085691670679414,8.314653342079346,0.297333463101103,0.9085691670679414,0.0013609466561885434,0.2217917940990914,0.0044540473823451235
RHBDF2,Q6PJF5|Q6PJF5-2,"Inactive rhomboid protein 2, Isoform 2 of Inactive rhomboid protein 2",Phospho,A431,up,None,30 min,1,6.9910636765860446,2.28157955689246,0.923904961757494,6.9910636765860446,2.28157955689246,0.923904961757494,6.9910636765860446,2.28157955689246,0.923904961757494,6.9910636765860446,2.28157955689246,0.923904961757494,0,0,0
EXOC8,Q8IYI6,Exocyst complex component 8,Phospho,A431,down,None,30 min,2,6.241986564941841,0.412058184753041,0.812785477033912,5.205914617525456,0.324231288761201,0.720927493509027,5.723950591233648,0.368144736757121,0.7668564852714694,5.723950591233648,0.368144736757121,0.7668564852714694,0.7326134998152779,0.06210299372639569,0.06495340305656842
TPR,P12270,Nucleoprotein TPR,Phospho,A431,down,None,30 min,15,8.833523860163659,0.496875724354522,0.989848583996399,7.42419320213265,0.167525882073658,0.817105860109045,7.966472240589552,0.321115195152975,0.9297200443457391,7.805120875405807,0.31742315751518,0.944865125030245,0.42632460408658224,0.08590813012343408,0.05020724762079987
ATF7,P17544|P17544-2|P17544-3|P17544-4|P17544-6,"Cyclic AMP-dependent transcription factor ATF-7, Isoform 1 of Cyclic AMP-dependent transcription factor ATF-7, Isoform 2 of Cyclic AMP-dependent transcription factor ATF-7, Isoform 4 of Cyclic AMP-dependent transcription factor ATF-7, Isoform 6 of Cyclic AMP-dependent transcription factor ATF-7",Phospho,A431,down,None,30 min,5,7.937880212579292,0.311728341552041,0.941500265484034,7.058635089057403,0.13528731952461,0.708900452265126,7.556125063438723,0.186094239450304,0.8126088078362079,7.780394064005746,0.144900353122152,0.788362951262327,0.41099423560687376,0.07435243221424558,0.08722229367020565
AZI1,Q9UPN4|Q9UPN4-2,"5-azacytidine-induced protein 1, Isoform 2 of 5-azacytidine-induced protein 1",Phospho,A431,down,None,30 min,2,7.982340452774423,0.332419727515578,0.940602058956565,5.198937704270944,0.142253100393631,0.793813553783489,6.590639078522683,0.23733641395460453,0.867207806370027,6.590639078522683,0.23733641395460453,0.867207806370027,1.968162958240085,0.13446811159330235,0.10379514740811865
LYAR,Q9NX58,Cell growth-regulating nucleolar protein,Phospho,A431,down,None,30 min,11,8.588076231249946,0.487321791442463,0.974173596544006,7.431401061043466,0.30002914173047,0.706361945078799,7.99708716703999,0.40824929756948075,0.8774556379519978,7.997931984060076,0.402228050504394,0.88390431726225,0.2828365067330976,0.05340002813353673,0.07224471396980268
RAB11FIP5,Q9BXF6,Rab11 family-interacting protein 5,Phospho,A431,down,None,30 min,3,8.050663306286584,0.319241897133163,0.987118354752836,7.965460345076989,0.302200394794437,0.869342186045156,8.012394232187427,0.3080540491603783,0.9396136450565747,8.021059045198708,0.302719855553535,0.962380394371732,0.043257316006790114,0.009692441207800386,0.0621011282880544
FOXO3,O43524,Forkhead box protein O3,Phospho,A431,down,None,30 min,13,8.583189773706962,0.441751519182368,0.992900079925251,5.713266881262265,0.154946636613479,0.790378965249485,7.664881379662945,0.3024555193693242,0.9564367396089926,7.949085881668144,0.305111132329858,0.970616582309612,0.8773372886887402,0.08606501666134232,0.05263674211311694
DDX17,Q92841|Q92841-1|Q92841-2|Q92841-3,"Probable ATP-dependent RNA helicase DDX17, Isoform 2 of Probable ATP-dependent RNA helicase DDX17, Isoform 3 of Probable ATP-dependent RNA helicase DDX17, Isoform 4 of Probable ATP-dependent RNA helicase DDX17",Phospho,A431,down,None,30 min,4,8.548724592347456,0.46789763332971,0.925377228934254,7.37056871253715,0.125796854884692,0.825711486462425,8.157445439347336,0.31342816442647276,0.8746030486787293,8.355244226252369,0.33000908474574453,0.8736617396591191,0.5439867308508055,0.14285881605470885,0.04956765498642621
BRWD3,Q6RI45|Q6RI45-2|Q6RI45-3|Q6RI45-4|Q6RI45-5,"Bromodomain and WD repeat-containing protein 3, Isoform 2 of Bromodomain and WD repeat-containing protein 3, Isoform 3 of Bromodomain and WD repeat-containing protein 3, Isoform 4 of Bromodomain and WD repeat-containing protein 3, Isoform 5 of Bromodomain and WD repeat-containing protein 3",Phospho,A431,down,None,30 min,2,8.27678726243717,0.331685917713982,0.912410047400103,5.918895675342104,0.304985352885628,0.762851971441734,7.097841468889637,0.318335635299805,0.8376310094209185,7.097841468889637,0.318335635299805,0.8376310094209185,1.667281130537632,0.018880150451640106,0.10575352969137548
SYMPK,Q92797|Q92797-2|Q92797-3,"Symplekin, Isoform 2 of Symplekin, Isoform 3 of Symplekin",Phospho,A431,down,None,30 min,2,7.729469010223885,0.39101916889993,0.83364934262697,7.274699725640627,0.385969611760636,0.785250962928549,7.502084367932255,0.388494390330283,0.8094501527777596,7.502084367932255,0.388494390330283,0.8094501527777596,0.3215704450041769,0.0035705760951837335,0.03422282248319477
TBC1D9B,Q66K14|Q66K14-2,"TBC1 domain family member 9B, Isoform 2 of TBC1 domain family member 9B",Phospho,A431,down,None,30 min,4,8.759030369000895,0.467289233791309,0.952086124675435,4.9765464468008265,0.378705301495257,0.708037244405283,6.757277944341967,0.4124615076724908,0.8326485379296382,6.646767480783073,0.40192574770169853,0.8352353913189174,1.9035121873169278,0.03892383327203696,0.10346170477729337
EPS15,P42566|P42566-2,"Epidermal growth factor receptor substrate 15, Isoform 2 of Epidermal growth factor receptor substrate 15",Phospho,A431,down,None,30 min,2,8.74068294376128,0.438891173524881,0.959315296507316,8.289278550626952,0.34196774407012,0.939600091512417,8.514980747194116,0.39042945879750046,0.9494576940098665,8.514980747194116,0.39042945879750046,0.9494576940098665,0.3191911074426821,0.06853521422331744,0.013940755144375963
MB21D1,Q8N884|Q8N884-2,"Protein MB21D1, Isoform 2 of Protein MB21D1",Phospho,A431,up,None,30 min,1,5.941688955602059,2.34802782747519,0.731925519743323,5.941688955602059,2.34802782747519,0.731925519743323,5.941688955602059,2.34802782747519,0.731925519743323,5.941688955602059,2.34802782747519,0.731925519743323,0,0,0
SLC12A6,Q9UHW9|Q9UHW9-2|Q9UHW9-3|Q9UHW9-4|Q9UHW9-5|Q9UHW9-6,"Solute carrier family 12 member 6, Isoform 2 of Solute carrier family 12 member 6, Isoform 3 of Solute carrier family 12 member 6, Isoform 4 of Solute carrier family 12 member 6, Isoform 5 of Solute carrier family 12 member 6, Isoform 6 of Solute carrier family 12 member 6",Phospho,A431,down,None,30 min,2,7.956612051185134,0.402891398232378,0.956196854842863,7.35459436007187,0.28259296928873,0.860907936678729,7.655603205628502,0.342742183760554,0.9085523957607959,7.655603205628502,0.342742183760554,0.9085523957607959,0.42569079178045766,0.08506383487214153,0.06737944020578916
ITPR3,Q14573,"Inositol 1,4,5-trisphosphate receptor type 3",Phospho,A431,down,None,30 min,1,11.556760838196126,0.381756614472872,0.717228195389117,11.556760838196126,0.381756614472872,0.717228195389117,11.556760838196126,0.381756614472872,0.717228195389117,11.556760838196126,0.381756614472872,0.717228195389117,0,0,0
