Gene Name,Uniprot,Protein Name,Modification Type,Cell Line,Regulation,Combination Treatment,Duration,# Curves,Max -Log10(EC50),Max Fold Change,Max R²,Min -Log10(EC50),Min Fold Change,Min R²,Average -Log10(EC50),Average Fold Change,Average R²,Median -Log10(EC50),Median Fold Change,Median R²,-Log10(EC50) Standard Dev.,Fold Change Standard Dev.,R² Standard Dev.
PAICS,P22234|P22234-2,"Multifunctional protein ADE2, Isoform 2 of Multifunctional protein ADE2",Phospho,SUDHL4,up,None,2 h,1,-3.4297640229999993,2.267967475,0.832136346,-3.4297640229999993,2.267967475,0.832136346,-3.4297640229999993,2.267967475,0.832136346,-3.4297640229999993,2.267967475,0.832136346,0,0,0
PAICS,P22234|P22234-2,"Multifunctional protein ADE2, Isoform 2 of Multifunctional protein ADE2",Phospho,SUDHL4,up,None,24 h,1,-2.779069289,3.070043436,0.891925902,-2.779069289,3.070043436,0.891925902,-2.779069289,3.070043436,0.891925902,-2.779069289,3.070043436,0.891925902,0,0,0
AKAP2,Q9Y2D5|Q9Y2D5-4|Q9Y2D5-5|Q9Y2D5-6|Q9Y2D5-7,"A-kinase anchor protein 2, Isoform 2 of A-kinase anchor protein 2, Isoform 3 of A-kinase anchor protein 2, Isoform 4 of A-kinase anchor protein 2, Isoform 5 of A-kinase anchor protein 2",Phospho,SUDHL4,down,None,6 h,2,-1.213798651999999,0.491970144,0.960703937,-2.5222218059999997,0.282727041,0.853873617,-1.8680102289999994,0.3873485925,0.907288777,-1.8680102289999994,0.3873485925,0.907288777,0.9251948848548909,0.1479572170478152,0.07554044370832888
EIF4B,P23588,Eukaryotic translation initiation factor 4B,Phospho,RAMOS,up,None,1 h,1,-3.685034577,2.117026082,0.988465721,-3.685034577,2.117026082,0.988465721,-3.685034577,2.117026082,0.988465721,-3.685034577,2.117026082,0.988465721,0,0,0
EIF4B,P23588,Eukaryotic translation initiation factor 4B,Phospho,SUDHL4,up,None,2 h,4,-2.7535796820000003,7.026625749,0.991976385,-3.1970070160000006,2.175717105,0.96602881,-3.0813564214999998,4.7536826355,0.98282596975,-3.1874194939999985,4.906193844,0.986649342,0.2186601967726136,2.1596292402193433,0.011937619497937483
EIF4B,P23588,Eukaryotic translation initiation factor 4B,Phospho,RAMOS,up,None,24 h,2,-2.316078130999999,4.891711866,0.97314527,-2.7907390019999996,2.747574934,0.805091622,-2.553408566499999,3.8196434,0.8891184459999999,-2.553408566499999,3.8196434,0.8891184459999999,0.3356359206480137,1.516133764409719,0.11883187410393713
USP36,Q9P275|Q9P275-2,"Ubiquitin carboxyl-terminal hydrolase 36, Isoform 2 of Ubiquitin carboxyl-terminal hydrolase 36",Phospho,SUDHL4,up,None,1 h,2,-2.474595038999999,4.023569144,0.985861418,-2.641192414,2.394670543,0.850706526,-2.5578937264999997,3.2091198435,0.918283972,-2.5578937264999997,3.2091198435,0.918283972,0.11780213359037855,1.15180524663238,0.09556894064373551
USP36,Q9P275|Q9P275-2,"Ubiquitin carboxyl-terminal hydrolase 36, Isoform 2 of Ubiquitin carboxyl-terminal hydrolase 36",Phospho,SUDHL4,up,None,10 min,1,-3.4010195539999994,2.151293379,0.951492362,-3.4010195539999994,2.151293379,0.951492362,-3.4010195539999994,2.151293379,0.951492362,-3.4010195539999994,2.151293379,0.951492362,0,0,0
USP36,Q9P275|Q9P275-2,"Ubiquitin carboxyl-terminal hydrolase 36, Isoform 2 of Ubiquitin carboxyl-terminal hydrolase 36",Phospho,SUDHL4,up,None,5.0 min,1,-7.477121254999999,2.490632488,0.975152114,-7.477121254999999,2.490632488,0.975152114,-7.477121254999999,2.490632488,0.975152114,-7.477121254999999,2.490632488,0.975152114,0,0,0
CHORDC1,Q9UHD1,Cysteine and histidine-rich domain-containing protein 1,Phospho,SUDHL4,up,None,24 h,5,-2.8850950249999996,12.07088106,0.988624257,-3.098318127,3.925573246,0.943230254,-2.9756749092,6.15319785,0.9724017868000001,-2.9663492739999997,4.600257041,0.983113497,0.07681685511471258,3.384917223238077,0.01994210368985106
