Gene Name,Uniprot,Protein Name,Modification Type,Cell Line,Regulation,Combination Treatment,Duration,# Curves,Max -Log10(EC50),Max Fold Change,Max R²,Min -Log10(EC50),Min Fold Change,Min R²,Average -Log10(EC50),Average Fold Change,Average R²,Median -Log10(EC50),Median Fold Change,Median R²,-Log10(EC50) Standard Dev.,Fold Change Standard Dev.,R² Standard Dev.
ARHGEF1,Q92888|Q92888-2|Q92888-3,"Rho guanine nucleotide exchange factor 1, Isoform 2 of Rho guanine nucleotide exchange factor 1, Isoform 3 of Rho guanine nucleotide exchange factor 1",Phospho,A431,down,None,30 min,3,6.627230669757304,0.239843674785686,0.851029992156323,6.310285803663263,0.108994079133174,0.75688187047914,6.473205826442165,0.15571144299501263,0.8175275361953457,6.482101005905927,0.118296575066178,0.844670745950574,0.15865955754101843,0.07300896128014409,0.052616846928504345
"TMCC2, TMCC3",O75069|Q9ULS5,"Transmembrane and coiled-coil domains protein 2, Transmembrane and coiled-coil domains protein 3",Phospho,PC9,down,AZD-4547 1:80,30 min,1,6.203802653272501,0.435698104333646,0.888536557954375,6.203802653272501,0.435698104333646,0.888536557954375,6.203802653272501,0.435698104333646,0.888536557954375,6.203802653272501,0.435698104333646,0.888536557954375,0,0,0
AKTIP,Q9H8T0|Q9H8T0-2,"AKT-interacting protein, Isoform 2 of AKT-interacting protein",Phospho,A431,down,None,30 min,3,7.883085957426386,0.399567377674306,0.93500804540917,7.241046040856489,0.351674551609067,0.892048551072335,7.5823403816592005,0.371555321566224,0.9146383569100037,7.622889146694728,0.363424035415299,0.916858474248506,0.32293492436820753,0.02496034971670023,0.02156562610189367
PHACTR4,Q8IZ21|Q8IZ21-2|Q8IZ21-3,"Phosphatase and actin regulator 4, Isoform 2 of Phosphatase and actin regulator 4, Isoform 3 of Phosphatase and actin regulator 4",Phospho,A431,down,None,30 min,4,6.847170938575702,0.286139383019165,0.963030678050311,6.232693835056792,0.167145377052224,0.794601456641254,6.634531104972263,0.24165627976663326,0.8861069057459577,6.729129823128279,0.256670179497572,0.893397744146133,0.2736850866612494,0.05219953431747488,0.07668473915058663
HIST1H1B,P16401,Histone H1.5,Phospho,A431,down,None,30 min,1,10.88407255320294,0.41941713979578,0.907637068025235,10.88407255320294,0.41941713979578,0.907637068025235,10.88407255320294,0.41941713979578,0.907637068025235,10.88407255320294,0.41941713979578,0.907637068025235,0,0,0
MEPCE,Q7L2J0,7SK snRNA methylphosphate capping enzyme,Phospho,A431,down,None,30 min,6,7.382879409591897,0.363898738875844,0.986184897610835,6.392874949817424,0.207969534672224,0.792206618867839,6.825902604692736,0.292231820804093,0.8907907888677427,6.784638988622064,0.302583839600076,0.899258365759886,0.35211239302256914,0.07171615503274822,0.08476109916868814
EXOC7,Q9UPT5|Q9UPT5-1|Q9UPT5-2|Q9UPT5-4|Q9UPT5-5|Q9UPT5-6,"Exocyst complex component 7, Isoform 1 of Exocyst complex component 7, Isoform 2 of Exocyst complex component 7, Isoform 4 of Exocyst complex component 7, Isoform 5 of Exocyst complex component 7, Isoform 6 of Exocyst complex component 7",Phospho,A431,up,None,30 min,1,5.273014765341708,2.21319551673183,0.924283619533871,5.273014765341708,2.21319551673183,0.924283619533871,5.273014765341708,2.21319551673183,0.924283619533871,5.273014765341708,2.21319551673183,0.924283619533871,0,0,0
CLASP1,Q7Z460|Q7Z460-2|Q7Z460-3,"CLIP-associating protein 1, Isoform 2 of CLIP-associating protein 1, Isoform 3 of CLIP-associating protein 1",Phospho,PC9,down,None,30 min,1,4.572982570627449,0.48143378103568,0.935017799593991,4.572982570627449,0.48143378103568,0.935017799593991,4.572982570627449,0.48143378103568,0.935017799593991,4.572982570627449,0.48143378103568,0.935017799593991,0,0,0
AHNAK,Q09666,Neuroblast differentiation-associated protein AHNAK,Phospho,A431,down,None,30 min,40,7.542717597687045,0.453154325545966,0.979792321665003,5.790769640644969,0.0740116575351255,0.705614939089138,6.525768808842324,0.28041502187082845,0.8340539516218357,6.530628189371525,0.2762075577878025,0.840113322415414,0.3878851887132294,0.09790364809514894,0.08550066667113405
SART1,O43290,U4/U6.U5 tri-snRNP-associated protein 1,Phospho,PC9,down,AZD-4547 1:80,30 min,2,9.552874650248166,0.484251092920364,0.975790465923709,9.17522786316863,0.429560222541673,0.917403209556342,9.364051256708397,0.4569056577310185,0.9465968377400256,9.364051256708397,0.4569056577310185,0.9465968377400256,0.2670366040372529,0.03867228531376691,0.04128602491224265
ANKRD17,O75179|O75179-2|O75179-3|O75179-4|O75179-5,"Ankyrin repeat domain-containing protein 17, Isoform 2 of Ankyrin repeat domain-containing protein 17, Isoform 3 of Ankyrin repeat domain-containing protein 17, Isoform 4 of Ankyrin repeat domain-containing protein 17, Isoform 5 of Ankyrin repeat domain-containing protein 17",Phospho,A431,down,None,30 min,5,7.174059651533264,0.304096210006324,0.959772337027906,6.390071219356592,0.0322693356776236,0.709866311136081,6.735813905934629,0.16233573875025892,0.8576094508390749,6.605082538013597,0.110595383175061,0.894524635650147,0.32907166662254395,0.12796801300998978,0.09635955412635615
DDX17,Q92841|Q92841-1|Q92841-2|Q92841-3,"Probable ATP-dependent RNA helicase DDX17, Isoform 2 of Probable ATP-dependent RNA helicase DDX17, Isoform 3 of Probable ATP-dependent RNA helicase DDX17, Isoform 4 of Probable ATP-dependent RNA helicase DDX17",Phospho,A431,down,None,30 min,6,6.888548284280567,0.492521505499494,0.9587465191273,6.451828411415732,0.324042718685446,0.70281369914337,6.630730868744269,0.4112082273234882,0.7818496380451062,6.572043393046856,0.41812456554606203,0.745681875054439,0.16366787820024442,0.0560948637336794,0.09767195929715228
ZBTB1,Q9Y2K1|Q9Y2K1-2,"Zinc finger and BTB domain-containing protein 1, Isoform 2 of Zinc finger and BTB domain-containing protein 1",Phospho,A431,down,None,30 min,8,7.416306520934683,0.483032951271351,0.975815594139168,5.440258820011972,0.268141511855067,0.749371047351061,6.7214931226219194,0.33515219037625926,0.8721287041444722,6.946517613534038,0.329643786941068,0.8858980788006225,0.6852933854722704,0.06830046390304481,0.08887518839353509
ZC3HC1,Q86WB0|Q86WB0-2,"Nuclear-interacting partner of ALK, Isoform 2 of Nuclear-interacting partner of ALK",Phospho,A431,up,None,30 min,2,6.537453524955925,2.97522696767478,0.97039419393032,6.001494737988683,2.50168792619293,0.909752141799121,6.269474131472304,2.7384574469338547,0.9400731678647205,6.269474131472304,2.7384574469338547,0.9400731678647205,0.3789800927010533,0.3348426673883939,0.04288040628703894
TRIOBP,Q9H2D6|Q9H2D6-2|Q9H2D6-3|Q9H2D6-5,"TRIO and F-actin-binding protein, Isoform 3 of TRIO and F-actin-binding protein, Isoform 4 of TRIO and F-actin-binding protein, Isoform 1 of TRIO and F-actin-binding protein",Phospho,A431,down,None,30 min,2,6.659345785948526,0.47856701278778,0.836405512404081,5.466255087622203,0.372218231400479,0.72673474059657,6.0628004367853645,0.42539262209412954,0.7815701265003254,6.0628004367853645,0.42539262209412954,0.7815701265003254,0.8436425233571363,0.07519994448988622,0.07754894644305355
LMO7,Q8WWI1|Q8WWI1-2|Q8WWI1-3|Q8WWI1-4,"LIM domain only protein 7, Isoform 2 of LIM domain only protein 7, Isoform 3 of LIM domain only protein 7, Isoform 4 of LIM domain only protein 7",Phospho,A431,down,None,30 min,11,6.8057925991635795,0.458223658274065,0.987573694026314,5.736190039056768,0.288223832615905,0.773768213149821,6.188260295351797,0.3591715816633102,0.8948676335073477,6.085651970180395,0.364468419789055,0.931595714554708,0.4135860545815967,0.054883324253063706,0.0841124836605916
BRWD1,Q9NSI6-2,Isoform B of Bromodomain and WD repeat-containing protein 1,Phospho,A431,down,None,30 min,3,6.649435893839189,0.2020828326513,0.945136304807662,6.294693479784594,0.0970280343566872,0.816280274839358,6.4972509974551045,0.14337887322615442,0.879943562785428,6.54762361874153,0.131025752670476,0.878414108709264,0.18265704424896853,0.05360575856918534,0.06444162891428515
WNK1,Q9H4A3|Q9H4A3-2|Q9H4A3-5|Q9H4A3-6,"Serine/threonine-protein kinase WNK1, Isoform 2 of Serine/threonine-protein kinase WNK1, Isoform 4 of Serine/threonine-protein kinase WNK1, Isoform 5 of Serine/threonine-protein kinase WNK1",Phospho,A431,up,None,30 min,1,5.409039434652571,2.38265410057755,0.743824448811096,5.409039434652571,2.38265410057755,0.743824448811096,5.409039434652571,2.38265410057755,0.743824448811096,5.409039434652571,2.38265410057755,0.743824448811096,0,0,0
PRRC2B,Q5JSZ5,Protein PRRC2B,Phospho,A431,down,None,30 min,5,7.634150202450086,0.482991425757702,0.916330634456135,5.353506262502698,0.364239536625184,0.70995470177214,6.49918796818952,0.41503503224188504,0.8461622970138659,6.631144567574495,0.398989066694797,0.893695396003727,0.8463593986031291,0.04808255443741302,0.08611016174969997
LIMCH1,Q9UPQ0-3|Q9UPQ0-6|Q9UPQ0-8|Q9UPQ0-9,"Isoform 3 of LIM and calponin homology domains-containing protein 1, Isoform 6 of LIM and calponin homology domains-containing protein 1, Isoform 8 of LIM and calponin homology domains-containing protein 1, Isoform 9 of LIM and calponin homology domains-containing protein 1",Phospho,PC9,down,AZD-4547 1:80,30 min,1,7.264831138207173,0.394002314089273,0.921534015927538,7.264831138207173,0.394002314089273,0.921534015927538,7.264831138207173,0.394002314089273,0.921534015927538,7.264831138207173,0.394002314089273,0.921534015927538,0,0,0
HOMER3,Q9NSC5|Q9NSC5-2,"Homer protein homolog 3, Isoform 2 of Homer protein homolog 3",Phospho,PC9,down,None,30 min,1,4.567396001804628,0.461518871787278,0.736323001944126,4.567396001804628,0.461518871787278,0.736323001944126,4.567396001804628,0.461518871787278,0.736323001944126,4.567396001804628,0.461518871787278,0.736323001944126,0,0,0
CGN,Q9P2M7|Q9P2M7-2,"Cingulin, Isoform 2 of Cingulin",Phospho,PC9,down,None,30 min,1,5.005997656412851,0.477815640842284,0.959029329767857,5.005997656412851,0.477815640842284,0.959029329767857,5.005997656412851,0.477815640842284,0.959029329767857,5.005997656412851,0.477815640842284,0.959029329767857,0,0,0
NDRG1,Q92597,Protein NDRG1,Phospho,A431,down,None,30 min,7,6.676158160193482,0.485003372919067,0.968066542115256,5.331383765022757,0.330850655711122,0.729734560187487,6.165883975725223,0.37978761269908623,0.874542680102712,6.2642229596921775,0.352801805203956,0.902632327714602,0.5412124228039543,0.059711756467450174,0.08993782868127
PJA1,Q8NG27,E3 ubiquitin-protein ligase Praja-1,Phospho,A431,down,None,30 min,4,6.611108447857138,0.48575324122921,0.963970973620438,5.33868269567519,0.203190643495809,0.724771996265748,6.010853325082847,0.2887771923800425,0.8435983999900813,6.04681107839953,0.23308244239757547,0.8428253150370695,0.6091023501779541,0.13328820751507878,0.09768119556519193
SHANK2,Q9UPX8|Q9UPX8-3,"SH3 and multiple ankyrin repeat domains protein 2, Isoform 3 of SH3 and multiple ankyrin repeat domains protein 2",Phospho,A431,down,None,30 min,1,5.96138821149514,0.150977240423119,0.718324432621067,5.96138821149514,0.150977240423119,0.718324432621067,5.96138821149514,0.150977240423119,0.718324432621067,5.96138821149514,0.150977240423119,0.718324432621067,0,0,0
