Gene Name,Uniprot,Protein Name,Modification Type,Cell Line,Regulation,Combination Treatment,Duration,# Curves,Max -Log10(EC50),Max Fold Change,Max R²,Min -Log10(EC50),Min Fold Change,Min R²,Average -Log10(EC50),Average Fold Change,Average R²,Median -Log10(EC50),Median Fold Change,Median R²,-Log10(EC50) Standard Dev.,Fold Change Standard Dev.,R² Standard Dev.
ZNF609,O15014,Zinc finger protein 609,Acetyl,HELA013,up,None,4 h,1,6.577452242999999,2.827299278,0.87127786,6.577452242999999,2.827299278,0.87127786,6.577452242999999,2.827299278,0.87127786,6.577452242999999,2.827299278,0.87127786,0,0,0
RNF123,Q5XPI4|Q5XPI4-2,"E3 ubiquitin-protein ligase RNF123, Isoform 2 of E3 ubiquitin-protein ligase RNF123",Acetyl,HELA013,up,None,4 h,2,6.446115439999999,19.03934149,0.995583477,5.855260124,5.105133995,0.984783481,6.150687781999999,12.0722377425,0.990183479,6.150687781999999,12.0722377425,0.990183479,0.4177978006437197,9.852972610174918,0.007636750408387612
ZMYM2,Q9UBW7,Zinc finger MYM-type protein 2,Acetyl,HELA013,up,None,4 h,1,6.089533978,3.041229609,0.975005095,6.089533978,3.041229609,0.975005095,6.089533978,3.041229609,0.975005095,6.089533978,3.041229609,0.975005095,0,0,0
RTF1,Q92541,RNA polymerase-associated protein RTF1 homolog,Acetyl,HELA013,up,None,4 h,1,6.548569482,3.539139417,0.959699489,6.548569482,3.539139417,0.959699489,6.548569482,3.539139417,0.959699489,6.548569482,3.539139417,0.959699489,0,0,0
INTS4,Q96HW7|Q96HW7-2,"Integrator complex subunit 4, Isoform 2 of Integrator complex subunit 4",Acetyl,HELA013,up,None,4 h,1,6.366963854999999,3.077469855,0.967862886,6.366963854999999,3.077469855,0.967862886,6.366963854999999,3.077469855,0.967862886,6.366963854999999,3.077469855,0.967862886,0,0,0
DDX31,Q9H8H2|Q9H8H2-2|Q9H8H2-3|Q9H8H2-4,"Probable ATP-dependent RNA helicase DDX31, Isoform 2 of Probable ATP-dependent RNA helicase DDX31, Isoform 3 of Probable ATP-dependent RNA helicase DDX31, Isoform 4 of Probable ATP-dependent RNA helicase DDX31",Acetyl,HELA013,up,None,4 h,2,6.0184495369999995,5.632589126,0.972415163,5.046111927,3.589646445,0.923957706,5.532280732,4.6111177855,0.9481864345,5.532280732,4.6111177855,0.9481864345,0.6875465176337205,1.4445786233105256,0.03426459644375544
HIST1H2BD,P58876,Histone H2B type 1-D,Acetyl,HELA013,up,None,4 h,3,6.340341585,20.27167197,0.996039574,5.821521920000001,7.504254532,0.958646834,6.073231125666667,12.138386101333333,0.9788469813333333,6.057829871999999,8.639231802,0.981854536,0.25975249788703997,7.066455803084305,0.018876924802033887
HIST1H4A,P62805,Histone H4,Acetyl,HELA013,up,None,4 h,2,6.901769559999998,9.459979473,0.933205088,6.788220331999999,2.528459368,0.897301573,6.844994945999998,5.9942194205,0.9152533305,6.844994945999998,5.9942194205,0.9152533305,0.08029142911729716,4.90132487017639,0.025387618924932926
CTTN,Q14247|Q14247-2|Q14247-3,"Src substrate cortactin, Isoform 2 of Src substrate cortactin, Isoform 3 of Src substrate cortactin",Acetyl,HELA013,up,None,4 h,2,7.118483253999998,3.203621255,0.96502931,7.028724151261894,2.812278702,0.373666303,7.073603702630946,3.0079499785,0.6693478065,7.073603702630946,3.0079499785,0.6693478065,0.06346927021933378,0.2767209729931556,0.41815679239256776
"H2BFS, HIST1H2BB, HIST1H2BC, HIST1H2BD, HIST1H2BH, HIST1H2BJ, HIST1H2BK, HIST1H2BL, HIST1H2BN, HIST1H2BO, HIST2H2BE, HIST2H2BF, HIST3H2BB",P57053|P33778|P62807|P58876|Q93079|P06899|O60814|Q99880|Q99877|P23527|Q16778|Q5QNW6|Q5QNW6-2|Q8N257,"Histone H2B type F-S, Histone H2B type 1-B, Histone H2B type 1-C/E/F/G/I, Histone H2B type 1-D, Histone H2B type 1-H, Histone H2B type 1-J, Histone H2B type 1-K, Histone H2B type 1-L, Histone H2B type 1-N, Histone H2B type 1-O, Histone H2B type 2-E, Histone H2B type 2-F, Isoform 2 of Histone H2B type 2-F, Histone H2B type 3-B",Acetyl,HELA013,up,None,4 h,2,6.243014292999999,16.11395936,0.985163205,5.7313837340000005,7.710906021,0.957246058,5.9871990135,11.9124326905,0.9712046315,5.9871990135,11.9124326905,0.9712046315,0.36177743773116294,5.941855998679159,0.019740403955081743
