Gene Name,Uniprot,Protein Name,Modification Type,Cell Line,Regulation,Combination Treatment,Duration,# Curves,Max -Log10(EC50),Max Fold Change,Max R²,Min -Log10(EC50),Min Fold Change,Min R²,Average -Log10(EC50),Average Fold Change,Average R²,Median -Log10(EC50),Median Fold Change,Median R²,-Log10(EC50) Standard Dev.,Fold Change Standard Dev.,R² Standard Dev.
PPP1R15A,O75807,Protein phosphatase 1 regulatory subunit 15A,Phospho,A549,up,None,1 h,1,6.778318348930867,1.72217346398467,0.965467322701549,6.778318348930867,1.72217346398467,0.965467322701549,6.778318348930867,1.72217346398467,0.965467322701549,6.778318348930867,1.72217346398467,0.965467322701549,0,0,0
RPS6,P62753,40S ribosomal protein S6,Phospho,A549,down,None,1 h,25,8.845289247583889,0.520264091133446,0.997334822199353,7.834041692969118,0.116791111185821,0.761878820308812,8.100119513564382,0.28060983739774764,0.945158603659675,8.002873777217625,0.256133846324876,0.952636547160001,0.24302705578167658,0.10683808066614961,0.04691830719467863
PLEKHA7,Q6IQ23|Q6IQ23-2|Q6IQ23-3,"Pleckstrin homology domain-containing family A member 7, Isoform 2 of Pleckstrin homology domain-containing family A member 7, Isoform 3 of Pleckstrin homology domain-containing family A member 7",Phospho,A549,up,None,1 h,1,6.142238253335893,2.44247806102843,0.983320338555421,6.142238253335893,2.44247806102843,0.983320338555421,6.142238253335893,2.44247806102843,0.983320338555421,6.142238253335893,2.44247806102843,0.983320338555421,0,0,0
BRCA1,P38398|P38398-2|P38398-3|P38398-4|P38398-5|P38398-6,"Breast cancer type 1 susceptibility protein, Isoform 2 of Breast cancer type 1 susceptibility protein, Isoform 3 of Breast cancer type 1 susceptibility protein, Isoform 4 of Breast cancer type 1 susceptibility protein, Isoform 5 of Breast cancer type 1 susceptibility protein, Isoform 6 of Breast cancer type 1 susceptibility protein",Phospho,A549,down,None,1 h,2,6.710028707389685,0.526573236828742,0.961194919893788,6.6552965851795705,0.52498967594196,0.940963435903787,6.682662646284628,0.525781456385351,0.9510791778987875,6.682662646284628,0.525781456385351,0.9510791778987875,0.03870145476350248,0.0011197466414653494,0.01430581952279683
KDM3B,Q7LBC6,Lysine-specific demethylase 3B,Phospho,A549,up,None,1 h,2,4.28555254531183,1.97617094634859,0.933409129023277,2.000000000033156,1.70925836002744,0.722225849739924,3.142776272672493,1.842714653188015,0.8278174893816005,3.142776272672493,1.842714653188015,0.8278174893816005,1.6161297035247242,0.18873569977172483,0.14932912885447144
AKAP17A,Q02040,A-kinase anchor protein 17A,Phospho,A549,down,None,1 h,1,5.563352118568347,0,0.767884460214502,5.563352118568347,0,0.767884460214502,5.563352118568347,0,0.767884460214502,5.563352118568347,0,0.767884460214502,0,0,0
MEPCE,Q7L2J0,7SK snRNA methylphosphate capping enzyme,Phospho,A549,down,None,1 h,3,8.049882268263156,0.557199211425049,0.906699487000714,7.852267751911531,0.494499680047045,0.869648110572949,7.977280606996755,0.5180558593838237,0.8888598589581574,8.029691800815579,0.502468686679377,0.890231979300809,0.10873396063952305,0.034132503181630455,0.018563759303385295
SRSF10,O75494|O75494-2|O75494-3|O75494-4|O75494-5,"Serine/arginine-rich splicing factor 10, Isoform 2 of Serine/arginine-rich splicing factor 10, Isoform 3 of Serine/arginine-rich splicing factor 10, Isoform 4 of Serine/arginine-rich splicing factor 10, Isoform 5 of Serine/arginine-rich splicing factor 10",Phospho,A549,up,None,1 h,1,5.894253890666057,2.27918641751394,0.986448401959848,5.894253890666057,2.27918641751394,0.986448401959848,5.894253890666057,2.27918641751394,0.986448401959848,5.894253890666057,2.27918641751394,0.986448401959848,0,0,0
EIF4G1,Q04637|Q04637-3|Q04637-4|Q04637-5|Q04637-6,"Eukaryotic translation initiation factor 4 gamma 1, Isoform B of Eukaryotic translation initiation factor 4 gamma 1, Isoform C of Eukaryotic translation initiation factor 4 gamma 1, Isoform D of Eukaryotic translation initiation factor 4 gamma 1, Isoform E of Eukaryotic translation initiation factor 4 gamma 1",Phospho,A549,up,None,1 h,8,8.274976736101426,3.01315729974809,0.994955365083298,7.674001423425191,1.74035695394655,0.840931674203809,7.934472620199758,2.565058775685194,0.9443353085793804,7.874197470224452,2.6285886568087102,0.9827782895669515,0.1980974958333285,0.41074280557770476,0.06162409881379273
AFAP1,Q8N556,Actin filament-associated protein 1,Phospho,A549,up,None,1 h,2,5.602867638607036,2.28658207101882,0.957912294899456,5.543668850604155,1.75640800382631,0.933312738225903,5.573268244605596,2.021495037422565,0.9456125165626794,5.573268244605596,2.021495037422565,0.9456125165626794,0.04185986443486201,0.37488967812107604,0.017394513338052125
