Gene Name,Uniprot,Protein Name,Modification Type,Cell Line,Regulation,Combination Treatment,Duration,# Curves,Max -Log10(EC50),Max Fold Change,Max R²,Min -Log10(EC50),Min Fold Change,Min R²,Average -Log10(EC50),Average Fold Change,Average R²,Median -Log10(EC50),Median Fold Change,Median R²,-Log10(EC50) Standard Dev.,Fold Change Standard Dev.,R² Standard Dev.
ABI1,Q8IZP0|Q8IZP0-2|Q8IZP0-3|Q8IZP0-4|Q8IZP0-5|Q8IZP0-6|Q8IZP0-9,"Abl interactor 1, Isoform 2 of Abl interactor 1, Isoform 3 of Abl interactor 1, Isoform 4 of Abl interactor 1, Isoform 5 of Abl interactor 1, Isoform 6 of Abl interactor 1, Isoform 9 of Abl interactor 1",Phospho,A549,down,None,1 h,1,10.932608793454188,0.508799172997106,0.842737637659642,10.932608793454188,0.508799172997106,0.842737637659642,10.932608793454188,0.508799172997106,0.842737637659642,10.932608793454188,0.508799172997106,0.842737637659642,0,0,0
AHNAK,Q09666,Neuroblast differentiation-associated protein AHNAK,Phospho,A549,down,None,1 h,3,9.097227446575731,0.476107245424429,0.981637196685502,8.263559798541577,0.453377244234071,0.802476806940762,8.599355220460048,0.46461425600587736,0.9193774267895662,8.437278416262837,0.464358278359132,0.974018276742435,0.43983190503735164,0.01136716244034296,0.10131055313268565
TBC1D4,O60343|O60343-2|O60343-3,"TBC1 domain family member 4, Isoform 2 of TBC1 domain family member 4, Isoform 3 of TBC1 domain family member 4",Phospho,A549,down,None,1 h,2,8.097839293129963,0.406298586471848,0.991975704508737,7.849711715455812,0.39089290955188,0.863290381648897,7.973775504292888,0.39859574801186404,0.927633043078817,7.973775504292888,0.39859574801186404,0.927633043078817,0.17545269277278455,0.010893458618878495,0.09099426443337304
KDM3B,Q7LBC6,Lysine-specific demethylase 3B,Phospho,A549,down,None,1 h,3,9.578888087327332,0.516225984067883,0.896826311447782,9.235362041823574,0.441484110732821,0.833934929851741,9.417780330768016,0.47332917534805397,0.8601614558182348,9.439090863153138,0.462277431243458,0.849723126155181,0.1727516717075859,0.03857710063267738,0.03271926824335553
ARHGEF12,Q9NZN5|Q9NZN5-2,"Rho guanine nucleotide exchange factor 12, Isoform 2 of Rho guanine nucleotide exchange factor 12",Phospho,A549,down,None,1 h,1,8.103083703486014,0.521394510068318,0.965073516617763,8.103083703486014,0.521394510068318,0.965073516617763,8.103083703486014,0.521394510068318,0.965073516617763,8.103083703486014,0.521394510068318,0.965073516617763,0,0,0
MICAL3,Q7RTP6|Q7RTP6-2|Q7RTP6-3|Q7RTP6-4|Q7RTP6-5,"Protein-methionine sulfoxide oxidase MICAL3, Isoform 2 of Protein-methionine sulfoxide oxidase MICAL3, Isoform 3 of Protein-methionine sulfoxide oxidase MICAL3, Isoform 4 of Protein-methionine sulfoxide oxidase MICAL3, Isoform 5 of Protein-methionine sulfoxide oxidase MICAL3",Phospho,A549,down,None,1 h,1,9.182782068796286,0.55860101833194,0.737609108881051,9.182782068796286,0.55860101833194,0.737609108881051,9.182782068796286,0.55860101833194,0.737609108881051,9.182782068796286,0.55860101833194,0.737609108881051,0,0,0
ZNF185,O15231|O15231-2|O15231-3|O15231-4,"Zinc finger protein 185, Isoform 2 of Zinc finger protein 185, Isoform 3 of Zinc finger protein 185, Isoform 4 of Zinc finger protein 185",Phospho,A549,down,None,1 h,1,7.995443464176487,0.594373048744795,0.808390070341632,7.995443464176487,0.594373048744795,0.808390070341632,7.995443464176487,0.594373048744795,0.808390070341632,7.995443464176487,0.594373048744795,0.808390070341632,0,0,0
CTTN,Q14247|Q14247-2|Q14247-3,"Src substrate cortactin, Isoform 2 of Src substrate cortactin, Isoform 3 of Src substrate cortactin",Phospho,A549,down,None,1 h,2,8.343826569300058,0.561621012897476,0.87263281542587,8.314278888652261,0.525858683464405,0.864766872291462,8.329052728976158,0.5437398481809406,0.8686998438586659,8.329052728976158,0.5437398481809406,0.8686998438586659,0.020893365354390996,0.025287785653151807,0.0055620617307676435
LMNA,P02545|P02545-2|P02545-3,"Prelamin-A/C, Isoform C of Prelamin-A/C, Isoform ADelta10 of Prelamin-A/C",Phospho,A549,up,None,1 h,1,5.2764079004249655,1.76856588025648,0.984637544474496,5.2764079004249655,1.76856588025648,0.984637544474496,5.2764079004249655,1.76856588025648,0.984637544474496,5.2764079004249655,1.76856588025648,0.984637544474496,0,0,0
GAB1,Q13480|Q13480-2,"GRB2-associated-binding protein 1, Isoform 2 of GRB2-associated-binding protein 1",Phospho,A549,down,None,1 h,1,8.099920079846521,0.474673700813438,0.991467287474351,8.099920079846521,0.474673700813438,0.991467287474351,8.099920079846521,0.474673700813438,0.991467287474351,8.099920079846521,0.474673700813438,0.991467287474351,0,0,0
ERF,P50548,ETS domain-containing transcription factor ERF,Phospho,A549,down,None,1 h,5,8.290144126568844,0.424957620799742,0.99695489271023,7.496320506197779,0.313741070309759,0.962648847438231,7.800897145718693,0.36592818232286656,0.9828103435802392,7.749323594797548,0.361542599649602,0.9911160994495,0.29645970502342356,0.04058020530791652,0.014874209759185766
SLC26A2,P50443,Sulfate transporter,Phospho,A549,up,None,1 h,1,1.9999999999999996,2.08516674333949,0.949187546667937,1.9999999999999996,2.08516674333949,0.949187546667937,1.9999999999999996,2.08516674333949,0.949187546667937,1.9999999999999996,2.08516674333949,0.949187546667937,0,0,0
SPAG9,O60271|O60271-2|O60271-3|O60271-4|O60271-5|O60271-9,"C-Jun-amino-terminal kinase-interacting protein 4, Isoform 2 of C-Jun-amino-terminal kinase-interacting protein 4, Isoform 3 of C-Jun-amino-terminal kinase-interacting protein 4, Isoform 4 of C-Jun-amino-terminal kinase-interacting protein 4, Isoform 5 of C-Jun-amino-terminal kinase-interacting protein 4, Isoform 6 of C-Jun-amino-terminal kinase-interacting protein 4",Phospho,A549,up,None,1 h,1,6.149637409915315,1.69915261623529,0.738384898190948,6.149637409915315,1.69915261623529,0.738384898190948,6.149637409915315,1.69915261623529,0.738384898190948,6.149637409915315,1.69915261623529,0.738384898190948,0,0,0
"GCOM2, POLR2M",Q9BZD3|P0CAP2|P0CAP2-3,"Putative GRINL1B complex locus protein 2, DNA-directed RNA polymerase II subunit GRINL1A, Isoform 3 of DNA-directed RNA polymerase II subunit GRINL1A",Phospho,A549,down,None,1 h,1,8.426085702243038,0.525706398683038,0.875972526311344,8.426085702243038,0.525706398683038,0.875972526311344,8.426085702243038,0.525706398683038,0.875972526311344,8.426085702243038,0.525706398683038,0.875972526311344,0,0,0
LIN9,Q5TKA1|Q5TKA1-2,"Protein lin-9 homolog, Isoform 2 of Protein lin-9 homolog",Phospho,A549,down,None,1 h,2,8.34262669790413,0.472960443401731,0.976294680856056,8.307663540152939,0.271971243957943,0.953767691839684,8.325145119028534,0.372465843679837,0.96503118634787,8.325145119028534,0.372465843679837,0.96503118634787,0.02472268593756158,0.14212082587195798,0.015928986693191486
RAI14,Q9P0K7|Q9P0K7-2|Q9P0K7-3,"Ankycorbin, Isoform 2 of Ankycorbin, Isoform 3 of Ankycorbin",Phospho,A549,down,None,1 h,4,7.976191725508584,0.578403561542648,0.991248726356102,7.548254669655429,0.409281254919039,0.922840762060866,7.739918780510498,0.5203795724981838,0.9587558663005109,7.717614363438989,0.546916736765524,0.960466988392538,0.21128153887726545,0.07898407020903195,0.029965428525856812
RGS12,O14924|O14924-4,"Regulator of G-protein signaling 12, Isoform 4 of Regulator of G-protein signaling 12",Phospho,A549,down,None,1 h,1,7.9482810123026715,0.501912060117948,0.990357505559335,7.9482810123026715,0.501912060117948,0.990357505559335,7.9482810123026715,0.501912060117948,0.990357505559335,7.9482810123026715,0.501912060117948,0.990357505559335,0,0,0
