Gene Name,Uniprot,Protein Name,Modification Type,Cell Line,Regulation,Combination Treatment,Duration,# Curves,Max -Log10(EC50),Max Fold Change,Max R²,Min -Log10(EC50),Min Fold Change,Min R²,Average -Log10(EC50),Average Fold Change,Average R²,Median -Log10(EC50),Median Fold Change,Median R²,-Log10(EC50) Standard Dev.,Fold Change Standard Dev.,R² Standard Dev.
MAP1B,P46821,Microtubule-associated protein 1B,Phospho,A549,down,None,1 h,2,8.380683680055041,0.519585008969754,0.813451784571791,6.978479572909055,0.384759151159034,0.797849651089176,7.679581626482048,0.452172080064394,0.8056507178304835,7.679581626482048,0.452172080064394,0.8056507178304835,0.9915080327705548,0.09533627833725337,0.011032374386534767
USP36,Q9P275|Q9P275-2,"Ubiquitin carboxyl-terminal hydrolase 36, Isoform 2 of Ubiquitin carboxyl-terminal hydrolase 36",Phospho,A549,down,None,1 h,1,8.000534743380072,0.455061941537153,0.709266932323356,8.000534743380072,0.455061941537153,0.709266932323356,8.000534743380072,0.455061941537153,0.709266932323356,8.000534743380072,0.455061941537153,0.709266932323356,0,0,0
C17orf75,Q9HAS0,Protein Njmu-R1,Phospho,A549,up,None,1 h,1,2.0000000000052762,1.70806827376324,0.721089837668169,2.0000000000052762,1.70806827376324,0.721089837668169,2.0000000000052762,1.70806827376324,0.721089837668169,2.0000000000052762,1.70806827376324,0.721089837668169,0,0,0
VPS18,Q9P253,Vacuolar protein sorting-associated protein 18 homolog,Phospho,A549,up,None,1 h,1,7.199349907262103,1.87632289023333,0.832000824559789,7.199349907262103,1.87632289023333,0.832000824559789,7.199349907262103,1.87632289023333,0.832000824559789,7.199349907262103,1.87632289023333,0.832000824559789,0,0,0
DNTTIP2,Q5QJE6,Deoxynucleotidyltransferase terminal-interacting protein 2,Phospho,A549,down,None,1 h,1,6.898192753092127,0,0.817617694420402,6.898192753092127,0,0.817617694420402,6.898192753092127,0,0.817617694420402,6.898192753092127,0,0.817617694420402,0,0,0
SAMD15,Q9P1V8,Sterile alpha motif domain-containing protein 15,Phospho,A549,up,None,1 h,1,7.36851819669551,1.8462025224876,0.894002710091186,7.36851819669551,1.8462025224876,0.894002710091186,7.36851819669551,1.8462025224876,0.894002710091186,7.36851819669551,1.8462025224876,0.894002710091186,0,0,0
STRN3,Q13033|Q13033-2,"Striatin-3, Isoform Alpha of Striatin-3",Phospho,A549,up,None,1 h,1,6.899833851998154,1.80654626838511,0.726323487693007,6.899833851998154,1.80654626838511,0.726323487693007,6.899833851998154,1.80654626838511,0.726323487693007,6.899833851998154,1.80654626838511,0.726323487693007,0,0,0
HDGFRP3,Q9Y3E1,Hepatoma-derived growth factor-related protein 3,Phospho,A549,down,None,1 h,1,4.730340994387344,0.492014144532575,0.739934880335769,4.730340994387344,0.492014144532575,0.739934880335769,4.730340994387344,0.492014144532575,0.739934880335769,4.730340994387344,0.492014144532575,0.739934880335769,0,0,0
BTBD11,A6QL63|A6QL63-2|A6QL63-3,"Ankyrin repeat and BTB/POZ domain-containing protein BTBD11, Isoform 2 of Ankyrin repeat and BTB/POZ domain-containing protein BTBD11, Isoform 3 of Ankyrin repeat and BTB/POZ domain-containing protein BTBD11",Phospho,A549,up,None,1 h,1,6.788855239096977,1.66124733258972,0.806827376584706,6.788855239096977,1.66124733258972,0.806827376584706,6.788855239096977,1.66124733258972,0.806827376584706,6.788855239096977,1.66124733258972,0.806827376584706,0,0,0
ARHGAP35,Q9NRY4|Q9NRY4-2,"Rho GTPase-activating protein 35, Isoform 2 of Rho GTPase-activating protein 35",Phospho,A549,down,None,1 h,1,5.304008357072896,0,0.72546669969914,5.304008357072896,0,0.72546669969914,5.304008357072896,0,0.72546669969914,5.304008357072896,0,0.72546669969914,0,0,0
