Gene Name,Uniprot,Protein Name,Modification Type,Cell Line,Regulation,Combination Treatment,Duration,# Curves,Max -Log10(EC50),Max Fold Change,Max R²,Min -Log10(EC50),Min Fold Change,Min R²,Average -Log10(EC50),Average Fold Change,Average R²,Median -Log10(EC50),Median Fold Change,Median R²,-Log10(EC50) Standard Dev.,Fold Change Standard Dev.,R² Standard Dev.
ARHGEF1,Q92888|Q92888-2|Q92888-3,"Rho guanine nucleotide exchange factor 1, Isoform 2 of Rho guanine nucleotide exchange factor 1, Isoform 3 of Rho guanine nucleotide exchange factor 1",Phospho,PC9,down,None,30 min,1,6.631437766010971,0,0.926731167296483,6.631437766010971,0,0.926731167296483,6.631437766010971,0,0.926731167296483,6.631437766010971,0,0.926731167296483,0,0,0
C18orf25,Q96B23|Q96B23-2,"Uncharacterized protein C18orf25, Isoform 2 of Uncharacterized protein C18orf25",Phospho,PC9,down,AZD-4547 1:1,30 min,1,6.440643377500168,0.464440746952363,0.796147538009849,6.440643377500168,0.464440746952363,0.796147538009849,6.440643377500168,0.464440746952363,0.796147538009849,6.440643377500168,0.464440746952363,0.796147538009849,0,0,0
GAB1,Q13480|Q13480-2,"GRB2-associated-binding protein 1, Isoform 2 of GRB2-associated-binding protein 1",Phospho,BT474,up,None,2 h,1,6.698594896201338,2.08020531158583,0.997924913055961,6.698594896201338,2.08020531158583,0.997924913055961,6.698594896201338,2.08020531158583,0.997924913055961,6.698594896201338,2.08020531158583,0.997924913055961,0,0,0
HELZ,P42694,Probable helicase with zinc finger domain,Phospho,BT474,down,None,2 h,1,6.6637542269452,0.401932370997122,0.971599114498262,6.6637542269452,0.401932370997122,0.971599114498262,6.6637542269452,0.401932370997122,0.971599114498262,6.6637542269452,0.401932370997122,0.971599114498262,0,0,0
FNBP1L,Q5T0N5|Q5T0N5-2|Q5T0N5-3|Q5T0N5-4|Q5T0N5-5,"Formin-binding protein 1-like, Isoform 2 of Formin-binding protein 1-like, Isoform 3 of Formin-binding protein 1-like, Isoform 4 of Formin-binding protein 1-like, Isoform 5 of Formin-binding protein 1-like",Phospho,BT474,up,None,2 h,1,6.747518542128122,2.00519744858516,0.989913146506836,6.747518542128122,2.00519744858516,0.989913146506836,6.747518542128122,2.00519744858516,0.989913146506836,6.747518542128122,2.00519744858516,0.989913146506836,0,0,0
ATP1A1,P05023|P05023-2,"Sodium/potassium-transporting ATPase subunit alpha-1, Isoform Short of Sodium/potassium-transporting ATPase subunit alpha-1",Phospho,PC9,up,None,30 min,1,1.5228787452803374,2.38781798497139,0.746911603148794,1.5228787452803374,2.38781798497139,0.746911603148794,1.5228787452803374,2.38781798497139,0.746911603148794,1.5228787452803374,2.38781798497139,0.746911603148794,0,0,0
KIF4A,O95239|O95239-2,"Chromosome-associated kinesin KIF4A, Isoform 2 of Chromosome-associated kinesin KIF4A",Phospho,BT474,down,None,2 h,2,5.907205908829226,0.311288604278385,0.911459296391934,5.905834360190878,0.290113124134108,0.882990166754497,5.9065201345100515,0.30070086420624653,0.8972247315732156,5.9065201345100515,0.30070086420624653,0.8972247315732156,0.0009698313429038999,0.014973325604899342,0.02013071462111064
KIF4A,O95239|O95239-2,"Chromosome-associated kinesin KIF4A, Isoform 2 of Chromosome-associated kinesin KIF4A",Phospho,MDAMB175VII,down,None,2 h,1,6.999029592961434,0.208569753668878,0.98324997387686,6.999029592961434,0.208569753668878,0.98324997387686,6.999029592961434,0.208569753668878,0.98324997387686,6.999029592961434,0.208569753668878,0.98324997387686,0,0,0
PHF3,Q92576|Q92576-2,"PHD finger protein 3, Isoform 2 of PHD finger protein 3",Phospho,MDAMB175VII,down,None,2 h,1,6.916637330081472,0.403546885672092,0.931715323658174,6.916637330081472,0.403546885672092,0.931715323658174,6.916637330081472,0.403546885672092,0.931715323658174,6.916637330081472,0.403546885672092,0.931715323658174,0,0,0
HUWE1,Q7Z6Z7|Q7Z6Z7-2|Q7Z6Z7-3,"E3 ubiquitin-protein ligase HUWE1, Isoform 2 of E3 ubiquitin-protein ligase HUWE1, Isoform 3 of E3 ubiquitin-protein ligase HUWE1",Phospho,BT474,up,None,2 h,1,5.885098949501467,2.66041953744008,0.964918849035855,5.885098949501467,2.66041953744008,0.964918849035855,5.885098949501467,2.66041953744008,0.964918849035855,5.885098949501467,2.66041953744008,0.964918849035855,0,0,0
