Gene Name,Uniprot,Protein Name,Modification Type,Cell Line,Regulation,Combination Treatment,Duration,# Curves,Max -Log10(EC50),Max Fold Change,Max R²,Min -Log10(EC50),Min Fold Change,Min R²,Average -Log10(EC50),Average Fold Change,Average R²,Median -Log10(EC50),Median Fold Change,Median R²,-Log10(EC50) Standard Dev.,Fold Change Standard Dev.,R² Standard Dev.
C18orf25,Q96B23|Q96B23-2,"Uncharacterized protein C18orf25, Isoform 2 of Uncharacterized protein C18orf25",Phospho,PC9,down,Lapatinib 1:1,30 min,1,6.440643377500168,0.464440746952363,0.796147538009849,6.440643377500168,0.464440746952363,0.796147538009849,6.440643377500168,0.464440746952363,0.796147538009849,6.440643377500168,0.464440746952363,0.796147538009849,0,0,0
"TMCC2, TMCC3",O75069|Q9ULS5,"Transmembrane and coiled-coil domains protein 2, Transmembrane and coiled-coil domains protein 3",Phospho,PC9,down,Gefitinib 1:0.0125,30 min,1,4.300712666280557,0.435698104333646,0.888536557954375,4.300712666280557,0.435698104333646,0.888536557954375,4.300712666280557,0.435698104333646,0.888536557954375,4.300712666280557,0.435698104333646,0.888536557954375,-1.9030899869919435,0,0
PPP1R13L,Q8WUF5|Q8WUF5-2,"RelA-associated inhibitor, Isoform 2 of RelA-associated inhibitor",Phospho,PC9,up,Lapatinib 1:1,30 min,1,5.431118067074487,2.21117403974616,0.874138867998247,5.431118067074487,2.21117403974616,0.874138867998247,5.431118067074487,2.21117403974616,0.874138867998247,5.431118067074487,2.21117403974616,0.874138867998247,0,0,0
ZC3H4,Q9UPT8,Zinc finger CCCH domain-containing protein 4,Phospho,PC9,down,Lapatinib 1:1,30 min,4,5.594396123840469,0.448206885066468,0.934146043010264,5.167130480646179,0.405067521887953,0.805770092225361,5.28653946027842,0.43081543128556177,0.8645713292025312,5.192315618313517,0.43499365909391297,0.85918459078725,0.20560724439586806,0.019337217189111945,0.06797125652265436
EXOC7,Q9UPT5|Q9UPT5-1|Q9UPT5-2|Q9UPT5-4|Q9UPT5-5|Q9UPT5-6,"Exocyst complex component 7, Isoform 1 of Exocyst complex component 7, Isoform 2 of Exocyst complex component 7, Isoform 4 of Exocyst complex component 7, Isoform 5 of Exocyst complex component 7, Isoform 6 of Exocyst complex component 7",Phospho,PC9,down,None,30 min,1,5.411808718413008,0.485015486853775,0.972793565546242,5.411808718413008,0.485015486853775,0.972793565546242,5.411808718413008,0.485015486853775,0.972793565546242,5.411808718413008,0.485015486853775,0.972793565546242,0,0,0
SART1,O43290,U4/U6.U5 tri-snRNP-associated protein 1,Phospho,PC9,down,Gefitinib 1:0.0125,30 min,2,7.649784663256222,0.484251092920364,0.975790465923709,7.272137876176686,0.429560222541673,0.917403209556342,7.460961269716453,0.4569056577310185,0.9465968377400256,7.460961269716453,0.4569056577310185,0.9465968377400256,-1.6360533829546906,0.03867228531376691,0.04128602491224265
TJP1,Q07157,Tight junction protein ZO-1,Phospho,PC9,down,None,30 min,4,5.434319016827617,0.419863006803569,0.946483833295036,5.085752385971433,0.150812045190003,0.712995084100773,5.287077969919771,0.278512490543354,0.8214191207323727,5.314120238440017,0.271687455089922,0.813098782766841,0.1482643569979376,0.110280132536865,0.10242032451836994
TPR,P12270,Nucleoprotein TPR,Phospho,PC9,down,Lapatinib 1:1,30 min,5,6.7261329597705535,0.399983258704377,0.978786204817675,4.990354654886336,0.301770145744414,0.814847524859779,6.3064310495360605,0.358750713453694,0.9176652888834251,6.609953354119322,0.376764826737846,0.942576928520226,0.7376231479979061,0.03979552070328165,0.06508255701622802
LIMCH1,Q9UPQ0-3|Q9UPQ0-6|Q9UPQ0-8|Q9UPQ0-9,"Isoform 3 of LIM and calponin homology domains-containing protein 1, Isoform 6 of LIM and calponin homology domains-containing protein 1, Isoform 8 of LIM and calponin homology domains-containing protein 1, Isoform 9 of LIM and calponin homology domains-containing protein 1",Phospho,PC9,down,Gefitinib 1:0.0125,30 min,1,5.361741151215229,0.394002314089273,0.921534015927538,5.361741151215229,0.394002314089273,0.921534015927538,5.361741151215229,0.394002314089273,0.921534015927538,5.361741151215229,0.394002314089273,0.921534015927538,-1.9030899869919435,0,0
PKN2,Q16513|Q16513-2|Q16513-3,"Serine/threonine-protein kinase N2, Isoform 2 of Serine/threonine-protein kinase N2, Isoform 3 of Serine/threonine-protein kinase N2",Phospho,PC9,down,Gefitinib 1:0.0125,30 min,1,6.225942074458624,0.439167262718862,0.921490766043518,6.225942074458624,0.439167262718862,0.921490766043518,6.225942074458624,0.439167262718862,0.921490766043518,6.225942074458624,0.439167262718862,0.921490766043518,-1.9030899869919435,0,0
KIAA0284,Q9Y4F5|Q9Y4F5-2|Q9Y4F5-3,"Protein KIAA0284, Isoform 2 of Protein KIAA0284, Isoform 3 of Protein KIAA0284",Phospho,PC9,down,Lapatinib 1:1,30 min,1,6.05078478941974,0.474311337276995,0.98654009878108,6.05078478941974,0.474311337276995,0.98654009878108,6.05078478941974,0.474311337276995,0.98654009878108,6.05078478941974,0.474311337276995,0.98654009878108,0,0,0
DOCK10,Q96BY6|Q96BY6-2,"Dedicator of cytokinesis protein 10, Isoform 2 of Dedicator of cytokinesis protein 10",Phospho,PC9,up,Lapatinib 1:1,30 min,1,1.5228787452805677,3.23393822913669,0.864738449345489,1.5228787452805677,3.23393822913669,0.864738449345489,1.5228787452805677,3.23393822913669,0.864738449345489,1.5228787452805677,3.23393822913669,0.864738449345489,0,0,0
RPS6KA1,Q15418|Q15418-2|Q15418-3,"Ribosomal protein S6 kinase alpha-1, Isoform 2 of Ribosomal protein S6 kinase alpha-1, Isoform 3 of Ribosomal protein S6 kinase alpha-1",Phospho,PC9,down,Lapatinib 1:1,30 min,1,5.363162929752157,0.424735523573806,0.848698731486517,5.363162929752157,0.424735523573806,0.848698731486517,5.363162929752157,0.424735523573806,0.848698731486517,5.363162929752157,0.424735523573806,0.848698731486517,0,0,0
