Gene Name,Uniprot,Protein Name,Modification Type,Cell Line,Regulation,Combination Treatment,Duration,# Curves,Max -Log10(EC50),Max Fold Change,Max R²,Min -Log10(EC50),Min Fold Change,Min R²,Average -Log10(EC50),Average Fold Change,Average R²,Median -Log10(EC50),Median Fold Change,Median R²,-Log10(EC50) Standard Dev.,Fold Change Standard Dev.,R² Standard Dev.
LMO7,Q8WWI1|Q8WWI1-2|Q8WWI1-3|Q8WWI1-4,"LIM domain only protein 7, Isoform 2 of LIM domain only protein 7, Isoform 3 of LIM domain only protein 7, Isoform 4 of LIM domain only protein 7",Phospho,A549,down,MK-2206 1:2,30 min,1,8.592731210373703,0.320237761528894,0.884364952733641,8.592731210373703,0.320237761528894,0.884364952733641,8.592731210373703,0.320237761528894,0.884364952733641,8.592731210373703,0.320237761528894,0.884364952733641,0,0,0
RBM34,P42696|P42696-2,"RNA-binding protein 34, Isoform 2 of RNA-binding protein 34",Phospho,A549,down,MK-2206 1:0.3333,30 min,1,7.385066167580396,0.245169056313283,0.940633020885148,7.385066167580396,0.245169056313283,0.940633020885148,7.385066167580396,0.245169056313283,0.940633020885148,7.385066167580396,0.245169056313283,0.940633020885148,0,0,0
RAB11FIP5,Q9BXF6,Rab11 family-interacting protein 5,Phospho,A549,down,MK-2206 1:2,30 min,2,7.802908699103305,0.378518050602564,0.980470350256887,7.662027895347512,0.311289864827586,0.973130472219103,7.732468297225409,0.344903957715075,0.976800411237995,7.732468297225409,0.344903957715075,0.976800411237995,0.09961777167473289,0.04753750604835589,0.005190077533599291
PANK2,Q9BZ23|Q9BZ23-3|Q9BZ23-4,"Pantothenate kinase 2, mitochondrial, Isoform 2 of Pantothenate kinase 2, mitochondrial, Isoform 4 of Pantothenate kinase 2, mitochondrial",Phospho,A549,down,MK-2206 1:2,30 min,3,7.719120930495973,0.389079537901489,0.981512074146781,6.72783789670591,0.364326388032325,0.953989972417368,7.139315720685025,0.3778096279987183,0.9711655210807061,6.970988334853192,0.380022958062341,0.977994516677969,0.5166343918921216,0.012524125901204686,0.014978080870112058
MED1,Q15648,Mediator of RNA polymerase II transcription subunit 1,Phospho,A549,down,None,30 min,1,7.449087032772898,0.360342092064785,0.746454661829195,7.449087032772898,0.360342092064785,0.746454661829195,7.449087032772898,0.360342092064785,0.746454661829195,7.449087032772898,0.360342092064785,0.746454661829195,0,0,0
USP36,Q9P275|Q9P275-2,"Ubiquitin carboxyl-terminal hydrolase 36, Isoform 2 of Ubiquitin carboxyl-terminal hydrolase 36",Phospho,A549,down,None,30 min,3,8.069586221986771,0.437416560762751,0.949840238343975,4.939057691583152,0.348739333535294,0.773725236758318,6.214836613562901,0.39625803170688667,0.8505296550814401,5.63586592711878,0.402618200822615,0.828023490142027,1.6436111193767655,0.044679430060968854,0.0901887966495232
WDR62,O43379|O43379-2|O43379-3|O43379-4,"WD repeat-containing protein 62, Isoform 2 of WD repeat-containing protein 62, Isoform 3 of WD repeat-containing protein 62, Isoform 4 of WD repeat-containing protein 62",Phospho,A549,down,MK-2206 1:2,30 min,2,8.215762223324537,0.448704126917309,0.987647048549461,7.9134183019391156,0.416580061024833,0.961869719313842,8.064590262631826,0.432642093971071,0.9747583839316515,8.064590262631826,0.432642093971071,0.9747583839316515,0.21378943706216416,0.022715144831853235,0.018227324303384387
WDR62,O43379|O43379-2|O43379-3|O43379-4,"WD repeat-containing protein 62, Isoform 2 of WD repeat-containing protein 62, Isoform 3 of WD repeat-containing protein 62, Isoform 4 of WD repeat-containing protein 62",Phospho,A549,down,None,30 min,2,8.561785016492227,0.427523531701248,0.931114934323604,6.3270973873537235,0.419632996442187,0.805770527954712,7.4444412019229755,0.4235782640717175,0.868442731139158,7.4444412019229755,0.4235782640717175,0.868442731139158,1.5801627763975246,0.005579450988873603,0.0886318797272458
WDR62,O43379|O43379-2|O43379-3|O43379-4,"WD repeat-containing protein 62, Isoform 2 of WD repeat-containing protein 62, Isoform 3 of WD repeat-containing protein 62, Isoform 4 of WD repeat-containing protein 62",Phospho,A549,down,MK-2206 1:0.3333,30 min,1,8.989420682138578,0.437559386549784,0.980750663635342,8.989420682138578,0.437559386549784,0.980750663635342,8.989420682138578,0.437559386549784,0.980750663635342,8.989420682138578,0.437559386549784,0.980750663635342,0,0,0
RANBP3,Q9H6Z4|Q9H6Z4-2|Q9H6Z4-3,"Ran-binding protein 3, Isoform 2 of Ran-binding protein 3, Isoform 3 of Ran-binding protein 3",Phospho,A549,down,MK-2206 1:0.3333,30 min,4,7.610381003761567,0.426887124652213,0.987639767453544,7.3523764858111225,0.271524249701934,0.970561281825358,7.514573997218195,0.3275922887255035,0.9807684117253598,7.547769249650045,0.3059788902739335,0.9824362988112685,0.11319701390363149,0.07346766241381647,0.007897669695898514
