Gene Name,Uniprot,Protein Name,Modification Type,Cell Line,Regulation,Combination Treatment,Duration,# Curves,Max -Log10(EC50),Max Fold Change,Max R²,Min -Log10(EC50),Min Fold Change,Min R²,Average -Log10(EC50),Average Fold Change,Average R²,Median -Log10(EC50),Median Fold Change,Median R²,-Log10(EC50) Standard Dev.,Fold Change Standard Dev.,R² Standard Dev.
HMGA1,P17096|P17096-2|P17096-3,"High mobility group protein HMG-I/HMG-Y, Isoform HMG-R of High mobility group protein HMG-I/HMG-Y",Phospho,K562,up,None,30 min,3,6.816382737598266,3.23054248995049,0.93470164333795,6.617797014944735,2.6859583898635,0.851418653721268,6.740063358189796,2.9422805532135405,0.906199127354923,6.786010322026386,2.91034077982663,0.932477085005551,0.1069692241946585,0.27369339115129276,0.04745431891397495
PSMD4,P55036,26S proteasome non-ATPase regulatory subunit 4,Phospho,K562,up,None,30 min,1,7.215681641710607,3.0849413328689,0.961415492627746,7.215681641710607,3.0849413328689,0.961415492627746,7.215681641710607,3.0849413328689,0.961415492627746,7.215681641710607,3.0849413328689,0.961415492627746,0,0,0
TMPO,P42166,"Lamina-associated polypeptide 2, isoform alpha",Phospho,K562,up,None,30 min,1,7.0264015729407046,3.02055512788843,0.91557264513906,7.0264015729407046,3.02055512788843,0.91557264513906,7.0264015729407046,3.02055512788843,0.91557264513906,7.0264015729407046,3.02055512788843,0.91557264513906,0,0,0
MCM6,Q14566,DNA replication licensing factor MCM6,Phospho,K562,up,None,30 min,1,6.99161515386024,2.25936039806198,0.935364374148732,6.99161515386024,2.25936039806198,0.935364374148732,6.99161515386024,2.25936039806198,0.935364374148732,6.99161515386024,2.25936039806198,0.935364374148732,0,0,0
WDR77,Q9BQA1,Methylosome protein 50,Phospho,K562,up,None,30 min,1,6.780666301544645,2.19734067155953,0.840679850966712,6.780666301544645,2.19734067155953,0.840679850966712,6.780666301544645,2.19734067155953,0.840679850966712,6.780666301544645,2.19734067155953,0.840679850966712,0,0,0
CRAMP1L,Q96RY5,Protein cramped-like,Phospho,K562,down,None,30 min,1,7.657116503238602,0.427876041110496,0.833600030055436,7.657116503238602,0.427876041110496,0.833600030055436,7.657116503238602,0.427876041110496,0.833600030055436,7.657116503238602,0.427876041110496,0.833600030055436,0,0,0
TRIM28,Q13263|Q13263-2,"Transcription intermediary factor 1-beta, Isoform 2 of Transcription intermediary factor 1-beta",Phospho,K562,up,None,30 min,1,6.843994329183788,2.20477242411745,0.891853647827215,6.843994329183788,2.20477242411745,0.891853647827215,6.843994329183788,2.20477242411745,0.891853647827215,6.843994329183788,2.20477242411745,0.891853647827215,0,0,0
TOPBP1,Q92547,DNA topoisomerase 2-binding protein 1,Phospho,K562,up,None,30 min,1,5.910905080658639,2.18541676068602,0.919235156281084,5.910905080658639,2.18541676068602,0.919235156281084,5.910905080658639,2.18541676068602,0.919235156281084,5.910905080658639,2.18541676068602,0.919235156281084,0,0,0
EIF4EBP1,Q13541,Eukaryotic translation initiation factor 4E-binding protein 1,Phospho,K562,down,None,30 min,1,4.941669320829233,0.450796649250966,0.802544261221865,4.941669320829233,0.450796649250966,0.802544261221865,4.941669320829233,0.450796649250966,0.802544261221865,4.941669320829233,0.450796649250966,0.802544261221865,0,0,0
LUC7L2,Q9Y383,Putative RNA-binding protein Luc7-like 2,Phospho,K562,down,None,30 min,1,7.823487923623242,0.374625559253682,0.943368386937416,7.823487923623242,0.374625559253682,0.943368386937416,7.823487923623242,0.374625559253682,0.943368386937416,7.823487923623242,0.374625559253682,0.943368386937416,0,0,0
SAPCD2,Q86UD0,Suppressor APC domain-containing protein 2,Phospho,K562,down,None,30 min,1,6.097346167666231,0.270850496356701,0.776362563762493,6.097346167666231,0.270850496356701,0.776362563762493,6.097346167666231,0.270850496356701,0.776362563762493,6.097346167666231,0.270850496356701,0.776362563762493,0,0,0
AASDHPPT,Q9NRN7,L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase,Phospho,K562,up,None,30 min,1,6.9647685891169875,3.79720128591481,0.941225984856875,6.9647685891169875,3.79720128591481,0.941225984856875,6.9647685891169875,3.79720128591481,0.941225984856875,6.9647685891169875,3.79720128591481,0.941225984856875,0,0,0
MAGI1,Q96QZ7|Q96QZ7-2|Q96QZ7-3|Q96QZ7-4|Q96QZ7-5|Q96QZ7-6|Q96QZ7-7,"Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 1, Isoform 2 of Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 1, Isoform 3 of Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 1, Isoform 4 of Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 1, Isoform 5 of Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 1, Isoform 6 of Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 1, Isoform 7 of Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 1",Phospho,K562,down,None,30 min,1,9.113724586483412,0.346334521232076,0.818224990051212,9.113724586483412,0.346334521232076,0.818224990051212,9.113724586483412,0.346334521232076,0.818224990051212,9.113724586483412,0.346334521232076,0.818224990051212,0,0,0
RFC1,P35251|P35251-2,"Replication factor C subunit 1, Isoform 2 of Replication factor C subunit 1",Phospho,K562,up,None,30 min,1,6.643354682074362,2.81293919991713,0.879027195705961,6.643354682074362,2.81293919991713,0.879027195705961,6.643354682074362,2.81293919991713,0.879027195705961,6.643354682074362,2.81293919991713,0.879027195705961,0,0,0
