Gene Name,Uniprot,Protein Name,Modification Type,Cell Line,Regulation,Combination Treatment,Duration,# Curves,Max -Log10(EC50),Max Fold Change,Max R²,Min -Log10(EC50),Min Fold Change,Min R²,Average -Log10(EC50),Average Fold Change,Average R²,Median -Log10(EC50),Median Fold Change,Median R²,-Log10(EC50) Standard Dev.,Fold Change Standard Dev.,R² Standard Dev.
XPC,Q01831,DNA repair protein complementing XP-C cells,Phospho,BT474,up,None,2 h,1,-3.275694068000001,2.624039624,0.899845257,-3.275694068000001,2.624039624,0.899845257,-3.275694068000001,2.624039624,0.899845257,-3.275694068000001,2.624039624,0.899845257,0,0,0
LMNA,P02545|P02545-2|P02545-3,"Prelamin-A/C, Isoform C of Prelamin-A/C, Isoform ADelta10 of Prelamin-A/C",Phospho,BT474,up,None,2 h,8,-3.818965922,4.435301356,0.945182122,-5.441446525999999,2.127521772,0.838423621,-4.604754083125,3.2294524035000003,0.89555711475,-4.357390363,3.2086802700000003,0.8852922990000001,0.5724151617656285,0.866964227524563,0.03703988540784527
RLF,Q13129,Zinc finger protein Rlf,Phospho,SKBR3,down,None,2 h,1,-4.945459571999999,0.468042441,0.755206451,-4.945459571999999,0.468042441,0.755206451,-4.945459571999999,0.468042441,0.755206451,-4.945459571999999,0.468042441,0.755206451,0,0,0
PDS5B,Q9NTI5|Q9NTI5-2,"Sister chromatid cohesion protein PDS5 homolog B, Isoform 2 of Sister chromatid cohesion protein PDS5 homolog B",Phospho,MDAMB175VII,up,None,2 h,1,-5.601650101,3.720336084,0.989106053,-5.601650101,3.720336084,0.989106053,-5.601650101,3.720336084,0.989106053,-5.601650101,3.720336084,0.989106053,0,0,0
DOCK6,Q96HP0,Dedicator of cytokinesis protein 6,Phospho,MDAMB175VII,down,None,2 h,1,-4.789373576,0.459915505,0.709781736,-4.789373576,0.459915505,0.709781736,-4.789373576,0.459915505,0.709781736,-4.789373576,0.459915505,0.709781736,0,0,0
TPR,P12270,Nucleoprotein TPR,Phospho,BT474,up,None,2 h,2,-2.3417756330000006,4.42706206,0.899512472,-2.371071238,3.40285155,0.895679933,-2.3564234355,3.914956805,0.8975962024999999,-2.3564234355,3.914956805,0.8975962024999999,0.020715120954462176,0.7242261969835321,0.0027100143160618084
SRRM1,Q8IYB3|Q8IYB3-2,"Serine/arginine repetitive matrix protein 1, Isoform 2 of Serine/arginine repetitive matrix protein 1",Phospho,BT474,up,None,2 h,1,-4.82831018,2.494376745,0.933066553,-4.82831018,2.494376745,0.933066553,-4.82831018,2.494376745,0.933066553,-4.82831018,2.494376745,0.933066553,0,0,0
KIAA0284,Q9Y4F5|Q9Y4F5-2|Q9Y4F5-3,"Protein KIAA0284, Isoform 2 of Protein KIAA0284, Isoform 3 of Protein KIAA0284",Phospho,MDAMB175VII,down,None,2 h,2,-4.418591152,0.477224239,0.950164968,-4.907284078999999,0.473481064,0.949970287,-4.6629376155,0.4753526515,0.9500676275,-4.6629376155,0.4753526515,0.9500676275,0.3455580825996017,0.002646824425667946,0.00013766025526827788
THRAP3,Q9Y2W1,Thyroid hormone receptor-associated protein 3,Phospho,BT474,up,None,2 h,1,-4.600424225000001,2.135613953,0.728529184,-4.600424225000001,2.135613953,0.728529184,-4.600424225000001,2.135613953,0.728529184,-4.600424225000001,2.135613953,0.728529184,0,0,0
SLC9A3R2,Q15599|Q15599-2,"Na(+)/H(+) exchange regulatory cofactor NHE-RF2, Isoform 2 of Na(+)/H(+) exchange regulatory cofactor NHE-RF2",Phospho,SKBR3,up,None,2 h,1,-2.1282801240000007,2.124410477,0.732339036,-2.1282801240000007,2.124410477,0.732339036,-2.1282801240000007,2.124410477,0.732339036,-2.1282801240000007,2.124410477,0.732339036,0,0,0
FOXK1,P85037|P85037-2,"Forkhead box protein K1, Isoform 2 of Forkhead box protein K1",Phospho,MDAMB175VII,up,None,2 h,3,-4.171843833999998,2.691829385,0.973271036,-8,2.24651169,0.874575598,-5.467320204333332,2.397569588,0.9380103116666666,-4.230116778999999,2.254367689,0.966184301,2.193558557359105,0.2548667304257912,0.05505022821677534
PRPF4B,Q13523,Serine/threonine-protein kinase PRP4 homolog,Phospho,BT474,down,None,2 h,1,-2.988314501,0.481257872,0.90747366,-2.988314501,0.481257872,0.90747366,-2.988314501,0.481257872,0.90747366,-2.988314501,0.481257872,0.90747366,0,0,0
CLASP2,O75122,CLIP-associating protein 2,Phospho,MDAMB175VII,down,None,2 h,1,-5.0639794899999995,0.463515009,0.843838255,-5.0639794899999995,0.463515009,0.843838255,-5.0639794899999995,0.463515009,0.843838255,-5.0639794899999995,0.463515009,0.843838255,0,0,0
THOC2,Q8NI27|Q8NI27-2,"THO complex subunit 2, Isoform 2 of THO complex subunit 2",Phospho,SKBR3,down,None,2 h,1,-5.385085501999999,0.443475199,0.81337439,-5.385085501999999,0.443475199,0.81337439,-5.385085501999999,0.443475199,0.81337439,-5.385085501999999,0.443475199,0.81337439,0,0,0
LRRC16A,Q5VZK9|Q5VZK9-2,"Leucine-rich repeat-containing protein 16A, Isoform 2 of Leucine-rich repeat-containing protein 16A",Phospho,MDAMB175VII,down,None,2 h,1,-4.907380915999999,0.41487781,0.911481565,-4.907380915999999,0.41487781,0.911481565,-4.907380915999999,0.41487781,0.911481565,-4.907380915999999,0.41487781,0.911481565,0,0,0
NCBP1,Q09161,Nuclear cap-binding protein subunit 1,Phospho,SKBR3,up,None,2 h,6,-1.7596745170000003,3.335236562,0.858228879,-8,2.158717811,0.738502828,-2.9296659508333334,2.670273504166667,0.7881057545000001,-1.9675899369999992,2.6265144945000003,0.7832667339999999,2.4876665697441793,0.45034921335655786,0.04619401844592935
C14orf43,Q6PJG2,Uncharacterized protein C14orf43,Phospho,SKBR3,down,None,2 h,1,-5.912918345999999,0.48858775,0.727619723,-5.912918345999999,0.48858775,0.727619723,-5.912918345999999,0.48858775,0.727619723,-5.912918345999999,0.48858775,0.727619723,0,0,0
