Gene Name,Uniprot,Protein Name,Modification Type,Cell Line,Regulation,Combination Treatment,Duration,# Curves,Max -Log10(EC50),Max Fold Change,Max R²,Min -Log10(EC50),Min Fold Change,Min R²,Average -Log10(EC50),Average Fold Change,Average R²,Median -Log10(EC50),Median Fold Change,Median R²,-Log10(EC50) Standard Dev.,Fold Change Standard Dev.,R² Standard Dev.
AKAP13,Q12802|Q12802-2|Q12802-4,"A-kinase anchor protein 13, Isoform 2 of A-kinase anchor protein 13, Isoform 3 of A-kinase anchor protein 13",Phospho,HELA013,up,None,4 h,2,4.2600665829999995,5.807301277,0.996627413,4.229172473,3.34109677,0.985231354,4.244619527999999,4.5741990235,0.9909293834999999,4.244619527999999,4.5741990235,0.9909293834999999,0.021845434679722955,1.7438699306925258,0.008058230597702073
TRIO,O75962|O75962-2|O75962-4|O75962-5,"Triple functional domain protein, Isoform 2 of Triple functional domain protein, Isoform 4 of Triple functional domain protein, Isoform 5 of Triple functional domain protein",Phospho,HELA013,down,None,4 h,2,4.253275198999999,0.497963043,0.859626125,4.194873629,0.292481525,0.842661726,4.2240744139999995,0.39522228400000003,0.8511439255,4.2240744139999995,0.39522228400000003,0.8511439255,0.04129614617894022,0.1452973747863056,0.01199564157165426
TGS1,Q96RS0,Trimethylguanosine synthase,Phospho,HELA013,down,None,4 h,1,4.152772678,0.3186512,0.961619648,4.152772678,0.3186512,0.961619648,4.152772678,0.3186512,0.961619648,4.152772678,0.3186512,0.961619648,0,0,0
AHNAK,Q09666,Neuroblast differentiation-associated protein AHNAK,Phospho,HELA013,up,None,4 h,28,5.121877839999999,18.45388641,0.998191436,0.9999999999999998,2.003334448,0.779538232,3.543231175821428,4.011904233107143,0.9408885210357142,4.257470692,2.9586050200000003,0.9602215345,1.5145016859201617,4.0319178087263925,0.05546865474576515
KIAA0284,Q9Y4F5|Q9Y4F5-2|Q9Y4F5-3,"Protein KIAA0284, Isoform 2 of Protein KIAA0284, Isoform 3 of Protein KIAA0284",Phospho,HELA013,down,None,4 h,1,5.412187126,0.354797009,0.970433442,5.412187126,0.354797009,0.970433442,5.412187126,0.354797009,0.970433442,5.412187126,0.354797009,0.970433442,0,0,0
CAMK2D,Q13557|Q13557-10|Q13557-11|Q13557-12|Q13557-6|Q13557-8,"Calcium/calmodulin-dependent protein kinase type II subunit delta, Isoform Delta 10 of Calcium/calmodulin-dependent protein kinase type II subunit delta, Isoform Delta 11 of Calcium/calmodulin-dependent protein kinase type II subunit delta, Isoform Delta 12 of Calcium/calmodulin-dependent protein kinase type II subunit delta, Isoform Delta 9 of Calcium/calmodulin-dependent protein kinase type II subunit delta, Isoform Delta 6 of Calcium/calmodulin-dependent protein kinase type II subunit delta",Phospho,HELA013,up,None,4 h,2,5.066554292,5.610511627,0.963445634,1.0262859880000001,2.433367057,0.94218074,3.0464201400000004,4.021939342,0.9528131870000001,3.0464201400000004,4.021939342,0.9528131870000001,2.8569011155714716,2.2465804702570176,0.01503655074861323
ZNF609,O15014,Zinc finger protein 609,Phospho,HELA013,down,None,4 h,4,4.5227474249999995,0.446665948,0.921179457,3.7445986999999987,0.159119299,0.706334669,4.169178204999999,0.31310009575000003,0.82024086525,4.2046833475,0.32330756800000005,0.8267246675,0.3226651308207923,0.11854116540890355,0.11135179446191167
LGALSL,Q3ZCW2,Galectin-related protein,Phospho,HELA013,up,None,4 h,2,4.1993406,3.868082482,0.986758559,4.172053088999999,3.779126203,0.953719738,4.1856968445,3.8236043425000004,0.9702391484999999,4.1856968445,3.8236043425000004,0.9702391484999999,0.019295184069803087,0.06290158811002265,0.02336197437150847
SPECC1,Q5M775|Q5M775-2|Q5M775-3|Q5M775-4|Q5M775-5,"Cytospin-B, Isoform 2 of Cytospin-B, Isoform 3 of Cytospin-B, Isoform 4 of Cytospin-B, Isoform 5 of Cytospin-B",Phospho,HELA013,down,None,4 h,6,4.992702989999998,0.439564676,0.991093117,4.083860141999999,0.341789105,0.713144943,4.530607325499999,0.3922489436666667,0.8527946771666667,4.516939134499999,0.39297424999999997,0.8237011925,0.3715046383068511,0.04365113053681746,0.1090370545187587
AHNAK2,Q8IVF2|Q8IVF2-2|Q8IVF2-3,"Protein AHNAK2, Isoform 2 of Protein AHNAK2, Isoform 3 of Protein AHNAK2",Phospho,HELA013,up,None,4 h,3,4.912772806000001,33.57373239,0.997509888,4.258366124,5.894334423,0.969837207,4.476968315666666,15.561336227000004,0.984461082,4.259766016999999,7.215941868,0.986036151,0.37741840876025917,15.613182673923749,0.013903415055230505
DCP1A,Q9NPI6,mRNA-decapping enzyme 1A,Phospho,HELA013,down,None,4 h,5,4.887387109999998,0.354674554,0.919702687,3.876046557,0.295592612,0.709916929,4.3683126042,0.32052673719999997,0.8234132800000001,4.281494147,0.308271142,0.789781431,0.39231650109748195,0.027965624952483187,0.09228555124810897
MSL3,Q8N5Y2|Q8N5Y2-2|Q8N5Y2-3,"Male-specific lethal 3 homolog, Isoform 2 of Male-specific lethal 3 homolog, Isoform 3 of Male-specific lethal 3 homolog",Phospho,HELA013,down,None,4 h,2,4.384474857,0.37638903,0.93629962,4.1426404759999995,0.355220813,0.931728945,4.2635576665,0.3658049215,0.9340142825,4.2635576665,0.3658049215,0.9340142825,0.1710027307291514,0.014968189786328329,0.00323195528709984
