Gene Name,Uniprot,Protein Name,Modification Type,Cell Line,Regulation,Combination Treatment,Duration,# Curves,Max -Log10(EC50),Max Fold Change,Max R²,Min -Log10(EC50),Min Fold Change,Min R²,Average -Log10(EC50),Average Fold Change,Average R²,Median -Log10(EC50),Median Fold Change,Median R²,-Log10(EC50) Standard Dev.,Fold Change Standard Dev.,R² Standard Dev.
ZC3HC1,Q86WB0|Q86WB0-2,"Nuclear-interacting partner of ALK, Isoform 2 of Nuclear-interacting partner of ALK",Phospho,A549,down,None,1 h,1,5.524525664852909,0.545054384084556,0.798633733797194,5.524525664852909,0.545054384084556,0.798633733797194,5.524525664852909,0.545054384084556,0.798633733797194,5.524525664852909,0.545054384084556,0.798633733797194,0,0,0
CD2AP,Q9Y5K6,CD2-associated protein,Phospho,A549,down,None,1 h,1,5.925574096098864,0.556117897791745,0.963430398510118,5.925574096098864,0.556117897791745,0.963430398510118,5.925574096098864,0.556117897791745,0.963430398510118,5.925574096098864,0.556117897791745,0.963430398510118,0,0,0
SART1,O43290,U4/U6.U5 tri-snRNP-associated protein 1,Phospho,A549,down,None,1 h,2,5.40640212790368,0.444952163589639,0.985570428325799,5.2366574312439,0.390673509349733,0.985567728138543,5.32152977957379,0.41781283646968603,0.985569078232171,5.32152977957379,0.41781283646968603,0.985569078232171,0.12002762607858378,0.03838080448671752,0.000001909320719198607
BAIAP2,Q9UQB8|Q9UQB8-2|Q9UQB8-3|Q9UQB8-4|Q9UQB8-5,"Brain-specific angiogenesis inhibitor 1-associated protein 2, Isoform 2 of Brain-specific angiogenesis inhibitor 1-associated protein 2, Isoform 3 of Brain-specific angiogenesis inhibitor 1-associated protein 2, Isoform 4 of Brain-specific angiogenesis inhibitor 1-associated protein 2, Isoform 5 of Brain-specific angiogenesis inhibitor 1-associated protein 2",Phospho,A549,down,None,1 h,2,5.608900942074508,0.592726921986667,0.892440788414477,4.64509809820274,0.580905500507407,0.827015149376562,5.126999520138624,0.586816211247037,0.8597279688955195,5.126999520138624,0.586816211247037,0.8597279688955195,0.6815115266286067,0.008359007291249068,0.04626291302717307
PDCD4,Q53EL6,Programmed cell death protein 4,Phospho,A549,down,None,1 h,1,5.33294617299161,0.524649291930714,0.924287494456978,5.33294617299161,0.524649291930714,0.924287494456978,5.33294617299161,0.524649291930714,0.924287494456978,5.33294617299161,0.524649291930714,0.924287494456978,0,0,0
RBM34,P42696|P42696-2,"RNA-binding protein 34, Isoform 2 of RNA-binding protein 34",Phospho,A549,down,None,1 h,2,5.288752130052967,0.488610239210489,0.924653099911494,5.144398013226925,0.418385226494218,0.813796287199561,5.216575071639946,0.4534977328523535,0.8692246935555275,5.216575071639946,0.4534977328523535,0.8692246935555275,0.10207377489988943,0.04965658270058677,0.07838760400933496
ZNF217,O75362,Zinc finger protein 217,Phospho,A549,down,None,1 h,1,4.393085798785237,0.594967605724374,0.821424366736246,4.393085798785237,0.594967605724374,0.821424366736246,4.393085798785237,0.594967605724374,0.821424366736246,4.393085798785237,0.594967605724374,0.821424366736246,0,0,0
BCLAF1,Q9NYF8|Q9NYF8-2|Q9NYF8-3,"Bcl-2-associated transcription factor 1, Isoform 2 of Bcl-2-associated transcription factor 1, Isoform 3 of Bcl-2-associated transcription factor 1",Phospho,A549,down,None,1 h,1,4.768532106286709,0.5988651402028,0.895365751632651,4.768532106286709,0.5988651402028,0.895365751632651,4.768532106286709,0.5988651402028,0.895365751632651,4.768532106286709,0.5988651402028,0.895365751632651,0,0,0
GPATCH8,Q9UKJ3|Q9UKJ3-2,"G patch domain-containing protein 8, Isoform 2 of G patch domain-containing protein 8",Phospho,A549,down,None,1 h,1,5.596697379442133,0.554012384255539,0.933869381050304,5.596697379442133,0.554012384255539,0.933869381050304,5.596697379442133,0.554012384255539,0.933869381050304,5.596697379442133,0.554012384255539,0.933869381050304,0,0,0
RAB11FIP5,Q9BXF6,Rab11 family-interacting protein 5,Phospho,A549,down,None,1 h,1,5.555454252655705,0.528040456737719,0.930344884609691,5.555454252655705,0.528040456737719,0.930344884609691,5.555454252655705,0.528040456737719,0.930344884609691,5.555454252655705,0.528040456737719,0.930344884609691,0,0,0
LMNA,P02545|P02545-2|P02545-3,"Prelamin-A/C, Isoform C of Prelamin-A/C, Isoform ADelta10 of Prelamin-A/C",Phospho,A549,up,None,1 h,1,7.311162548474865,1.78059104107688,0.847339417892935,7.311162548474865,1.78059104107688,0.847339417892935,7.311162548474865,1.78059104107688,0.847339417892935,7.311162548474865,1.78059104107688,0.847339417892935,0,0,0
SGTA,O43765,Small glutamine-rich tetratricopeptide repeat-containing protein alpha,Phospho,A549,down,None,1 h,1,4.800440038523623,0.545497632931241,0.72956538141993,4.800440038523623,0.545497632931241,0.72956538141993,4.800440038523623,0.545497632931241,0.72956538141993,4.800440038523623,0.545497632931241,0.72956538141993,0,0,0
FLNC,Q14315|Q14315-2,"Filamin-C, Isoform 2 of Filamin-C",Phospho,A549,down,None,1 h,2,5.610629405717185,0.458211941975486,0.915307404770664,5.5435284943341,0.412538493660936,0.882617457734277,5.577078950025642,0.435375217818211,0.8989624312524704,5.577078950025642,0.435375217818211,0.8989624312524704,0.04744750946277664,0.0322960050233916,0.023115283226058332
EIF4G1,Q04637|Q04637-3|Q04637-4|Q04637-5|Q04637-6,"Eukaryotic translation initiation factor 4 gamma 1, Isoform B of Eukaryotic translation initiation factor 4 gamma 1, Isoform C of Eukaryotic translation initiation factor 4 gamma 1, Isoform D of Eukaryotic translation initiation factor 4 gamma 1, Isoform E of Eukaryotic translation initiation factor 4 gamma 1",Phospho,A549,up,None,1 h,7,5.489673634762116,2.44564911338018,0.992509471012898,2.000000000000035,1.80446054764617,0.865462055559692,4.317944964619959,2.079124265149023,0.9490072970510263,4.906389299743717,2.02527274620476,0.977819741947554,1.4176118940184068,0.22295494633109564,0.05210869671173624
TCF3,P15923-2,Isoform E47 of Transcription factor E2-alpha,Phospho,A549,down,None,1 h,1,4.934888725540103,0.540637125312665,0.838916086304408,4.934888725540103,0.540637125312665,0.838916086304408,4.934888725540103,0.540637125312665,0.838916086304408,4.934888725540103,0.540637125312665,0.838916086304408,0,0,0
TNKS1BP1,Q9C0C2|Q9C0C2-2,"182 kDa tankyrase-1-binding protein, Isoform 2 of 182 kDa tankyrase-1-binding protein",Phospho,A549,down,None,1 h,1,4.834236632193869,0.577440066972373,0.959839541734886,4.834236632193869,0.577440066972373,0.959839541734886,4.834236632193869,0.577440066972373,0.959839541734886,4.834236632193869,0.577440066972373,0.959839541734886,0,0,0
RPS6,P62753,40S ribosomal protein S6,Phospho,A549,down,None,1 h,4,5.301587913094534,0.538475879691809,0.966801976957703,4.852666678294514,0.254378502455685,0.781086285748998,5.131636917365663,0.35721730062914026,0.8793647778828284,5.186146539036803,0.3180074101845335,0.8847854244123066,0.19684446208669334,0.1281316012396116,0.07720306964223805
TTC39B,Q5VTQ0|Q5VTQ0-2|Q5VTQ0-3|Q5VTQ0-4,"Tetratricopeptide repeat protein 39B, Isoform 2 of Tetratricopeptide repeat protein 39B, Isoform 3 of Tetratricopeptide repeat protein 39B, Isoform 4 of Tetratricopeptide repeat protein 39B",Phospho,A549,down,None,1 h,1,4.476288052658996,0.518201704740466,0.779044957758442,4.476288052658996,0.518201704740466,0.779044957758442,4.476288052658996,0.518201704740466,0.779044957758442,4.476288052658996,0.518201704740466,0.779044957758442,0,0,0
MLPH,Q9BV36,Melanophilin,Phospho,A549,down,None,1 h,1,5.284379868950135,0.562750974388102,0.940689544048157,5.284379868950135,0.562750974388102,0.940689544048157,5.284379868950135,0.562750974388102,0.940689544048157,5.284379868950135,0.562750974388102,0.940689544048157,0,0,0
GPRC5C,Q9NQ84|Q9NQ84-2,"G-protein coupled receptor family C group 5 member C, Isoform 2 of G-protein coupled receptor family C group 5 member C",Phospho,A549,down,None,1 h,2,4.929058473395349,0.590123999396742,0.932836619431678,4.403034156016794,0.539584617323868,0.911933724907359,4.666046314706072,0.564854308360305,0.9223851721695184,4.666046314706072,0.564854308360305,0.9223851721695184,0.3719553618874009,0.03573673978070708,0.014780578464573027
PTRF,Q6NZI2|Q6NZI2-2|Q6NZI2-3,"Polymerase I and transcript release factor, Isoform 2 of Polymerase I and transcript release factor, Isoform 3 of Polymerase I and transcript release factor",Phospho,A549,down,None,1 h,1,5.503098644222491,0.513178804918233,0.942587121510614,5.503098644222491,0.513178804918233,0.942587121510614,5.503098644222491,0.513178804918233,0.942587121510614,5.503098644222491,0.513178804918233,0.942587121510614,0,0,0
KIF4A,O95239|O95239-2,"Chromosome-associated kinesin KIF4A, Isoform 2 of Chromosome-associated kinesin KIF4A",Phospho,A549,down,None,1 h,2,5.484896042827154,0.541788841260141,0.900611409349714,5.404395743229877,0.431337416751155,0.760541323699139,5.4446458930285155,0.486563129005648,0.8305763665244265,5.4446458930285155,0.486563129005648,0.8305763665244265,0.05692230773278358,0.07810095126201806,0.0990445074049021
RTKN,Q9BST9|Q9BST9-2|Q9BST9-3,"Rhotekin, Isoform 2 of Rhotekin, Isoform 3 of Rhotekin",Phospho,A549,down,None,1 h,1,5.299501257420662,0.422188791282478,0.953852907153306,5.299501257420662,0.422188791282478,0.953852907153306,5.299501257420662,0.422188791282478,0.953852907153306,5.299501257420662,0.422188791282478,0.953852907153306,0,0,0
MYO9B,Q13459|Q13459-2,"Unconventional myosin-IXb, Isoform Short of Unconventional myosin-IXb",Phospho,A549,down,None,1 h,1,5.026683559022405,0.466336349138596,0.94326657327015,5.026683559022405,0.466336349138596,0.94326657327015,5.026683559022405,0.466336349138596,0.94326657327015,5.026683559022405,0.466336349138596,0.94326657327015,0,0,0
