Gene Name,Uniprot,Protein Name,Modification Type,Cell Line,Regulation,Combination Treatment,Duration,# Curves,Max -Log10(EC50),Max Fold Change,Max R²,Min -Log10(EC50),Min Fold Change,Min R²,Average -Log10(EC50),Average Fold Change,Average R²,Median -Log10(EC50),Median Fold Change,Median R²,-Log10(EC50) Standard Dev.,Fold Change Standard Dev.,R² Standard Dev.
PAK2,Q13177,Serine/threonine-protein kinase PAK 2,Phospho,A549,down,None,1 h,3,7.096292499632968,0.348575810637414,0.989074137963658,6.982982796976203,0.121856391971267,0.987080241774898,7.0531199213898015,0.204888360029428,0.988285858500659,7.080084467560233,0.144232877479603,0.988703195763421,0.06127876664615627,0.12493894257833706,0.0010604401426083452
LARP7,Q4G0J3,La-related protein 7,Phospho,A549,up,None,1 h,1,5.8962716943256455,1.98827531038688,0.975281393147581,5.8962716943256455,1.98827531038688,0.975281393147581,5.8962716943256455,1.98827531038688,0.975281393147581,5.8962716943256455,1.98827531038688,0.975281393147581,0,0,0
SPECC1,Q5M775|Q5M775-2,"Cytospin-B, Isoform 2 of Cytospin-B",Phospho,A549,down,None,1 h,6,8.541093067153493,0.54978860526829,0.98254785866212,4.612797553846545,0.313935802560605,0.862557213087515,6.718926856808829,0.46644720915976295,0.9300675414581879,6.470150408420553,0.48483247473666746,0.940297798316443,1.552223499218716,0.08698022125920253,0.04711347233058954
SGTA,O43765,Small glutamine-rich tetratricopeptide repeat-containing protein alpha,Phospho,A549,down,None,1 h,2,7.543170090078572,0.200776684643913,0.99246287613703,7.27738058964184,0,0.985729227017489,7.410275339860206,0.1003883423219565,0.9890960515772595,7.410275339860206,0.1003883423219565,0.9890960515772595,0.18794155812699795,0.14197055521586385,0.004761408954558303
TBC1D22B,Q9NU19,TBC1 domain family member 22B,Phospho,A549,down,None,1 h,1,7.74498580210535,0.455187443025883,0.844243894993715,7.74498580210535,0.455187443025883,0.844243894993715,7.74498580210535,0.455187443025883,0.844243894993715,7.74498580210535,0.455187443025883,0.844243894993715,0,0,0
RAB3IL1,Q8TBN0,Guanine nucleotide exchange factor for Rab-3A,Phospho,A549,down,None,1 h,1,6.049899129293673,0.487312287725457,0.942926120770971,6.049899129293673,0.487312287725457,0.942926120770971,6.049899129293673,0.487312287725457,0.942926120770971,6.049899129293673,0.487312287725457,0.942926120770971,0,0,0
PPP1CC,P36873|P36873-2,"Serine/threonine-protein phosphatase PP1-gamma catalytic subunit, Isoform Gamma-2 of Serine/threonine-protein phosphatase PP1-gamma catalytic subunit",Phospho,A549,down,None,1 h,1,6.823808028190069,0.500192813705268,0.996787081926709,6.823808028190069,0.500192813705268,0.996787081926709,6.823808028190069,0.500192813705268,0.996787081926709,6.823808028190069,0.500192813705268,0.996787081926709,0,0,0
PI4KB,Q9UBF8-2,Isoform 2 of Phosphatidylinositol 4-kinase beta,Phospho,A549,down,None,1 h,3,7.553024076228291,0.577920588824179,0.987243175001456,6.748695340873252,0.234401667174273,0.972954919883221,7.0367511697607705,0.435032760804347,0.9793396435437477,6.80853409218077,0.492776026414589,0.977820835746566,0.44810540557309286,0.1788911007439436,0.007264202738396499
RBM34,P42696|P42696-2,"RNA-binding protein 34, Isoform 2 of RNA-binding protein 34",Phospho,A549,up,None,1 h,1,6.407596024543468,1.73252882367258,0.946469551371357,6.407596024543468,1.73252882367258,0.946469551371357,6.407596024543468,1.73252882367258,0.946469551371357,6.407596024543468,1.73252882367258,0.946469551371357,0,0,0
PPFIBP1,Q86W92-2,Isoform 2 of Liprin-beta-1,Phospho,A549,down,None,1 h,5,8.732822042226513,0.580602037757464,0.995652558419987,8.104857299143703,0.118569001846532,0.878968934883806,8.278041709373676,0.3205668109438554,0.9475988703048206,8.18010152165833,0.357491031390013,0.970133414999912,0.25913716928095154,0.19676812052522724,0.052412620703893124
PPP1R12C,Q9BZL4|Q9BZL4-2|Q9BZL4-3|Q9BZL4-4,"Protein phosphatase 1 regulatory subunit 12C, Isoform 2 of Protein phosphatase 1 regulatory subunit 12C, Isoform 3 of Protein phosphatase 1 regulatory subunit 12C, Isoform 4 of Protein phosphatase 1 regulatory subunit 12C",Phospho,A549,down,None,1 h,4,8.60587582424954,0.532935100238759,0.991976878398448,5.766862377658324,0.204115759879132,0.938774435907574,7.843995875333591,0.34738950102002675,0.9637728640936165,8.501622649713251,0.326253571981108,0.962170071034222,1.3864024426014616,0.14104006359264784,0.021969021744483546
ZC3HC1,Q86WB0|Q86WB0-2,"Nuclear-interacting partner of ALK, Isoform 2 of Nuclear-interacting partner of ALK",Phospho,A549,down,None,1 h,1,7.139021565956525,0,0.875751517047673,7.139021565956525,0,0.875751517047673,7.139021565956525,0,0.875751517047673,7.139021565956525,0,0.875751517047673,0,0,0
SPECC1L,Q69YQ0,Cytospin-A,Phospho,A549,down,None,1 h,2,7.696403174035841,0.533657201508644,0.988264494980689,7.6809616627028285,0.44994462215993,0.963877583951032,7.688682418369335,0.491800911834287,0.9760710394658605,7.688682418369335,0.491800911834287,0.9760710394658605,0.010918797375342003,0.05919373252809263,0.017244150161263523
ABI2,Q9NYB9|Q9NYB9-2|Q9NYB9-3|Q9NYB9-4,"Abl interactor 2, Isoform 2 of Abl interactor 2, Isoform 3 of Abl interactor 2, Isoform 4 of Abl interactor 2",Phospho,A549,down,None,1 h,1,6.1432586402055485,0.320696479560794,0.910239774670069,6.1432586402055485,0.320696479560794,0.910239774670069,6.1432586402055485,0.320696479560794,0.910239774670069,6.1432586402055485,0.320696479560794,0.910239774670069,0,0,0
BACH1,O14867,Transcription regulator protein BACH1,Phospho,A549,up,None,1 h,1,4.762445663593059,1.67811453990881,0.828589428326592,4.762445663593059,1.67811453990881,0.828589428326592,4.762445663593059,1.67811453990881,0.828589428326592,4.762445663593059,1.67811453990881,0.828589428326592,0,0,0
MELK,Q14680,Maternal embryonic leucine zipper kinase,Phospho,A549,down,None,1 h,1,7.824261183699366,0.323699243771688,0.997303827807217,7.824261183699366,0.323699243771688,0.997303827807217,7.824261183699366,0.323699243771688,0.997303827807217,7.824261183699366,0.323699243771688,0.997303827807217,0,0,0
CD40,P25942,Tumor necrosis factor receptor superfamily member 5,Phospho,A549,down,None,1 h,1,7.911762800014803,0.596949857820678,0.857791342578858,7.911762800014803,0.596949857820678,0.857791342578858,7.911762800014803,0.596949857820678,0.857791342578858,7.911762800014803,0.596949857820678,0.857791342578858,0,0,0
AHNAK,Q09666,Neuroblast differentiation-associated protein AHNAK,Phospho,A549,down,None,1 h,15,8.46712101391814,0.570805796318105,0.992957749548511,5.643654737920723,0.0591749738237142,0.760307079770441,7.233238495738698,0.36274827536584303,0.9296309018794949,7.369827210557165,0.378051957366732,0.963953994336904,0.8132690613258414,0.11647058760083655,0.0799009603759207
RAB11FIP1,Q6WKZ4|Q6WKZ4-2|Q6WKZ4-3,"Rab11 family-interacting protein 1, Isoform 4 of Rab11 family-interacting protein 1, Isoform 2 of Rab11 family-interacting protein 1",Phospho,A549,down,None,1 h,7,8.38891941774783,0.503505877142377,0.989145071387457,5.685841515912689,0.411379420819149,0.800868152078488,7.004182712650885,0.4613721157318052,0.9014725587215894,6.933758194880351,0.451317894097222,0.914437065870489,1.013936016164367,0.03163687411335889,0.07733930928620397
DOCK10,Q96BY6,Dedicator of cytokinesis protein 10,Phospho,A549,down,None,1 h,3,8.034809603991446,0.524732626466905,0.984995999649963,5.858007076281127,0.159614138469217,0.975711104473143,6.972670874779006,0.28675010989287103,0.979800131308361,7.025195944064442,0.175903564742491,0.978693289801977,1.0893514003016145,0.2062597755216971,0.004740373740679595
INPP5F,Q9Y2H2,Phosphatidylinositide phosphatase SAC2,Phospho,A549,down,None,1 h,1,7.965732888087625,0.401593013300632,0.944136660326281,7.965732888087625,0.401593013300632,0.944136660326281,7.965732888087625,0.401593013300632,0.944136660326281,7.965732888087625,0.401593013300632,0.944136660326281,0,0,0
SRRM2,Q9UQ35,Serine/arginine repetitive matrix protein 2,Phospho,A549,up,None,1 h,30,8.306442942583292,6.27491866116885,0.997469607246875,1.9999999999999996,1.70406783529846,0.729657678430498,5.91250146029436,2.554662858100095,0.9149027856966544,6.339254855943824,2.1537020137154297,0.9398502803697986,1.4919734246739107,1.029230026183441,0.07814861127972567
FAM129A,Q9BZQ8,Protein Niban,Phospho,A549,down,None,1 h,1,6.904410267647985,0.421217444581021,0.953835157666506,6.904410267647985,0.421217444581021,0.953835157666506,6.904410267647985,0.421217444581021,0.953835157666506,6.904410267647985,0.421217444581021,0.953835157666506,0,0,0
ZNF629,Q9UEG4,Zinc finger protein 629,Phospho,A549,up,None,1 h,1,3.457621447099951,1.8308730184401,0.889581998409395,3.457621447099951,1.8308730184401,0.889581998409395,3.457621447099951,1.8308730184401,0.889581998409395,3.457621447099951,1.8308730184401,0.889581998409395,0,0,0
